序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,美國,我們,2019/03/22,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,97,"102,327",21.40%,"23,772,325","186,617","43,419,927"
2,美國,庫爾斯克號:深海救援,2019/03/22,海樂影業股份有限公司,EuropaCorp,74,"26,618",-9.51%,"5,958,356","56,033","12,545,342"
3,中華民國,老大人,2019/03/22,威視股份有限公司,興揚電影有限公司##中環國際娛樂事業股份有限公司##(大陸)海寧鐵幕真文化傳媒有限公司##(大陸)喀什嘉映文化傳媒有限公司,45,"19,905",31.54%,"4,439,128","36,995","8,326,954"
4,印度,跳痛先生,2019/03/22,華映娛樂股份有限公司,"International Production Associates, Inc.",58,"4,760",-37.58%,"1,044,699","12,386","2,742,604"
5,日本,來了,2019/03/22,車庫娛樂股份有限公司,"TOHO CO., LTD.",47,"3,292",-10.57%,"730,998","6,973","1,562,640"
6,日本,幼女戰記劇場版,2019/03/22,向洋影業有限公司,株式會社KADOKAWA,10,"2,863",-6.19%,"722,534","5,915","1,503,060"
7,西班牙,騙局,2019/03/22,海鵬影業有限公司,Latido Consorcio De Exportacion Del Cine Espanol SL,19,"2,454",-5.07%,"543,416","5,039","1,139,343"
8,美國,喜劇天團：勞萊與哈台,2019/03/22,采昌國際多媒體股份有限公司,FILM & TV HOUSE LIMITED,19,710,-13.20%,"160,211","1,773","401,491"
9,加拿大,求救信,2019/03/22,奇門音像有限公司,Flying Cloud Productions Inc,2,332,38.33%,"67,180",572,"111,990"
10,法國,愛情零極限,2019/03/22,原創娛樂股份有限公司,Wild Bunch,8,211,-5.80%,"43,290",435,"89,645"
11,英國,屋簷下的記憶,2019/03/22,聯影企業股份有限公司,LUXBOX SAS,6,155,0.65%,"31,620",309,"62,775"
12,巴西,池畔風暴,2019/03/22,佳映娛樂國際股份有限公司,Movie Partners in Motion(MPM),6,122,7.02%,"27,090",236,"53,064"
13,南韓,嫌疑犯X,2019/03/22,華聯國際影音股份有限公司,CJ E&M CORPORATION,4,119,-29.17%,"26,010",287,"63,385"
14,南韓,私刑制裁,2019/03/22,華聯國際影音股份有限公司,CJ E&M CORPORATION,4,104,18.18%,"23,075",192,"42,160"
15,日本,機甲風暴,2019/03/22,暗光鳥有限公司,BLAST INC.,6,66,-16.46%,"14,275",145,"31,855"
16,日本,假面飯店,2019/03/15,英屬維京群島商高捷全球開發有限公司 台灣分公司,"PONY CANYON, INC.",58,"7,139",-60.91%,"1,631,414","44,379","10,149,187"
17,美國,活個精彩,2019/03/15,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX Productions, LLC",60,"3,755",-66.96%,"871,646","26,541","6,010,854"
18,美國,鬼裔,2019/03/15,車庫娛樂股份有限公司,METRO-GOLDWYN-MAYER STUDIOS INC.,60,"2,900",-77.30%,"656,584","31,507","7,121,896"
19,丹麥,厄夜追緝令,2019/03/15,鏡象電影製作有限公司,TRUSTNORDISK APS,28,727,-78.68%,"162,642","8,674","1,915,832"
20,美國,情，敵,2019/03/15,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,17,738,-75.12%,"162,215","6,920","1,563,761"
21,法國,苦兒流浪記,2019/03/15,香港商甲上娛樂有限公司台灣分公司,TF1 DROITS AUDIOVISUELS,19,502,-70.81%,"108,035","4,736","1,046,937"
22,中華民國,最是橙黃橘綠時,2019/03/15,好野娛樂有限公司,好野娛樂有限公司,6,192,-61.90%,"45,910","1,432","331,994"
23,日本,不管媽媽多麼討厭我,2019/03/15,天馬行空數位有限公司,"Nagoya Broadcasting Network Co., Ltd",6,118,-82.77%,"25,120","1,644","361,141"
24,美國,闇罪無間,2019/03/15,暗光鳥有限公司,ARCHSTONE DISTRIBUTION LLC,3,20,-88.37%,"4,255",388,"86,790"
25,日本,Fate_staynight[Heaven'sFeel]II.迷途之蝶,2019/03/09,曼迪傳播有限公司,Aniplex Inc.,17,"6,764",-61.49%,"1,702,938","51,442","12,857,316"
26,泰國,限時好友,2019/03/08,威視股份有限公司,GDH 599 COMPANY LIMITED,41,"2,946",-67.31%,"696,862","55,351","12,813,820"
27,美國,RBG：不恐龍大法官,2019/03/08,亮點國際影業有限公司,Magnolia Pictures LLC,7,755,-9.90%,"162,530","4,903","1,054,513"
28,香港,滾滾紅塵(數位修復版),2019/03/08,能率影業股份有限公司,湯臣(香港)電影有限公司,11,630,-69.94%,"136,040","13,712","3,022,912"
29,中華民國,乳‧房,2019/03/08,可樂藝術文創股份有限公司,吳美良##謝志文##廖琬玲##廖千秀,8,360,-2.44%,"75,390","5,564","1,233,518"
30,日本,小資女孩奮鬥記：遊樂園的奇蹟,2019/03/08,中影股份有限公司,AVEX PICTURES INC.,1,174,-20.55%,"36,270","1,641","344,659"
31,德國,無主之作,2019/03/08,車庫娛樂股份有限公司,BETA CINEMA GMBH,2,125,-75.78%,"29,610","2,996","655,103"
32,日本,來自深淵劇場版總集篇後編：流浪之黄昏,2019/03/08,向洋影業有限公司,株式會社KADOKAWA,1,10,-92.00%,"2,530","1,608","384,140"
33,法國,三小一家人,2019/03/08,海鵬影業有限公司,PATHE FILMS S.A.S.,2,7,-94.40%,"1,340","1,889","404,029"
34,美國,驚奇隊長,2019/03/06,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",97,"97,055",-49.14%,"23,095,281","1,560,072","373,364,017"
35,美國,密弑遊戲,2019/02/27,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,32,782,-80.30%,"179,750","95,149","21,747,327"
36,美國,酷寒殺手,2019/02/27,海樂影業股份有限公司,STUDIOCANAL,8,70,-94.93%,"16,470","108,805","24,539,853"
37,美國,為副不仁,2019/02/27,車庫娛樂股份有限公司,METRO-GOLDWYN-MAYER STUDIOS INC.,3,70,-82.67%,"14,950","26,978","6,095,051"
38,日本,溫泉屋小女將,2019/02/27,威秀影城股份有限公司,Nada Holdings Japan Corp.,1,0,-100.00%,0,"4,330","1,049,261"
39,南韓,雞不可失,2019/02/22,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CJ ENM CO. LTD,86,"32,195",-38.64%,"7,450,571","478,027","110,328,043"
40,日本,七龍珠‧超布羅利,2019/02/22,台北双喜電影發行股份有限公司,"東映株式會社##FOX INTERNATIONAL PRODUCTIONS, INC.",14,501,-47.98%,"221,594","86,540","26,065,000"
41,美國,梵谷：在永恆之門,2019/02/22,車庫娛樂股份有限公司,"WALK HOME PRODUCTIONS, LLC",2,57,-87.07%,"11,770","11,560","2,576,809"
42,日本,在地下城尋求邂逅是否搞錯了什麼─獵戶座之箭─,2019/02/22,天馬行空數位有限公司,Hakuhodo DY music & pictures Inc.,4,46,-79.74%,"11,190","21,479","5,270,643"
43,南韓,證人,2019/02/21,香港商甲上娛樂有限公司台灣分公司,"LOTTE CULTUREWORKS CO., LTD.",29,"1,773",-63.50%,"404,473","62,274","14,403,878"
44,瑞典,當幸福提早來,2019/02/15,捷傑有限公司,TRUSTNORDISK APS,1,40,0.00%,"6,400","1,078","241,672"
45,中華民國,一吻定情,2019/02/14,車庫娛樂股份有限公司,當樂娛樂股份有限公司,14,369,-50.07%,"73,290","108,023","24,652,325"
46,美國,樂高玩電影2,2019/02/14,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,4,80,-24.53%,"17,160","41,382","9,547,145"
47,美國,祝你忌日快樂,2019/02/14,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,4,-95.74%,800,"128,826","29,609,865"
48,美國/黎巴嫩,我想有個家,2019/02/08,海鵬影業有限公司,WILD BUNCH,1,236,337.04%,"18,880","15,538","3,334,255"
49,美國,艾莉塔：戰鬥天使,2019/02/05,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,26,"1,059",-64.74%,"329,195","1,093,786","275,969,549"
50,中國大陸,神探蒲松齡,2019/02/05,龍祥育樂多媒體股份有限公司,北京耀萊影視文化傳媒有限公司##愛奇藝影業（北京）有限公司##金海岸影視基地有限公司,2,106,0.00%,"8,680","28,555","6,502,682"
51,加拿大,哈柏太空之旅3D,2019/02/04,國際電影事業有限公司,IMAX Corporation,1,6,-60.00%,"1,065",289,"42,640"
52,加拿大,深海獵奇3D,2019/02/03,國際電影事業有限公司,IMAX Corporation,1,9,50.00%,"1,215",211,"29,660"
53,日本,日日是好日,2019/02/01,天馬行空數位有限公司,ColorBird Inc.,1,71,-83.83%,"15,310","10,205","2,211,185"
54,南韓,飆風特警隊,2019/02/01,車庫娛樂股份有限公司,SHOWBOX CORP.,2,142,273.68%,"14,570","15,441","3,471,170"
55,美國,福爾摩濕與滑生,2019/02/01,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,1,40,0.00%,"6,400","24,346","5,563,626"
56,美國,馴龍高手3,2019/01/30,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,16,754,-52.22%,"158,175","706,381","166,004,643"
57,美國,幸福綠皮書,2019/01/25,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"Storyteller Distribution Co., LLC pursuant to its arrangements with Participant Media, LLC",29,"2,925",-49.02%,"671,919","180,742","42,353,477"
58,美國,驚濤佈局,2019/01/25,華聯國際影音股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT.,7,"1,037",540.12%,"72,530","70,907","16,411,236"
59,美國,老人與槍,2019/01/25,采昌國際多媒體股份有限公司,GEM Entertainment Kft.,1,98,104.17%,"15,000","5,677","1,243,926"
60,美國,真寵,2019/01/25,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,1,62,-72.69%,"13,150","43,565","9,936,865"
61,日本,巧虎電影魔法島大冒險,2019/01/18,全民大劇團股份有限公司,法人倍樂生株式會社,14,272,-20.70%,"64,204","38,205","9,042,577"
62,美國,魔劍少年,2019/01/18,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,6,378,-25.44%,"38,130","27,889","5,979,328"
