序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,南韓,極限逃生,2019/08/30,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",83,"50,532",9.33%,"11,454,448","96,751","21,875,541"
2,香港,使徒行者2 諜影行動,2019/08/30,華映娛樂股份有限公司,"影聚天際影視傳媒（天津）有限公司##北京嘉映文化傳媒有限公司##喀什嘉映文化傳媒有限公司	##北京國影縱橫電影發行有限公司	##新疆烈火文化傳媒有限公司	##優酷電影有限公司	##華夏電影發行有限責任公司	##阿里巴巴影業(北京)有限公司	##天津貓眼微影文化傳媒有限公司	##耳東文化(北京)有限公司	##大名娛樂有限公司	##電視廣播有限公司	##天下一電影製作有限公司	##北京嘉映春天影業有限公司	##邵氏兄弟國際影業有限公司	##墨客行影業（北京）有限公司##天馬電影出品(香港)有限公司",54,"8,198",-26.63%,"1,798,089","19,372","4,267,972"
3,美國,雙面特務,2019/08/30,威視股份有限公司,FREEWAY ENTERTAINMENT KFT.,43,"4,493",-28.83%,"1,000,750","10,806","2,449,673"
4,美國,你願意嫁給我老公嗎？,2019/08/30,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Cornerstone Films LTD,48,"3,036",-19.26%,"643,926","6,796","1,473,738"
5,法國,巴黎之王：闇黑正義,2019/08/30,鴻聯國際開發股份有限公司,Gaumont S.A.,23,"1,891",-18.24%,"414,410","4,204","915,532"
6,中華民國,未來無恙,2019/08/30,牽猴子整合行銷股份有限公司,大照國際影像有限公司Conjunction Films,11,"1,391",-38.31%,"308,981","3,646","792,283"
7,中華民國,最乖巧的殺人犯,2019/08/30,安澤映畫有限公司,安澤映畫有限公司,7,541,-11.60%,"125,925","1,153","263,520"
8,美國,萌友來找碴,2019/08/30,可樂藝術文創股份有限公司,PROLIFIC PICTURES LLC,6,144,-41.22%,"32,150",389,"85,487"
9,德國,你不快樂嗎?,2019/08/30,聯影企業股份有限公司,SOCIETE PARISIENNE DE PRODUCTION SARL,4,143,-14.88%,"30,690",311,"64,852"
10,澳洲,咖啡大師,2019/08/30,輝洪開發股份有限公司,Parade  Media Group Limited,1,108,0.00%,"23,710",108,"23,710"
