序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,法國,莒哈絲的漫長等待,2019/05/25,佳映娛樂國際股份有限公司,TF1 DROITS AUDIOVISUELS,1,76,15.15%,"13,200",142,"24,240"
2,中華民國,五月天人生無限公司,2019/05/24,相信音樂國際股份有限公司,相信音樂國際股份有限公司##安樂電影公司(聯合出品),77,"47,054",-18.50%,"15,153,617","105,244","35,019,036"
3,法國,城市獵人,2019/05/24,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,SOFINERGIE CAPAC,46,"7,549",-17.60%,"1,726,697","16,710","3,825,565"
4,南韓,完美搭檔,2019/05/24,采昌國際多媒體股份有限公司,ATRIUM PRODUCTIONS KFT.,19,"5,673",14.56%,"1,299,781","10,625","2,440,834"
5,英國,選情尬翻天,2019/05/24,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Lions Gate International(UK), Limited.",55,"4,028",-36.13%,"903,329","10,335","2,334,173"
6,印尼,鬼入鏡：靈之鬼跡,2019/05/24,水元素文化傳媒有限公司,Nikkatsu Corporation,23,"2,884",-45.36%,"675,584","8,162","1,934,484"
7,香港,非分熟女,2019/05/24,華映娛樂股份有限公司,英皇影業有限公司,29,"1,136",-39.25%,"248,480","3,234","715,710"
8,法國,亨利先生的秘密,2019/05/24,原創娛樂股份有限公司,GAUMONT S.A.,9,"1,048",25.21%,"216,910","1,885","394,302"
9,日本,馬拉松武士,2019/05/24,天馬行空數位有限公司,GAGA Corporation,10,729,-6.66%,"152,320","1,510","323,868"
10,美國,與神同愛,2019/05/24,翻面映畫有限公司,KEW MEDIA INTERNATIONAL LIMITED,8,435,19.83%,"97,725",798,"182,287"
11,日本,愛在九月來臨前,2019/05/24,車庫娛樂股份有限公司,NIPPON TELEVISION NETWORK CORPORATION,10,385,-40.40%,"85,020","1,031","231,906"
12,中華民國,不滅之光,2019/05/24,春暉映像有限公司,臺北市鷺江學術文化協會,1,367,49.19%,"81,335",613,"135,255"
13,美國,吾愛吾詩,2019/05/24,車庫娛樂股份有限公司,PROTAGONIST PICTURES LIMITED,7,319,7.77%,"66,270",615,"128,040"
14,義大利,疾速求生,2019/05/24,可樂藝術文創股份有限公司,TRUE COLOURS glorious film S.r.l.,4,135,37.76%,"25,715",233,"45,230"
15,美國,84那年夏天,2019/05/24,暗光鳥有限公司,"GUNPOWDER & SKY DISTRIBUTION, LLC",6,110,-30.38%,"24,525",268,"59,385"
16,德國,過境情謎,2019/05/24,佳映娛樂國際股份有限公司,THE MATCH FACTORY GmbH,1,58,13.73%,"9,600",109,"18,140"
17,法國,人生最後一場拍賣會,2019/05/24,海鵬影業有限公司,MFI SAS,1,26,-52.73%,"4,880",81,"13,500"
18,美國,阿拉丁,2019/05/22,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",96,"275,367",7.43%,"63,751,987","531,693","124,454,644"
19,美國,狗狗的旅程,2019/05/17,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,80,"6,200",-70.72%,"1,458,143","51,311","11,818,117"
20,中華民國,樂獄,2019/05/17,文達文創股份有限公司,"華視娛樂投資集團股份有限公司 (HS Entertainment Group Incorporated)##文達影業有限公司 (Winday Pictures Ltd)##文達文創股份有限公司 (Winday Culture Co., Ltd.)##福斯傳媒有限公司##MM2 ENTERTAINMENT PTE LTD mm2影視娛樂製作有限公司##福建恒業影業有限公司",58,"1,097",-79.12%,"243,505","23,477","5,235,971"
21,中華民國,你的臉+光,2019/05/17,汯呄霖電影有限公司,汯呄霖電影有限公司##財團法人公共電視文化事業基金會,2,"1,077",-43.23%,"220,695","4,832","976,190"
22,美國,醜娃娃大冒險,2019/05/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX Productions, LLC",21,298,-77.61%,"66,170","5,592","1,284,745"
23,中華民國,我的第一任,2019/05/17,寬銀慕電影製作有限公司,寬銀慕電影製作有限公司,11,192,-86.22%,"43,295","3,944","894,913"
24,美國,極惡人魔,2019/05/17,車庫娛樂股份有限公司,"MELVILLE FILMS, INC.",9,110,-91.85%,"25,625","3,168","739,792"
25,法國,巴黎A片現場,2019/05/17,佳映娛樂國際股份有限公司,INDIE SALES COMPANY,4,87,-70.51%,"17,160",600,"124,087"
26,美國,異星探索,2019/05/17,暗光鳥有限公司,INDEPENDENT FILM SALES,2,6,-93.68%,"1,690",227,"51,398"
27,美國,捍衛任務3：全面開戰,2019/05/15,威視股份有限公司,LIONS GATE INTERNATIONAL (UK) LIMITED,96,"78,987",-58.38%,"18,356,403","559,676","128,206,642"
28,英國,芭蕾王者,2019/05/10,聯影企業股份有限公司,The Match Factory GmbH,4,411,-51.42%,"90,500","4,339","922,134"
29,法國,感謝上帝,2019/05/10,天馬行空數位有限公司,Playtime,3,153,-61.56%,"32,760","2,455","525,237"
30,瑞典,極地先鋒,2019/05/10,采昌國際多媒體股份有限公司,AB Svensk Filmindustri,7,155,-80.70%,"31,380","1,855","396,751"
31,中華民國,Bra太子,2019/05/10,丙午駒電影有限公司,楊春娥,2,104,-78.20%,"25,850","2,543","538,249"
32,香港,P風暴,2019/05/10,華映娛樂股份有限公司,東方影業出品有限公司,5,48,-93.01%,"11,025","10,713","2,357,300"
33,美國,人肉農場,2019/05/10,暗光鳥有限公司,"BLUE FOX ENTERTAINMENT 2, LLC",1,4,-94.29%,900,999,"221,344"
34,日本,母親過世時，我想吃掉她的骨灰,2019/05/10,車庫娛樂股份有限公司,HAKUHODO DY MUSIC & PICTURES INC.,1,1,-99.44%,220,"2,369","514,158"
35,美國,名偵探皮卡丘,2019/05/09,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.##WARNER BROS. PICTURES INTERNATIONAL.,98,"39,904",-61.74%,"9,344,776","649,540","154,393,825"
36,美國,詐騙女神,2019/05/09,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,92,"24,191",-60.74%,"5,654,546","350,795","81,267,978"
