序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
1,中華民國,鬥魚,2018/08/17,星泰國際娛樂股份有限公司,多曼尼製作有限公司##星泰國際娛樂股份有限公司##旺旺中時媒體集團##宏璟建設股份有限公司##樂到家國際娛樂股份有限公司##香港商福斯傳媒有限公司台灣分公司##(大陸)霍爾果斯鑫岳影視傳媒有限公司##(大陸)霍爾果斯觀達影視文化傳播有限公司,72,"52,161","11,797,646","94,793","21,476,861"
2,日本,未來的未來,2018/08/17,傳影互動股份有限公司,NIPPON TELEVISION-STUDIO CHIZU LLP,67,"22,214","5,067,721","42,870","9,838,058"
3,英國,老娘也要當間諜,2018/08/17,英屬維京群島商高捷全球開發有限公司 台灣分公司,LIONS GATE INTERNATIONAL (UK) LIMITED,55,"21,495","4,917,208","41,223","9,436,020"
4,日本,每天回家老婆都在裝死,2018/08/17,車庫娛樂股份有限公司,COLORBIRD INC.,40,"18,848","4,303,284","34,017","7,763,587"
5,美國,拳力逃脫,2018/08/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX PRODUCTIONS,LLC",67,"19,186","4,243,974","45,224","9,955,969"
6,中華民國,范保德,2018/08/17,鏡象電影製作有限公司,積木影像製作有限公司,21,"5,358","1,199,130","9,552","2,152,978"
7,英國,湯瑪士小火車：環遊世界大冒險,2018/08/17,香港商甲上娛樂有限公司台灣分公司,GULLANE (THOMAS) LIMITED,15,"3,963","939,177","8,765","2,085,121"
8,日本,飛上天空的輪胎,2018/08/17,天馬行空數位有限公司,NIKKATSU CORPORATION,16,"1,397","306,150","2,798","621,981"
9,日本,黃昏清兵衛,2018/08/17,車庫娛樂股份有限公司,"SHOCHIKU CO.,LTD.",4,293,"61,860",521,"108,965"
10,美國,劊樂小丑,2018/08/17,暗光鳥有限公司,"EPIC PICTURES GROUP, INC.",3,265,"57,770",751,"165,295"
11,印尼,愛的所有格,2018/08/17,可樂藝術文創股份有限公司,(香港)GOOD MOVE MEDIA,3,113,"23,120",254,"53,400"
12,美國,巨齒鯊,2018/08/10,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,91,"131,826","31,065,360","608,220","142,643,899"
13,日本,蠟筆小新電影功夫小子之拉麵大亂鬥！,2018/08/10,木棉花國際股份有限公司,ASATSU-DK INC.,18,"4,541","1,040,220","24,087","5,474,170"
14,日本,娼年,2018/08/10,車庫娛樂股份有限公司,COLORBIRD INC.,5,526,"113,745","3,978","858,302"
15,日本,K SEVEN STORIES EPISODE 2「SIDE：BLUE～猶如天狼～」,2018/08/10,曼迪傳播有限公司,"KING RECORD CO., LTD.",6,194,"44,681","1,109","259,695"
16,美國,永遠愛妳，惠妮！,2018/08/10,威視股份有限公司,(英國)ALTITUDE FILM SALES LIMITED,7,174,"37,910","1,857","414,618"
17,瑞士,我的冠軍男友,2018/08/10,東昊影業有限公司,(法國)FILMS BOUTIQUE SAS,4,154,"32,200","1,184","255,940"
18,瑞典,柏格曼：大師狂想,2018/08/10,佳映娛樂國際股份有限公司,(德國)THE MATCH FACTORY GMBH,4,143,"29,000",719,"151,561"
19,日本,夏日大作戰,2018/08/10,傳影互動股份有限公司,STUDIO CHIZU LLP,2,66,"15,571",666,"147,546"
20,日本,跳躍吧！時空少女,2018/08/10,傳影互動股份有限公司,STUDIO CHIZU LLP,2,58,"13,183",553,"122,338"
21,日本,怪物的孩子,2018/08/10,傳影,NIPPON TELEVISION-STUDIO CHIZU LLP,2,32,"7,490",204,"43,520"
22,中國大陸,三生三世十里桃花,2018/08/10,富康興業有限公司,阿里巴巴影業(北京)有限公司##上海儒意影視製作有限公司##北京光線影業有限公司##萬達影視傳媒有限公司##霍爾果斯悅凱影視傳媒有限公司##上海潤金文化傳播有限公司##華夏電影發行有限責任公司##珠江影業傳媒股份有限公司##上海翎刻閃耀影視製作有限公司##上海淘票票影視文化有限公司##霍爾果斯青春光線影業有限公司##霍爾果斯吉翔影坊影視傳媒有限公司##非洋娛樂傳媒(北京)有限公司,2,19,"4,310",526,"118,780"
23,中國大陸,記憶大師,2018/08/10,向洋影業有限公司,萬達影視傳媒有限公司##上海瀚納影視文化傳媒有限公司##霍爾果斯春天融和傳媒有限公司##深圳善為影業股份有限公司##樂視影業(北京)有限公司##天津貓眼影業有限公司,2,17,"3,920",423,"95,575"
24,南韓,與神同行：最終審判,2018/08/08,采昌國際多媒體股份有限公司,(匈牙利)FREEWAY ENTERTAINMENT KFT.,83,"286,885","68,755,086","1,774,485","424,367,571"
25,美國,摯友維尼,2018/08/03,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",44,"6,701","1,610,736","96,030","22,328,097"
26,日本,道別的早晨就用約定之花點綴吧,2018/08/03,向洋影業有限公司,Hakuhodo DY music ＆ pictures Inc.,10,"2,420","611,093","14,367","3,532,125"
27,美國,怒火邊界2：毒刑者,2018/08/03,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,(英國)LIONS GATE INTERNATIONAL(UK) LIMITED,6,376,"85,130","23,675","5,220,451"
28,荷蘭,真假維梅爾,2018/08/03,海鵬影業有限公司,(盧森堡)PAUL THILTGES DISTRIBUTIONS SA,3,159,"34,045","4,028","833,055"
29,南韓,鬼戲語,2018/08/03,車庫娛樂股份有限公司,M-LINE DISTRIBUTION,2,70,"13,730","8,370","1,765,615"
30,美國,媽媽咪呀！回來了,2018/08/01,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,41,"4,765","1,111,478","105,840","24,351,846"
31,法國,喜歡你愛上你逃離你,2018/07/27,傳影互動股份有限公司,MK2 FILMS,1,28,"6,520","3,896","862,401"
32,美國,不可能的任務：全面瓦解,2018/07/25,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,85,"84,692","19,898,441","1,793,343","425,158,475"
33,義大利,願望咖啡館,2018/07/20,海鵬影業有限公司,TRUE COLOURS glorious films S.r.l.,3,314,"67,120","9,639","2,062,247"
34,泰國,把哥哥退貨可以嗎,2018/07/20,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,GDH 559 Company Limited,2,40,"14,540","38,725","8,804,045"
35,法國,一袋彈珠,2018/07/20,捷傑有限公司,GAUMONT S.A.,1,39,"8,490","3,367","706,090"
36,美國,震撼真相,2018/07/20,華聯國際影音股份有限公司,"VOLTAGE PICTURES, LLC",1,72,"7,200","3,568","767,554"
37,美國,尖叫旅社3:怪獸假期,2018/07/19,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,47,"10,351","2,312,629","299,953","66,886,549"
38,日本,小偷家族,2018/07/13,采昌國際多媒體股份有限公司,GAGA Corporation,7,"1,681","375,185","60,534","13,527,252"
39,美國,?本龍一:async紐約現場,2018/07/13,佳映娛樂國際股份有限公司,(法國)DOC AND FILM INTERNATIONAL,1,82,"24,272",659,"164,448"
40,瑞典,決戰賽末點,2018/07/13,車庫娛樂股份有限公司,AB SVENSK FILMINDUSTRI,2,140,"21,740",697,"141,730"
41,日本,?本龍一：終章,2018/07/13,佳映娛樂國際股份有限公司,(法國)DOC AND FILM INTERNATIONAL,2,82,"17,915","9,924","2,179,029"
42,中華民國,命帶追逐（2018數位修復版）,2018/07/13,鏡象電影製作有限公司,積木影像製作有限公司,1,44,"9,235","2,919","644,841"
43,美國,摩天大樓,2018/07/12,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,24,"1,792","409,910","799,605","186,958,077"
44,日本,名偵探柯南:零的執行人,2018/07/06,向洋影業有限公司,"TMS ENTERTAINMENT CO.,LTD.",13,"2,976","701,694","376,130","87,004,752"
45,美國,蟻人與黃蜂女,2018/07/04,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",4,373,"88,930","1,259,992","296,081,494"
46,日本,電影哆啦A夢:大雄的金銀島,2018/07/02,鴻基國際視訊股份有限公司,"TOHO CO.,LTD",2,267,"57,695","44,721","10,248,089"
47,美國,鋼鐵墳墓2,2018/06/29,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,(匈牙利)ESCAPE PLAN 2,7,"1,209","85,150","68,614","15,136,944"
48,法國,愛情不輪轉,2018/06/29,海樂影業股份有限公司,GAUMONT S.A.,1,89,"13,710","2,528","538,522"
49,美國,超人特攻隊2,2018/06/27,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",35,"5,673","1,275,940","1,133,386","258,767,222"
50,美國,貼背戰,2018/06/22,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,5,"1,275","75,270","141,433","32,368,326"
51,南韓,信徒,2018/06/22,車庫娛樂股份有限公司,CONTENTS PANDA,2,190,"22,010","5,203","1,151,521"
52,法國,醫生敲愛錢,2018/06/22,聯影企業股份有限公司,TF1 DROITS AUDIOVISUELS,1,46,"6,900","1,204","242,200"
53,美國,跟著IKEA衣櫥去旅行,2018/06/22,香港商甲上娛樂有限公司台灣分公司,(法國)TF1 DROITS AUDIOVISUELS,1,9,"2,050","22,395","5,086,135"
54,南韓,冠軍大叔,2018/06/15,華映娛樂股份有限公司,"FINECUT CO., LTD.",14,"3,140","262,680","202,736","45,004,084"
55,中華民國,只有大海知道,2018/06/15,沃土影像製作有限公司,沃土影像製作有限公司,3,493,"98,660","37,762","8,384,462"
56,中華民國,看不見的台灣,2018/06/15,牽猴子整合行銷股份有限公司,影市堂股份有限公司,2,252,"17,820","10,334","2,217,437"
57,美國,宿怨,2018/06/15,傳影互動股份有限公司,A24 INTERNATIONAL LLC,3,208,"17,720","113,351","26,329,925"
58,美國,瞞天過海:八面玲瓏,2018/06/14,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,2,"1,403","74,415","605,525","141,554,991"
59,美國,侏羅紀世界:殞落國度,2018/06/06,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,8,966,"105,490","2,538,663","620,505,509"
60,英國,耶爾瑪（英國國家劇院現場）,2018/06/01,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,5,118,"77,520",379,"242,240"
61,美國,犬之島,2018/06/01,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,7,501,"47,220","54,540","12,342,718"
62,美國,猛龍怪客,2018/06/01,車庫娛樂股份有限公司,(香港)OCEAN WAVE MOTION PICTURES (INTERNATIONAL) LIMITED,6,562,"40,645","55,358","12,185,564"
63,美國,真愛收信中,2018/06/01,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,(法國)STUDIOCANAL SAS,5,428,"35,910","6,887","1,330,990"
64,日本,新參者完結篇：當祈禱落幕時,2018/05/25,車庫娛樂股份有限公司,"TOKYO BROADCASTING SYSTEM TELEVISION, INC.",2,118,"17,340","11,690","2,614,613"
65,義大利,波伽利：聲命之歌,2018/05/25,采昌國際多媒體股份有限公司,(匈牙利)FREEWAY ENTERTAINMENT KFT.,1,91,"13,300","6,475","1,370,685"
66,美國,星際大戰外傳:韓索羅,2018/05/23,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",5,436,"29,805","124,859","29,511,052"
67,美國,姐就是美！,2018/05/21,華聯國際影音股份有限公司,"VOLTAGE PICTURES, LLC",2,115,"9,725","54,622","12,247,865"
68,美國,死侍2,2018/05/15,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,9,"1,124","102,800","1,227,301","287,515,695"
69,美國,真心話大冒險,2018/05/11,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,7,839,"62,220","221,852","50,112,267"
70,瑞士,尋愛偵探阿洛伊斯,2018/05/11,前景娛樂有限公司,HUGOFILM PRODUCTIONS,1,50,"10,000","1,517","329,625"
71,德國,視界戰,2018/05/04,海樂影業股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT.,2,119,"10,880","36,040","7,704,455"
72,日本,羊之木,2018/04/27,天馬行空數位有限公司,"ASMIK ACE, INC.",1,12,"1,200","12,854","2,873,895"
73,美國,復仇者聯盟：無限之戰,2018/04/25,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",13,"2,343","183,400","2,594,250","641,605,000"
74,美國,頂尖高手,2018/04/20,社團法人台灣電影文化協會,佳映娛樂國際股份有限公司,4,415,"88,860",458,"97,080"
75,南韓,鬼病院：靈異直播,2018/04/20,車庫娛樂股份有限公司,SHOWBOX CORP.,1,64,"5,260","109,435","24,904,959"
76,美國,真愛趁現在,2018/04/13,威視股份有限公司,"MIDNIGHT SUN, LLC",1,48,"6,720","15,629","3,305,766"
77,美國,毀滅大作戰,2018/04/12,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,2,163,"13,480","591,544","136,881,667"
78,美國,恩德培行動,2018/04/04,英屬維京群島商高捷全球開發有限公司 台灣分公司,"(美國)STORYTELLER DISTRIBUTION CO., LLC",1,32,"3,200","27,740","5,873,717"
79,美國,一級玩家,2018/03/29,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,4,419,"26,405","1,415,098","361,577,642"
80,美國,淑女鳥,2018/02/28,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,39,"3,530","35,588","7,998,100"
81,南韓,與神同行,2017/12/22,采昌國際多媒體股份有限公司,(匈牙利)FREEWAY ENTERTAINMENT KFT.,3,"1,612","369,295","2,203,051","513,584,962"
82,中國大陸,大世界,2017/12/02,社團法人台灣電影文化協會,安樂影片有限公司,1,321,"70,888",321,"70,888"
