序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,美國,隱形人,2020/02/27,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,98,"76,259",2.46%,"18,178,435","150,684","35,887,569"
2,中華民國,女鬼橋,2020/02/27,星泰國際娛樂股份有限公司,樂到家國際娛樂股份有限公司##天馬傳播事業有限公司##得藝文創國際股份有限公司##大慕影藝國際事業股份有限公司##氧氣電影有限公司##華映娛樂股份有限公司##海樂影業股份有限公司,86,"77,840",-21.42%,"18,004,134","177,652","41,064,944"
3,美國,極地守護犬,2020/02/27,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",89,"21,966",-40.24%,"4,904,931","58,725","13,154,638"
4,日本,鳴鳥不飛：烏雲密布,2020/02/27,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,12,"9,097",-15.80%,"2,227,076","19,901","4,813,448"
5,日本,哥布林殺手：GOBLIN'S CROWN,2020/02/27,木棉花國際股份有限公司,Hakuhodo DY music & pictures Inc.,31,"5,492",-64.31%,"1,301,543","20,881","4,952,498"
6,泰國,娘娘腔日記,2020/02/27,車庫娛樂股份有限公司,GDH 559 COMPANY LIMITED,35,"2,464",-45.22%,"562,476","6,962","1,608,921"
7,香港,叔．叔,2020/02/27,采昌國際多媒體股份有限公司,先響電影有限公司New Voice Film Productions Ltd,11,"1,027",-16.09%,"231,748","2,251","507,896"
8,瑞典,千日千夜,2020/02/27,東昊影業有限公司,Roy Andersson Filmproduktion AB,14,906,-0.55%,"198,233","1,817","394,946"
9,南韓,寄生上流：黑白版,2020/02/27,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CJ ENM CO. LTD,20,783,-27.43%,"181,065","1,862","433,499"
10,瑞典,鴿子在樹枝上沉思,2020/02/27,東昊影業有限公司,SOCIETE PARISIENNE DE,1,168,64.71%,"35,820",270,"57,520"
11,法國,汪星人的奇幻漂流,2020/02/27,天馬行空數位有限公司,CHARADES,11,110,-5.17%,"24,765",336,"70,752"
12,美國,音速小子,2020/02/21,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,98,"11,817",-72.45%,"2,767,018","96,847","22,718,394"
13,美國,李察朱威爾事件,2020/02/21,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,78,"3,557",-69.44%,"827,463","26,119","5,945,573"
14,南韓,陰櫥,2020/02/21,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",48,"2,509",-80.39%,"586,914","29,635","6,961,967"
15,美國,電影音效傳奇：好萊塢之聲,2020/02/21,造次文化有限公司,Dogwoof Ltd,9,"1,076",-41.46%,"248,873","3,619","841,641"
16,西班牙,絕命大平台,2020/02/21,原創娛樂股份有限公司,Latido Consorcio De Exportacion Del Cine Espanol SL,17,710,-74.05%,"160,646","6,925","1,527,874"
17,法國,悲慘世界,2020/02/21,海鵬影業有限公司,WILD BUNCH,11,555,-53.16%,"120,020","3,004","642,653"
18,中華民國,失路人,2020/02/21,中影股份有限公司,中影股份有限公司,3,318,-38.37%,"67,430","1,326","285,993"
19,羅馬尼亞,吹哨奇案,2020/02/21,光年映畫有限公司,MK2 FILMS,9,256,-58.10%,"56,290","1,471","315,370"
20,比利時,少年阿罕默德,2020/02/21,捷傑有限公司,Wild Bunch,5,99,-76.54%,"19,780",916,"190,140"
21,法國,閃閃小超人電影版,2020/02/21,采昌國際多媒體股份有限公司,STUDIOCANAL,10,72,-84.21%,"16,090","1,140","253,822"
22,日本,咒怨 電影版,2020/02/21,暗光鳥有限公司,KADOKAWA CORPORATION,5,30,-81.25%,"6,300",418,"91,770"
23,南韓,"超""人""氣動物園",2020/02/14,車庫娛樂股份有限公司,"FINECUT CO., LTD.",51,"5,572",-75.42%,"1,321,265","137,112","31,976,641"
24,美國,逃出夢幻島,2020/02/14,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,77,"2,250",-84.29%,"523,407","97,320","21,749,516"
25,美國,雨天 . 紐約,2020/02/14,香港商甲上娛樂有限公司台灣分公司,Krisolta Film & TV (UK) LIMITED,11,572,-62.86%,"125,925","10,737","2,483,528"
26,日本,殺不了的他和死不了的她,2020/02/14,威視股份有限公司,KADOKAWA CORPORATION,5,150,-77.51%,"35,460","6,696","1,597,696"
27,日本,愛情人形,2020/02/14,天馬行空數位有限公司,NIKKATSU CORPORATION,4,109,-71.47%,"24,960","3,335","756,366"
28,泰國,就愛斷捨離,2020/02/14,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,GDH 559 COMPANY LIMITED,6,110,-81.79%,"24,870","5,597","1,288,651"
29,英國,羅密歐與茱麗葉,2020/02/14,威秀影城股份有限公司,More2Screen Limited,4,17,0.00%,"11,360",50,"34,280"
30,菲律賓,你好‧愛‧再見,2020/02/14,威秀影城股份有限公司,"ABS-CBN Film Productions, Inc.",8,31,0.00%,"7,363",220,"51,863"
31,日本,全境失控,2020/02/14,采昌國際多媒體股份有限公司,日本テレビ放送網株式会社,1,27,-86.70%,"6,295","4,409","964,872"
32,法國,謎夜拼圖,2020/02/14,本萃電影有限公司,The Match Factory GmbH,2,22,-45.00%,"5,100",483,"111,110"
33,哥倫比亞,失控少年兵團,2020/02/14,聯影企業股份有限公司,LE PACTE,1,3,-97.25%,825,883,"188,770"
