序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
1,美國,大君主行動,2018/11/09,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,87,"58,403","13,605,127","113,816","26,796,028"
2,美國,鬼靈精,2018/11/09,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,83,"23,872","5,430,077","56,625","12,792,153"
3,美國,蜘蛛網中的女孩,2018/11/09,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,85,"19,975","4,446,324","45,488","10,158,368"
4,南韓,七罪追緝令,2018/11/09,車庫娛樂股份有限公司,SHOWBOX CORP.,16,"1,890","422,991","4,545","1,021,325"
5,美國,草間∞彌生,2018/11/09,佳映娛樂國際股份有限公司,(英國)DOGWOOF LTD,13,"1,212","264,600","2,478","541,846"
6,西班牙,鬥牛犬：米其林帝國,2018/11/09,海鵬影業有限公司,"(法國)WIDE HOUSE, SARL",7,679,"148,520","1,191","260,460"
7,中華民國,憨嘉,2018/11/09,天馬行空數位有限公司,財團法人慈濟傳播人文志業基金會,9,567,"121,725","1,611","354,932"
8,芬蘭,無名戰士,2018/11/09,車庫娛樂股份有限公司,(德國)BETA CINEMA GMBH,6,387,"86,185",803,"186,184"
9,日本,K SEVEN STORIES EPISODE 5「紅之記憶～BURN～」,2018/11/09,曼迪傳播有限公司,"KING RECORD CO., LTD.",7,339,"77,541","1,024","237,049"
10,波蘭,愛情合眾國,2018/11/09,前景娛樂有限公司,NEW EUROPE FILM SALES,5,190,"38,290",362,"74,405"
11,法國,魔愛食人灣,2018/11/09,前景娛樂有限公司,MEMENTO FILMS INTERNATIONAL,5,127,"26,240",239,"50,370"
12,加拿大,噬童魔,2018/11/09,暗光鳥有限公司,(馬爾他)DEVILWORKS LIMITED,4,21,"5,260",47,"11,230"
13,美國,末日血戰,2018/11/09,暗光鳥有限公司,MPI MEDIA GROUP,4,18,"4,230",30,"7,020"
14,美國,無限鬼屋挑戰,2018/11/09,暗光鳥有限公司,"OCTANE ENTERTAINMENT, INC.",4,15,"3,690",41,"9,495"
15,美國,憂步,2018/11/09,暗光鳥有限公司,"OCTANE ENTERTAINMENT, INC.",4,9,"2,110",20,"4,450"
16,中華民國,誰先愛上他的,2018/11/02,親愛的工作室有限公司,海納百川娛樂有限公司##原點概念有限公司##親愛的工作室有限公司,93,"64,445","14,877,496","170,990","39,297,151"
17,美國,波希米亞狂想曲,2018/11/02,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,88,"27,335","6,474,270","105,926","25,192,021"
18,印度,我的嗝嗝老師,2018/11/02,捷傑有限公司,YASH RAJ FILMS,24,"2,909","638,803","13,462","2,996,289"
19,美國,生命中的美好意外,2018/11/02,傳影互動股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT,30,"2,339","536,273","14,483","3,397,910"
20,日本,聖☆哥傳,2018/11/02,香港商甲上娛樂有限公司台灣分公司,"SDP,INC.",11,"1,227","296,647","12,059","2,969,458"
21,南韓,親密陌生人,2018/11/02,采昌國際多媒體股份有限公司,(匈牙利)FREEWAY ENTERTAINMENT KFT.,26,"1,249","283,112","8,569","1,955,621"
22,美國,嚇地獄,2018/11/02,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CBS FILMS INC.,38,"1,139","252,470","13,402","2,968,648"
23,日本,電影版怪物彈珠空之彼方,2018/11/02,車庫娛樂股份有限公司,(香港)MEDIALINK ENTERTAINMENT LIMITED,7,689,"158,855","7,995","1,887,888"
24,日本,那些年，我們一起追的女孩(日),2018/11/02,天馬行空數位有限公司,"KINO FILMS CO., LTD.",14,528,"124,059","5,687","1,352,015"
25,美國,夜驚,2018/11/02,牽猴子整合行銷股份有限公司,BATRAX ENTERTAINMENT B.V.,18,560,"120,065","5,200","1,191,607"
26,印度,護墊俠,2018/11/02,車庫娛樂股份有限公司,SPE FILMS INDIA PVT. LTD.,19,248,"58,265","4,869","1,067,545"
27,中華民國,親愛的卵男日記,2018/11/02,答人文創事業有限公司,答人文創事業有限公司##和寬攝影器材有限公司,14,245,"55,365","2,682","597,226"
28,中華民國,同學會來嗎,2018/11/02,創意門文創電影事業有限公司,吳仲立##吳建國,5,151,"33,445","1,184","262,245"
29,加拿大,控制效應,2018/11/02,暗光鳥有限公司,(馬爾他)DEVILWORKS LIMITED,3,8,"1,740",61,"14,205"
30,美國,母狗,2018/11/02,暗光鳥有限公司,MPI MEDIA GROUP,2,3,610,30,"7,165"
31,美國,莢殺,2018/11/02,暗光鳥有限公司,(加拿大)RAVEN BANNER ENTERTAINMENT INC.,1,1,210,20,"5,020"
32,美國,松樹街陰宅,2018/11/02,暗光鳥有限公司,(加拿大)RAVEN BANNER ENTERTAINMENT INC.,1,0,0,38,"9,110"
33,俄羅斯,鬼人魚：死水禁地,2018/10/31,車庫娛樂股份有限公司,CENTRAL PARTNERSHIP SALES HOUSE LLC,3,36,"8,785",382,"90,215"
34,美國,曼蒂,2018/10/31,暗光鳥有限公司,"XYZ FILMS, LLC",4,33,"7,355",193,"43,025"
35,法國,夜噬人生,2018/10/31,暗光鳥有限公司,WTFILMS,3,19,"4,460",87,"19,460"
