序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,本周票數變動率,銷售金額,累計銷售票數,累計銷售金額
82,美國,血薄荷,2018/09/21,海樂影業股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT.,2,263,10.97%,"16,830","71,009","15,132,300"
83,美國,失蹤網紅,2018/09/14,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,(英國)LIONS GATE INTERNATIONAL(UK) LIMITED,3,144,-34.55%,"15,230","104,862","23,766,706"
84,美國,德魯大叔,2018/09/14,車庫娛樂股份有限公司,(英國)LIONS GATE INTERNATIONAL(UK) LIMITED,1,28,-58.21%,"4,200","18,008","4,258,751"
85,中華民國,山的那一邊,2018/09/07,內容物數位電影製作有限公司,內容物數位電影製作有限公司##華映娛樂股份有限公司##滿滿額娛樂有限公司,1,27,28.57%,"4,050","24,519","5,432,891"
86,美國,鬼修女,2018/09/06,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,5,203,-57.53%,"20,790","478,340","112,675,402"
87,中華民國,粽邪,2018/08/31,華影國際影藝有限公司,緯來電視網股份有限公司##一起影業製作有限公司##華達星多媒體事業股份有限公司##志嘉建設股份有限公司##華影國際影藝有限公司##和合佰納媒體事業股份有限公司,2,172,-53.76%,"9,900","219,909","49,273,565"
88,美國,私刑教育2,2018/08/30,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,2,116,-67.69%,"6,180","307,802","70,227,691"
89,美國,瘋狂亞洲富豪,2018/08/24,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,2,157,-33.19%,"26,280","286,014","66,386,121"
90,美國,殺戮元年,2018/08/24,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,2,379,1.07%,"20,330","66,733","15,147,109"
91,中華民國,鬥魚,2018/08/17,星泰國際娛樂股份有限公司,多曼尼製作有限公司##星泰國際娛樂股份有限公司##旺旺中時媒體集團##宏璟建設股份有限公司##樂到家國際娛樂股份有限公司##香港商福斯傳媒有限公司台灣分公司##(大陸)霍爾果斯鑫岳影視傳媒有限公司##(大陸)霍爾果斯觀達影視文化傳播有限公司,1,51,-60.16%,"2,805","136,999","30,570,074"
92,美國,不可能的任務：全面瓦解,2018/07/25,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,2,122,-65.34%,"7,510","1,897,530","447,486,435"
93,美國,尖叫旅社3:怪獸假期,2018/07/19,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,2,48,-5.88%,"5,680","310,549","68,682,970"
94,法國,高潮,2012/05/04,捷傑有限公司,WILD BUNCH,8,594,3.30%,"129,355","1,193","257,315"
