序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",68,"13,632",-41.27%,"3,211,734","36,845","8,666,348"
2,日本,犬鳴村,2020/04/01,車庫娛樂股份有限公司,"TOEI COMPANY, LTD.",50,"8,596",-43.96%,"2,025,251","23,936","5,621,722"
3,美國,間諜速成班,2020/04/01,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX Productions, LLC",87,"5,778",-41.81%,"1,301,645","15,708","3,545,394"
4,美國,魔髮精靈唱遊世界,2020/04/01,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,88,"2,436",-65.34%,"555,297","9,465","2,157,514"
5,墨西哥,羊男的迷宮,2020/04/01,車庫娛樂股份有限公司,(法國)WILD BUNCH,16,"1,236",-14.40%,"286,575","2,680","623,364"
6,日本,火口的二人,2020/04/01,采昌國際多媒體股份有限公司,Hakuhodo DY music & pictures Inc.,16,"1,141",-31.92%,"262,547","2,817","642,899"
7,泰國,冤鴦大盜,2020/04/01,英屬維京群島商高捷全球開發有限公司 台灣分公司,Mono Film Company Limited,40,610,-59.01%,"134,678","2,098","460,097"
8,澳洲,小魔花,2020/04/01,東昊影業有限公司,SOCIETE PARISIENNE DE PRODUCTION,19,385,-35.51%,"83,670",982,"213,574"
9,德國,馬丁伊登,2020/04/01,海鵬影業有限公司,The Match Factory,12,351,-40.61%,"70,912",942,"189,604"
10,美國,拾光人生,2020/04/01,車庫娛樂股份有限公司,(英國)RELIANCE ENTERTAINMENT PRODUCTIONS 9 LTD.,15,252,-43.24%,"54,507",696,"152,710"
11,日本,猛鬼大師收工沒?,2020/04/01,亮點國際影業有限公司,SDP INC.,21,99,-73.53%,"21,235",473,"111,768"
12,美國,託陰2：布拉姆回來了,2020/03/27,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX Productions, LLC",88,"2,034",-71.19%,"455,460","16,950","3,852,323"
13,南韓,抓住救命稻草的野獸們,2020/03/27,薩摩亞商雄讚股份有限公司台灣分公司,M-Line Distribution Corportation,75,"1,908",-69.48%,"428,230","14,137","3,163,858"
14,美國,絕命直播,2020/03/27,香港商甲上娛樂有限公司台灣分公司,"Live Movie, LLC",80,"1,807",-70.29%,"413,171","15,355","3,491,756"
15,日本,Re：從零開始的異世界生活-外傳篇章電影,2020/03/27,木棉花國際股份有限公司,"KADOKAWA SHOTEN CO., LTD.",18,"1,502",-69.44%,"332,532","12,009","2,669,714"
16,美國,無聲救援,2020/03/27,車庫娛樂股份有限公司,ROCKET SCIENCE INDUSTRIES LTD.,47,660,-76.41%,"153,010","6,779","1,552,965"
17,日本,最初的晚餐,2020/03/27,威視股份有限公司,KADOKAWA CORPORATION,28,188,-74.03%,"41,448","1,703","385,581"
18,法國,迷雁返家路,2020/03/27,可樂藝術文創股份有限公司,Société Nouvelle de Distribution (SND),26,162,-76.89%,"34,540","1,752","383,223"
19,日本,記憶屋,2020/03/27,天馬行空數位有限公司,"Shochiku Co., Ltd",16,141,-76.92%,"31,869","1,737","398,636"
20,美國,我的學生都是配樂大師,2020/03/27,造次文化有限公司,"Cardinal XD, LLC",7,82,-76.37%,"18,520",645,"147,659"
21,法國,聲入奇境：經典配樂大師,2020/03/27,佳映娛樂國際股份有限公司,Wide House,7,66,-63.93%,"14,570",489,"109,640"
22,加拿大,鏡中驚魂,2020/03/27,暗光鳥有限公司,"GEM ENTERTAINMENT, KFT.",6,62,-62.42%,"14,013",407,"90,239"
23,英國,我們的家不是我們的家,2020/03/27,天馬行空數位有限公司,PROTAGONIST PICTURES LIMITED,7,57,-66.86%,"12,140",535,"117,184"
24,日本,東京喰種S,2020/03/27,車庫娛樂股份有限公司,"SHOCHIKU CO., LTD.",14,38,-87.21%,"9,340",759,"178,881"
25,法國,奧斯卡配樂大師：亞歷山大戴斯培,2020/03/27,佳映娛樂國際股份有限公司,Wide House,2,37,-64.42%,"7,335",187,"39,937"
