序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,中華民國,有五個姊姊的我就註定要單身了啊！,2018/11/16,華聯國際影音股份有限公司,(大陸)珠海漢都影視投資有限公司##(大陸)北京嘉映文化傳媒有限公司##(大陸)北京萌樣影視製作有限公司##(大陸)喀什嘉映文化傳媒有限公司##(中華民國)群星瑞智國際娛樂股份有限公司##(中華民國)華聯國際影音股份有限公司##(中華民國)中國信託創業投資股份有限公司##(香港)安樂影片有限公司##(新加坡)MM2 ENTERTAINMENT PTE LTD,73,"7,803",-18.25%,"1,705,912","17,602","3,888,363"
2,法國,師聲對決,2018/11/16,鴻聯國際開發股份有限公司,PATHE FILMS,11,"1,821",30.35%,"396,642","3,218","707,786"
3,泰國,交友網戰,2018/11/16,采昌國際多媒體股份有限公司,MONO FILM COMPANY LIMITED,32,"1,543",-10.60%,"338,534","3,269","723,228"
4,英國,艾瑞克克萊普頓：藍調天堂路,2018/11/16,翻面映畫有限公司,ALTITUDE FILM SALES LIMITED,8,"1,360",155.64%,"317,079","1,892","440,450"
5,香港,翠絲,2018/11/16,台北双喜電影發行股份有限公司,天下一電影製作有限公司##品今天下影視有限公司##太陽娛樂文化有限公司##大名娛樂有限公司##框格音樂事務有限公司,16,"1,300",5.95%,"285,039","2,527","558,881"
6,比利時,劫局,2018/11/16,原創娛樂股份有限公司,BE FOR FILMS,9,822,1.36%,"175,162","1,633","350,261"
7,日本,姐姐的私廚,2018/11/16,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"TOEI COMPANY,LTD.",11,807,-21.50%,"169,645","1,835","402,821"
8,日本,老師君主,2018/11/16,車庫娛樂股份有限公司,"TOHO CO., LTD.",9,574,-17.17%,"127,060","1,267","284,005"
9,法國,我想要你記得＿,2018/11/16,光譜映像有限公司,(中華民國)光譜映像HOUSE ON FIRE##(中華民國)財團法人高雄市文化基金會##(法國)CINEMA DEFACTO,11,529,-58.38%,"120,070","1,800","401,608"
10,法國,大醫新鮮人,2018/11/16,捷傑有限公司,LE PACTE,6,551,-52.78%,"118,040","1,718","360,015"
11,美國,怪獸與葛林戴華德的罪行,2018/11/15,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,97,"326,438",-29.73%,"78,734,158","790,983","191,544,653"
12,南韓,BURN THE STAGE：THE MOVIE,2018/11/15,威秀影城股份有限公司,(英國)TRAFALGAR RELEASING LIMITED,10,"1,904",-91.64%,"759,800","24,682","9,847,200"
13,美國,大君主行動,2018/11/09,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,87,"29,413",-49.64%,"6,717,608","143,229","33,513,636"
14,美國,鬼靈精,2018/11/09,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,83,"13,179",-44.79%,"3,005,876","69,804","15,798,029"
15,美國,蜘蛛網中的女孩,2018/11/09,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,82,"6,472",-67.60%,"1,457,419","51,960","11,615,787"
16,美國,草間∞彌生,2018/11/09,佳映娛樂國際股份有限公司,(英國)DOGWOOF LTD,12,559,-53.88%,"121,835","3,037","663,681"
17,南韓,七罪追緝令,2018/11/09,車庫娛樂股份有限公司,SHOWBOX CORP.,11,525,-72.22%,"117,100","5,070","1,138,425"
18,西班牙,鬥牛犬：米其林帝國,2018/11/09,海鵬影業有限公司,"(法國)WIDE HOUSE, SARL",6,184,-72.90%,"39,170","1,375","299,630"
19,日本,K SEVEN STORIES EPISODE 5「紅之記憶～BURN～」,2018/11/09,曼迪傳播有限公司,"KING RECORD CO., LTD.",7,85,-74.93%,"20,033","1,109","257,082"
20,波蘭,愛情合眾國,2018/11/09,前景娛樂有限公司,NEW EUROPE FILM SALES,5,74,-61.05%,"15,950",436,"90,355"
21,芬蘭,無名戰士,2018/11/09,車庫娛樂股份有限公司,(德國)BETA CINEMA GMBH,3,55,-85.79%,"13,255",858,"199,439"
22,法國,魔愛食人灣,2018/11/09,前景娛樂有限公司,MEMENTO FILMS INTERNATIONAL,3,55,-56.69%,"10,990",294,"61,360"
23,中華民國,憨嘉,2018/11/09,天馬行空數位有限公司,財團法人慈濟傳播人文志業基金會,4,30,-94.71%,"7,025","1,641","361,957"
24,加拿大,噬童魔,2018/11/09,暗光鳥有限公司,(馬爾他)DEVILWORKS LIMITED,2,7,-66.67%,"1,850",54,"13,080"
25,美國,末日血戰,2018/11/09,暗光鳥有限公司,MPI MEDIA GROUP,1,3,-83.33%,750,33,"7,770"
26,中華民國,誰先愛上他的,2018/11/02,親愛的工作室有限公司,海納百川娛樂有限公司##原點概念有限公司##親愛的工作室有限公司,89,"62,176",-3.52%,"14,336,972","233,166","53,634,123"
27,美國,波希米亞狂想曲,2018/11/02,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,72,"16,065",-41.23%,"3,824,693","122,022","29,023,029"
28,印度,我的嗝嗝老師,2018/11/02,捷傑有限公司,YASH RAJ FILMS,16,"1,232",-57.65%,"272,764","14,694","3,269,053"
29,美國,生命中的美好意外,2018/11/02,傳影互動股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT,11,669,-71.40%,"151,390","15,121","3,542,985"
30,南韓,親密陌生人,2018/11/02,采昌國際多媒體股份有限公司,(匈牙利)FREEWAY ENTERTAINMENT KFT.,8,360,-71.18%,"85,150","8,929","2,040,771"
31,日本,聖哥傳,2018/11/02,香港商甲上娛樂有限公司台灣分公司,"SDP,INC.",10,318,-74.08%,"77,243","12,377","3,046,701"
32,美國,嚇地獄,2018/11/02,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CBS FILMS INC.,11,338,-70.32%,"73,985","13,740","3,042,633"
33,日本,那些年，我們一起追的女孩(日),2018/11/02,天馬行空數位有限公司,"KINO FILMS CO., LTD.",5,140,-73.48%,"30,880","5,827","1,382,895"
34,日本,電影版怪物彈珠空之彼方,2018/11/02,車庫娛樂股份有限公司,(香港)MEDIALINK ENTERTAINMENT LIMITED,7,92,-86.65%,"21,445","8,087","1,909,333"
35,中華民國,同學會來嗎,2018/11/02,創意門文創電影事業有限公司,吳仲立##吳建國,1,54,-64.24%,"11,740","1,238","273,985"
36,印度,護墊俠,2018/11/02,車庫娛樂股份有限公司,SPE FILMS INDIA PVT. LTD.,1,28,-88.71%,"7,050","4,897","1,074,595"
