序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,票數變動率,銷售金額,累計銷售票數,累計銷售金額
37,中華民國,親愛的卵男日記,2018/11/02,答人文創事業有限公司,答人文創事業有限公司##和寬攝影器材有限公司,3,28,-88.57%,"6,330","2,710","603,556"
38,美國,夜驚,2018/11/02,牽猴子整合行銷股份有限公司,BATRAX ENTERTAINMENT B.V.,2,24,-95.71%,"4,705","5,224","1,196,312"
39,美國,潛艦獵殺令,2018/10/26,英屬維京群島商高捷全球開發有限公司 台灣分公司,NU IMAGE INCORPORATED,59,"23,756",-41.33%,"5,558,896","306,680","70,831,950"
40,中華民國,疾風魅影-黑貓中隊,2018/10/26,寬和影像事業有限公司,寬和影像事業有限公司,13,"1,130",-61.84%,"268,615","15,186","3,299,978"
41,美國,登月先鋒,2018/10/26,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,12,316,-83.26%,"76,825","63,086","15,357,069"
42,南韓,屍落之城,2018/10/26,車庫娛樂股份有限公司,CONTENTS PANDA,15,306,-82.61%,"69,520","55,037","12,107,244"
43,中華民國,幸福城市,2018/10/26,幸福城市股份有限公司,幸福城市股份有限公司##長龢有限公司##財團法人高雄市文化基金會##滿滿額娛樂有限公司##(大陸)青島翰洺影業有限公司,3,226,-84.33%,"52,990","6,490","1,443,337"
44,中華民國,狂徒,2018/10/26,貴金影業傳媒股份有限公司,貴金影業傳媒股份有限公司##高雄市電影館##喜陽影片製作有限公司,6,84,-89.71%,"23,930","25,239","5,636,298"
45,中華民國,紅盒子,2018/10/19,後場音像紀錄工作室有限公司,後場音像紀錄工作室有限公司,13,776,-64.92%,"165,255","29,610","6,503,082"
46,英國,凱撒大帝(英國國家劇院現場),2018/10/19,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,1,166,0.00%,"108,560",518,"343,840"
47,英國,深夜小狗神祕習題(英國國家劇院現場),2018/10/19,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,1,81,-55.00%,"53,680",600,"403,800"
48,英國,劊子手(英國國家劇院現場),2018/10/19,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,4,57,-28.75%,"38,240",352,"227,400"
49,美國,怪物遊戲2：妖獸讚,2018/10/19,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,2,130,-47.79%,"30,170","47,276","10,481,922"
50,英國,朱門巧婦(英國國家劇院現場),2018/10/19,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,2,47,0.00%,"29,320",257,"164,040"
51,美國,億萬男孩俱樂部,2018/10/19,香港商甲上娛樂有限公司台灣分公司,"BB CLUB,LLC",1,100,53.85%,"20,500","25,242","5,971,958"
52,美國,月光光新慌慌,2018/10/19,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,6,68,-93.08%,"16,220","113,796","26,059,643"
53,日本,檢方的罪人,2018/10/19,車庫娛樂股份有限公司,"TOHO CO., LTD.",1,27,-81.51%,"5,990","22,648","5,151,043"
54,南韓,極智對決,2018/10/19,華聯國際影音股份有限公司,CJ E&M CORPORATION,3,16,-91.01%,"3,150","31,726","7,095,007"
55,美國,滴答屋,2018/10/10,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,2,14,-91.81%,"3,435","109,653","25,264,076"
56,美國,一個巨星的誕生,2018/10/09,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,70,"11,779",-55.22%,"2,829,254","678,684","159,918,442"
57,香港,無雙,2018/10/05,台北双喜電影發行股份有限公司,(香港)博納影視娛樂有限公司##(香港)英皇影業有限公司##(大陸)上海博納文化傳媒有限公司##(大陸)上海阿里巴巴影業有限公司##(大陸)華夏電影發行有限責任公司##(大陸)博納影業集團股份有限公司##(大陸)双喜電影發行(北京)有限公司,8,232,-59.15%,"48,080","199,930","45,776,572"
58,南韓,鬼神拍檔,2018/10/05,車庫娛樂股份有限公司,CJ E&M CORPORATION,2,176,100.00%,"26,350","10,721","2,390,724"
59,日本,在咖啡冷掉之前,2018/10/05,英屬維京群島商高捷全球開發有限公司 台灣分公司,"TOKYO BROADCASTING SYSTEM TELEVISION, INC.",1,42,-78.46%,"11,215","52,161","12,044,446"
60,美國,猛毒,2018/10/03,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,18,701,-78.72%,"170,719","1,189,380","277,861,153"
61,中國大陸,塑料王國,2018/09/28,視納華仁文化傳播股份有限公司,（香港）CNEX FOUNDATION LIMITED##（大陸）北京泰岳文化傳播有限責任公司（BEIJING TYC MEDIA）,1,161,0.00%,"35,420","3,263","695,442"
62,香港,歐洲攻略,2018/09/28,華映娛樂股份有限公司,（英屬維京群島）春光映画(BLOCK 2 PICTURES INC.)##（英屬維京群島）見天地電影工作室有限公司(MASTER CHINA FILMS LTD.)##（大陸）上海銀潤傳媒廣告有限公司##（大陸）西藏恆信天地影視有限公司##（大陸）浙江天意影視有限公司##（香港）美亞電影製作有限公司,3,255,6.25%,"28,760","8,129","1,724,577"
63,美國,小腳怪,2018/09/28,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,2,104,-55.74%,"22,240","95,379","21,627,105"
64,英國,胡桃鉗,2018/09/27,威秀影城股份有限公司,ROYAL OPERA HOUSE,1,94,0.00%,"62,920",174,"115,280"
65,中華民國,火焰中的星空,2018/09/27,符號文化股份有限公司,符號文化股份有限公司,1,234,0.00%,"50,945",734,"160,945"
66,日本,一屍到底,2018/09/21,車庫娛樂股份有限公司,NIKKATSU CORPORATION,6,345,-44.71%,"82,950","229,386","52,864,335"
67,美國,惡魔島,2018/09/21,香港商甲上娛樂有限公司台灣分公司,"RED GRANITE INTERNATIONAL,INC",4,528,0.00%,"55,545","165,142","38,775,639"
68,美國,極地之王,2018/09/21,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,5,700,55.21%,"48,945","22,677","4,875,341"
69,美國,血薄荷,2018/09/21,海樂影業股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT.,4,240,0.00%,"23,640","67,982","14,908,890"
70,日本,麵包超人電影版閃耀吧！庫倫與生命之星,2018/09/21,曼迪傳播有限公司,"TMS ENTERTAINMENT CO.,LTD.",1,75,-6.25%,"16,710","4,761","1,076,619"
71,香港,黃金兄弟,2018/09/21,牽猴子整合行銷股份有限公司,耀萊文娛發展有限公司##影藝人娛樂製作有限公司##(大陸)北京耀暘信盈投資有限公司##(中華民國)寬魚國際股份有限公司,2,87,0.00%,"8,220","68,028","15,618,381"
72,日本,退而不休,2018/09/21,天馬行空數位有限公司,"TOEI COMPANY,LTD.",1,33,-56.58%,"4,950","4,213","875,867"
73,美國,終極戰士：掠奪者,2018/09/14,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,11,"1,218",3.31%,"112,325","187,342","43,450,889"
74,美國,失蹤網紅,2018/09/14,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,(英國)LIONS GATE INTERNATIONAL(UK) LIMITED,5,804,523.26%,"50,640","101,777","23,508,256"
75,阿根廷,密謀,2018/09/14,本萃電影有限公司,(西班牙)LATIDO CONSORCIO DE EXPORTACION DEL CINE ESPANOL SL,1,34,0.00%,"5,440","9,565","2,198,791"
76,美國,德魯大叔,2018/09/14,車庫娛樂股份有限公司,(英國)LIONS GATE INTERNATIONAL(UK) LIMITED,1,33,-63.74%,"4,620","17,879","4,238,941"
77,中華民國,山的那一邊,2018/09/07,內容物數位電影製作有限公司,內容物數位電影製作有限公司##華映娛樂股份有限公司##滿滿額娛樂有限公司,1,112,314.81%,"26,880","24,471","5,425,571"
78,南韓,北風,2018/09/07,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CJ E&M CORPORATION,1,25,-60.32%,"3,750","10,241","2,338,381"
79,美國,鬼修女,2018/09/06,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,5,649,22.68%,"40,535","476,291","112,500,012"
80,中華民國,生生,2018/08/31,老灰狼影片製作有限公司,老灰狼影片製作有限公司,1,84,0.00%,"15,960","8,546","1,863,528"
81,中華民國,粽邪,2018/08/31,華影國際影藝有限公司,緯來電視網股份有限公司##一起影業製作有限公司##華達星多媒體事業股份有限公司##志嘉建設股份有限公司##華影國際影藝有限公司##和合佰納媒體事業股份有限公司,3,149,-54.15%,"15,090","219,034","49,222,315"
82,美國,私刑教育2,2018/08/30,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,9,"1,715",57.05%,"122,630","303,216","69,842,280"
83,美國,瘋狂亞洲富豪,2018/08/24,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,14,"2,591",36.95%,"236,675","281,863","65,978,781"
84,美國,闇黑之心,2018/08/24,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,1,99,-60.87%,"5,445","49,257","10,799,761"
85,美國,我願意,2018/08/24,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX PRODUCTIONS,LLC",1,31,0.00%,"3,100","6,291","1,068,671"
86,法國,全面霾伏,2018/08/24,香港商甲上娛樂有限公司台灣分公司,TF1 DROITS AUDIOVISUELS,1,9,-94.48%,"1,080","37,220","8,347,362"
87,中華民國,鬥魚,2018/08/17,星泰國際娛樂股份有限公司,多曼尼製作有限公司##星泰國際娛樂股份有限公司##旺旺中時媒體集團##宏璟建設股份有限公司##樂到家國際娛樂股份有限公司##香港商福斯傳媒有限公司台灣分公司##(大陸)霍爾果斯鑫岳影視傳媒有限公司##(大陸)霍爾果斯觀達影視文化傳播有限公司,4,565,87.09%,"32,565","135,595","30,494,954"
88,日本,每天回家老婆都在裝死,2018/08/17,車庫娛樂股份有限公司,COLORBIRD INC.,4,140,-40.68%,"12,650","48,952","11,175,757"
89,英國,老娘也要當間諜,2018/08/17,英屬維京群島商高捷全球開發有限公司 台灣分公司,LIONS GATE INTERNATIONAL (UK) LIMITED,2,43,-73.13%,"4,300","50,089","11,072,100"
90,美國,巨齒鯊,2018/08/10,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,5,381,-50.20%,"29,090","697,773","162,269,041"
91,美國,摯友維尼,2018/08/03,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",3,375,-59.50%,"22,630","102,874","23,462,249"
92,美國,不可能的任務：全面瓦解,2018/07/25,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,12,"2,188",-37.18%,"185,185","1,894,381","447,283,080"
93,美國,尖叫旅社3:怪獸假期,2018/07/19,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,3,374,-20.26%,"30,410","310,100","68,625,040"
94,美國,摩天大樓,2018/07/12,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,64,-74.70%,"5,100","812,038","187,916,572"
95,日本,名偵探柯南:零的執行人,2018/07/06,向洋影業有限公司,"TMS ENTERTAINMENT CO.,LTD.",1,67,-88.08%,"9,820","392,499","91,809,554"
96,美國,超人特攻隊2,2018/06/27,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",2,223,-48.74%,"11,410","1,148,268","260,564,183"
97,南韓,REAL,2017/08/04,車庫娛樂股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT.,1,31,0.00%,"6,820","23,438","5,178,618"
98,美國,失落之城,2017/06/02,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,SIERRA/AFFINITY LLC,1,25,0.00%,"10,000","6,809","1,263,859"
