序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,美國,依然相信,2020/03/20,車庫娛樂股份有限公司,LIONS GATE INTERNATIONAL (UK) LIMITED,52,"2,476",-3.05%,"587,792","5,030","1,189,007"
2,美國,A+瞎妹,2020/03/20,車庫娛樂股份有限公司,METRO-GOLDWYN-MAYER STUDIOS INC.,34,"1,291",5.13%,"297,870","2,519","580,804"
3,法國,我出去醫下,2020/03/20,原創娛樂股份有限公司,Other Angle Pictures,32,"1,078",-10.61%,"239,237","2,284","513,271"
4,南韓,神之一手：鬼手篇,2020/03/20,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",24,984,-10.71%,"223,020","2,086","477,376"
5,美國,最後晚安曲,2020/03/20,本萃電影有限公司,Westend Films Ltd.,37,715,-16.08%,"155,353","1,567","336,730"
6,日本,搖滾師匠：細野晴臣,2020/03/20,中影股份有限公司,日活株式會社(NIKKATSU CORPORATION),10,459,31.90%,"98,620",807,"172,165"
7,德國,不愛鋼琴師,2020/03/20,光年映畫有限公司,Beta Cinema GmbH,6,369,27.24%,"78,610",659,"141,540"
8,英國,囚愛之家,2020/03/20,暗光鳥有限公司,"CM SALES, LLC",5,57,-33.72%,"12,087",143,"30,741"
9,日本,我的失蹤爸爸,2020/03/20,輝洪開發股份有限公司,SDP,1,33,26.92%,"6,625",59,"11,985"
10,中華民國,練愛iNG,2020/03/13,威視股份有限公司,量能文創股份有限公司##聚善美文創娛樂有限公司##遊戲橘子數位科技股份有限公司##恆動工作室##天鵬翱翔集團有限公司,59,"7,439",-46.66%,"1,738,987","33,557","7,798,044"
11,日本,劇場版 不起眼女主角培育法 Fine,2020/03/13,車庫娛樂股份有限公司,ANIPLEX INC.,20,"2,288",-59.11%,"561,645","17,164","4,188,386"
12,美國,鋼鐵勳章,2020/03/13,采昌國際多媒體股份有限公司,Freeway Entertainment Kft,54,"1,508",-69.86%,"340,630","11,779","2,655,593"
13,泰國,通靈少年2020,2020/03/13,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Sahamongkolfilm International Co., Ltd.",30,353,-82.07%,"77,550","4,470","965,988"
14,南韓,南山的部長們,2020/03/13,車庫娛樂股份有限公司,SHOWBOX CORP.,16,292,-70.95%,"67,672","2,199","518,369"
15,波蘭,另類神父,2020/03/13,聯影企業股份有限公司,New Europe Film Sales,9,265,-67.32%,"57,337","1,834","385,752"
16,日本,電影版 地獄少女,2020/03/13,車庫娛樂股份有限公司,GAGA CORPORATION,17,194,-75.72%,"43,505","1,967","443,975"
17,美國,安雅的回家路,2020/03/13,華映娛樂股份有限公司,"13 FILMS, LLC",21,102,-79.84%,"21,905","1,476","312,481"
18,中國大陸,破．局,2020/03/13,恆星多媒體股份有限公司,西藏恒信天地影視有限公司##霍爾果斯捷成瑞吉祥影視傳媒有限公司##北京春秋永樂文化傳播股份有限公司##天津貓眼文化傳媒有限公司##星空盛典影業(深圳)股份有限公司##深圳市東方富海投資管理股份有限公司##喀什嘉映文化傳媒有限公司##偉世兄弟文化傳媒有限公司##天津筋斗雲影視文化傳媒有限公司##上海博納文化傳媒有限公司##嘉映影業有限公司##宸銘影業(上海)有限公司##霍爾果斯宸銘影業有限公司##北京怪獸影視文化傳媒有限公司,1,53,-56.91%,"11,825",323,"72,870"
19,美國,牆內的房客,2020/03/13,暗光鳥有限公司,MPI MEDIA GROUP,4,47,-53.47%,"10,370",272,"59,808"
20,英國,複製柔伊,2020/03/13,天馬行空數位有限公司,PROTAGONIST PICTURES LIMITED,3,35,-79.89%,"7,300",376,"77,435"
21,美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",99,"28,765",-62.01%,"6,830,580","237,322","56,648,745"
22,越南,我，最親愛的,2020/03/12,水元素文化傳媒有限公司,"SKYLINE MEDIA CO., LTD",13,259,-69.64%,"58,944","2,168","495,966"
23,英國,天鵝湖,2020/03/07,威秀影城股份有限公司,More2Screen Limited,1,6,-78.57%,"4,000",71,"50,600"
24,南韓,大畫特務,2020/03/06,香港商甲上娛樂有限公司台灣分公司,"LOTTE CULTUREWORKS CO., LTD.",82,"2,409",-64.21%,"536,213","51,012","11,672,349"
25,南韓,明明會說話,2020/03/06,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,LittleBig Pictures,46,472,-76.99%,"105,768","20,190","4,463,056"
26,法國,導演先生的完美假期,2020/03/06,繁盛映畫有限公司,Wild Bunch,4,228,-40.00%,"49,355","2,684","571,702"
27,美國,艾瑪﹒,2020/03/06,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,10,142,-72.64%,"31,645","4,171","980,957"
28,英國,親愛的莎瑪,2020/03/06,海鵬影業有限公司,Autlook Filmsales GmbH,4,60,-74.03%,"13,250","1,947","412,572"
29,美國,戰慄糖果屋,2020/03/06,車庫娛樂股份有限公司,METRO-GOLDWYN-MAYER STUDIOS INC.,11,51,-91.60%,"12,215","8,019","1,863,398"
30,北馬其頓,大地蜜語,2020/03/06,車庫娛樂股份有限公司,DECKERT DISTRIBUTION GMBH,2,32,-84.76%,"7,255","1,261","266,521"
31,日本,罪樂園,2020/03/06,海樂影業股份有限公司,KADOKAWA CORPORATION,1,5,-89.13%,"1,360",964,"203,501"
32,美國,隱形人,2020/02/27,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,95,"6,949",-58.39%,"1,623,895","216,622","51,493,069"
33,中華民國,女鬼橋,2020/02/27,星泰國際娛樂股份有限公司,樂到家國際娛樂股份有限公司##天馬傳播事業有限公司##得藝文創國際股份有限公司##大慕影藝國際事業股份有限公司##氧氣電影有限公司##華映娛樂股份有限公司##海樂影業股份有限公司,84,"6,973",-59.08%,"1,596,181","246,484","56,858,274"
34,日本,鳴鳥不飛：烏雲密布,2020/02/27,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,13,936,-52.32%,"230,729","27,672","6,734,802"
35,美國,極地守護犬,2020/02/27,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",64,"1,001",-63.47%,"228,791","71,041","15,934,145"
36,日本,哥布林殺手：GOBLIN'S CROWN,2020/02/27,木棉花國際股份有限公司,Hakuhodo DY music & pictures Inc.,15,173,-63.88%,"41,767","23,313","5,544,216"
37,美國,怨咒,2020/02/27,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,17,117,-78.49%,"26,730","20,822","4,687,372"
38,瑞典,千日千夜,2020/02/27,東昊影業有限公司,Roy Andersson Filmproduktion AB,1,59,-69.90%,"13,680","2,540","553,412"
39,香港,叔．叔,2020/02/27,采昌國際多媒體股份有限公司,先響電影有限公司New Voice Film Productions Ltd,1,4,-95.06%,"1,100","2,705","610,306"
40,泰國,娘娘腔日記,2020/02/27,車庫娛樂股份有限公司,GDH 559 COMPANY LIMITED,2,5,-87.80%,"1,090","7,491","1,727,346"
41,美國,音速小子,2020/02/21,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,37,274,-74.03%,"64,247","102,331","24,006,384"
42,美國,李察朱威爾事件,2020/02/21,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,5,60,-64.91%,"13,665","27,294","6,222,696"
43,西班牙,絕命大平台,2020/02/21,原創娛樂股份有限公司,Latido Consorcio De Exportacion Del Cine Espanol SL,3,39,-46.58%,"9,020","7,251","1,602,603"
44,美國,電影音效傳奇：好萊塢之聲,2020/02/21,造次文化有限公司,Dogwoof Ltd,2,25,-81.75%,"6,260","4,251","989,896"
45,南韓,陰櫥,2020/02/21,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",2,12,-85.19%,"2,435","30,277","7,112,535"
46,法國,悲慘世界,2020/02/21,海鵬影業有限公司,WILD BUNCH,2,2,-93.10%,410,"3,213","687,448"
47,法國,閃閃小超人電影版,2020/02/21,采昌國際多媒體股份有限公司,STUDIOCANAL,1,0,-100.00%,0,"1,158","257,622"
48,南韓,"超""人""氣動物園",2020/02/14,車庫娛樂股份有限公司,"FINECUT CO., LTD.",12,61,-83.86%,"14,323","139,400","32,520,396"
49,日本,全境失控,2020/02/14,采昌國際多媒體股份有限公司,日本テレビ放送網株式会社,2,90,23.29%,"8,440","4,602","986,122"
50,美國,雨天 . 紐約,2020/02/14,香港商甲上娛樂有限公司台灣分公司,Krisolta Film & TV (UK) LIMITED,1,22,-68.12%,"4,920","11,096","2,562,818"
51,美國,逃出夢幻島,2020/02/14,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,2,6,-89.66%,"1,535","97,879","21,881,072"
52,美國,我的寶貝男孩,2020/02/07,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,4,201,55.81%,"16,350","1,361","250,529"
53,美國,猛禽小隊: 小丑女大解放,2020/02/06,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,6,74,-75.82%,"17,862","469,531","112,308,587"
54,日本,王牌辯士,2020/01/31,天馬行空數位有限公司,"TOEI COMPANY, LTD.",2,56,47.37%,"8,480","1,397","294,095"
55,美國,1917,2020/01/30,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,15,"1,234",78.58%,"394,692","297,145","73,155,452"
56,南韓,紅鞋公主與七矮人,2020/01/30,可樂藝術文創股份有限公司,"FINECUT CO., LTD",3,3,-76.92%,770,"22,634","5,229,627"
