序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,中華民國/中國大陸,孤味/繭/擁抱/尋找保羅/Miss World/基石,2019/08/17,社團法人台灣電影文化協會,EnMaze Pictures Inc.,1,34,30.77%,"5,850",60,"10,350"
2,南韓,驅魔使者,2019/08/16,車庫娛樂股份有限公司,"LOTTE CULTUREWORKS CO., LTD.",79,"45,181",16.31%,"10,269,069","84,025","19,077,305"
3,中華民國,緝魔,2019/08/16,華映娛樂股份有限公司,傳遞娛樂傳媒有限公司##華映娛樂股份有限公司,60,"18,528",-20.36%,"4,213,450","42,009","9,512,708"
4,日本,普羅米亞,2019/08/16,中影股份有限公司,東寶株式會社,16,"8,791",69.25%,"2,184,992","13,985","3,478,944"
5,美國,炫目之光,2019/08/16,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,36,"2,209",-20.31%,"494,572","4,981","1,130,179"
6,日本,飛翔吧!埼玉,2019/08/16,傳影互動股份有限公司,PONY CANYON INC,5,"1,356",13.38%,"308,601","2,552","580,762"
7,日本,乾杯！戀上日本酒的女子,2019/08/16,天馬行空數位有限公司,Nine Film B.V.,9,457,-8.23%,"96,115",955,"203,582"
8,南韓,霹靂嬌鋒,2019/08/16,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",1,87,-44.23%,"18,680",243,"52,650"
9,日本,怨靈少女組,2019/08/16,暗光鳥有限公司,CREI INC.,4,35,0.00%,"7,565",70,"14,978"
10,中華民國,下半場,2019/08/15,下半場電影股份有限公司,下半場電影股份有限公司##華研國際音樂(股)公司##國賓影城(股)公司##高雄市電影館##美商華納兄弟(遠東)股份有限公司##逆光電影(股)公司##有享娛樂(股)公司##福斯傳媒有限公司##華策影業(天津)有限公司,94,"26,163","15,660.84%","5,961,008","26,329","5,993,378"
11,美國,憤怒鳥玩電影2：冰的啦！,2019/08/14,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,91,"29,902",-22.01%,"6,677,224","68,490","15,301,884"
12,日本,蠟筆小新電影 新婚旅行風暴-奪回廣志大作戰,2019/08/09,木棉花國際股份有限公司,ADK EMOTIOS INC.,32,"8,170",-43.34%,"1,896,064","36,108","8,342,601"
13,美國,朵拉與失落的黃金城,2019/08/09,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,84,"8,109",-64.52%,"1,827,853","59,162","13,286,109"
14,日本,乘浪之約,2019/08/09,台北双喜電影發行股份有限公司,Fuji Creative Coporation,25,"1,820",-64.10%,"436,046","12,081","2,821,044"
15,俄羅斯,絕世名伶,2019/08/09,天馬行空數位有限公司,(德國)KINOSTAR FILMVERLEIH GMBH,9,"1,075",-49.55%,"217,940","4,810","981,191"
16,法國,懸案判決,2019/08/09,亮點國際影業有限公司,CHARADES,10,661,-63.40%,"136,850","4,145","858,158"
17,法國,出發吧！我的脫單假期,2019/08/09,海鵬影業有限公司,Le Pacte,8,258,-72.26%,"54,330","2,158","467,039"
18,日本,櫻花開了,2019/08/09,春暉映像有限公司,株式会社クリエイターズユニオン,6,175,-67.59%,"32,575","1,494","301,758"
19,日本,一定要結婚嗎,2019/08/09,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"MCIP HOLDINGS., LTD",5,117,-79.44%,"25,070","1,380","305,206"
20,南韓,怎麼就，結婚了,2019/08/09,可樂藝術文創股份有限公司,M-Line Distribution,5,101,-73.49%,"23,325","1,001","229,136"
21,美國,是誰在搞鬼,2019/08/09,暗光鳥有限公司,BLACK MANDALA LTD.,2,15,-85.58%,"3,650",267,"59,857"
22,美國,在黑暗中說的鬼故事,2019/08/07,香港商甲上娛樂有限公司台灣分公司,"eONE FEATURES, LLC",93,"35,632",-51.92%,"8,293,469","207,771","47,738,805"
23,美國,靈異乍現,2019/08/07,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,51,713,-88.17%,"163,420","19,225","4,336,266"
24,西班牙,痛苦與榮耀,2019/08/02,傳影互動股份有限公司,BATRAX ENTERTAINMENT B.V.,10,"1,630",-37.81%,"348,993","11,045","2,373,197"
25,印度,電梯男孩的奇蹟,2019/08/02,聯影企業股份有限公司,Caroline Pictures Private Limited,2,87,-73.39%,"18,010","1,879","387,038"
26,南韓,王的文字,2019/08/02,采昌國際多媒體股份有限公司,Freeway Entertainment Kft.,3,33,-80.12%,"7,830","1,964","433,833"
27,美國,玩命關頭:特別行動,2019/07/31,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,100,"132,090",-51.81%,"31,533,838","1,788,159","428,435,105"
28,日本,戀戀銅鑼燒,2019/07/27,佳映娛樂國際股份有限公司,MK2,1,1,0.00%,150,5,720
29,日本,電影哆啦A夢：大雄的月球探測記,2019/07/26,車庫娛樂股份有限公司,"TOHO CO., LTD.",47,"5,465",-44.70%,"1,227,256","92,591","20,828,074"
30,美國,人生消極掰,2019/07/26,采昌國際多媒體股份有限公司,GEM Entertainment Kft.,15,969,-68.72%,"216,314","31,814","7,353,274"
31,美國,駭客任務,2019/07/26,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,3,224,-49.89%,"51,960","12,692","3,001,552"
32,以色列,出走巴黎,2019/07/26,海鵬影業有限公司,SBS Distribution,2,213,-17.12%,"45,480","3,577","751,091"
33,南韓,鬼學怨,2019/07/26,威視股份有限公司,"CJ ENM CO., LTD.",3,43,-78.28%,"9,300","18,909","4,346,252"
34,日本,漫長的告別,2019/07/26,天馬行空數位有限公司,"ASMIK ACE, INC.",1,24,-90.24%,"5,540","4,308","902,446"
35,美國,從前，有個好萊塢,2019/07/24,台北双喜電影發行股份有限公司,"Bona Film Investment Company (Pacific RIM, USA)",42,"4,107",-60.02%,"1,056,228","148,185","35,909,589"
36,美國,電流大戰,2019/07/19,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Lantern Entertainment LLC,13,635,-67.85%,"150,745","96,674","22,307,390"
37,荷蘭,首席指揮家,2019/07/19,海鵬影業有限公司,Incredible Film BV,5,226,-50.00%,"47,795","6,756","1,407,260"
38,德國,瑪雅蜜蜂大冒險：蜜糖危機,2019/07/19,捷傑有限公司,Studio 100 Film GmbH,6,64,-64.84%,"13,880","2,374","536,214"
39,英國,橫越生死線,2019/07/19,亮點國際影業有限公司,Independent Film Sales,1,39,0.00%,"3,900",544,"110,155"
40,日本,城市獵人劇場版 新宿Private Eyes,2019/07/19,木棉花國際股份有限公司,Aniplex Inc.,1,6,-68.42%,"1,770","7,205","1,786,088"
41,美國,獅子王,2019/07/17,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",96,"37,614",-40.61%,"8,728,061","1,279,833","307,200,478"
42,中華民國,灼人秘密,2019/07/16,岸上影像有限公司,"岸上影像有限公司,禾豐九路娛樂有限公司,爵士電影製作公司 JAZZY PICTURES (M) SDN. BHD.",5,345,-61.19%,"79,615","31,430","7,302,229"
43,日本,王者天下,2019/07/11,傳影互動股份有限公司,Columbia Pictures Industries Inc,1,40,-76.88%,"9,565","21,917","5,064,822"
44,義大利,米開朗基羅：無盡之詩,2019/07/05,海鵬影業有限公司,TRUE COLOURS glorious S.r.l.,1,16,-61.90%,"3,680","7,026","1,456,026"
45,香港,掃毒2 天地對決,2019/07/05,華映娛樂股份有限公司,寰宇娛樂有限公司##廣東昇格傳媒股份有限公司##銀都機構有限公司##映藝娛樂有限公司##太陽娛樂文化有限公司##北京合瑞影業文化有限公司,2,12,-94.12%,"2,800","175,852","40,299,813"
46,日本,名偵探柯南：紺青之拳,2019/07/03,向洋影業有限公司,株式会社トムス・エンタテインメント,37,"6,134",-31.59%,"1,490,330","457,724","105,967,460"
47,日本,阿嬤，不要忘記我,2019/07/03,水元素文化傳媒有限公司,Broadmedia Studios Corporation,1,115,"5,650.00%","23,000","3,039","630,827"
48,美國,蜘蛛人：離家日,2019/07/02,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,45,"3,266",-57.49%,"820,236","1,583,589","378,509,368"
49,南韓,寄生上流,2019/06/28,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CJ ENM CO. LTD,50,"11,442",-43.97%,"2,741,678","609,641","143,410,921"
50,中華民國,如常,2019/06/28,星泰國際娛樂股份有限公司,財團法人中華民國佛教慈濟慈善事業基金會,1,189,-70.56%,"37,800","40,929","8,826,668"
51,德國,大叔好神騎,2019/06/28,可樂藝術文創股份有限公司,Beta Cinema GmbH,2,92,-47.13%,"9,660","1,048","181,595"
52,香港,九龍不敗,2019/06/25,華映娛樂股份有限公司,天馬電影出品(香港)有限公司##天馬影聯影視文化(北京)有限公司##大名娛樂有限公司,3,196,-51.96%,"19,190","7,424","1,489,132"
53,美國,安娜貝爾回家囉,2019/06/25,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,1,6,-85.37%,"1,140","358,076","83,828,781"
54,英國,喬治三世的瘋狂,2019/06/21,威秀影城股份有限公司,National Theatre,4,62,0.00%,"43,080",398,"258,680"
55,加拿大,金錢性騙局,2019/06/21,佳映娛樂國際股份有限公司,Seville International,2,273,-41.67%,"28,450","1,896","284,808"
56,法國,別問我是誰,2019/06/21,天馬行空數位有限公司,Playtime,2,132,-28.26%,"19,780","4,368","898,785"
57,美國,玩具總動員 4,2019/06/20,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",38,"5,260",-32.78%,"1,217,014","1,334,625","311,079,260"
58,美國,安娜,2019/06/19,海樂影業股份有限公司,LIONS GATE INTERNATIONAL (UK) LIMITED,1,78,0.00%,"7,800","147,507","33,905,195"
59,日本,劇場版 歌之☆王子殿下♪真愛KINGDOM,2019/06/14,曼迪傳播有限公司,KING RECORD COMPANY LIMITED,2,343,41.74%,"83,199","8,552","2,216,908"
60,丹麥,懸案密碼-第64號,2019/06/14,峻龍國際有限公司,"MultiVisionnaire , Inc",2,148,-40.32%,"21,920","20,156","4,479,788"
61,美國,帕爾曼的音樂遍歷,2019/06/14,翻面映畫有限公司,"ROCO Films International, LLC",1,8,-42.86%,"1,575","13,128","3,024,218"
62,美國,MIB星際戰警：跨國行動,2019/06/12,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,3,209,45.14%,"27,860","399,226","93,894,405"
