序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,美國,我和我的摔角家庭,2019/04/04,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,88,"14,273",-49.66%,"3,225,973","42,627","9,671,275"
2,美國,奇幻遊樂園,2019/04/04,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,89,"8,676",-76.12%,"1,946,789","45,015","10,148,789"
3,日本,LoveLive!Sunshine!!學園偶像電影～彩虹彼端～,2019/04/04,群英社國際股份有限公司,BANDAI NAMCO Arts Inc,15,"2,238",-63.69%,"583,071","8,401","2,067,834"
4,南韓,錢力遊戲,2019/04/04,車庫娛樂股份有限公司,SHOWBOX CORP.,11,662,-57.62%,"150,733","2,224","511,098"
5,南韓,我的惹火上司,2019/04/04,暗光鳥有限公司,M-LINE DISTRIBUTION,6,35,-46.15%,"7,570",100,"21,930"
6,美國,侵密室友,2019/04/03,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"ANTON CAPITAL ENTERTAINMENT, S.C.A.",39,"7,503",-45.05%,"1,718,684","21,156","4,848,640"
7,法國,我的巴黎舅舅,2019/04/03,東昊影業有限公司,MK2 Films,7,629,-30.27%,"132,500","1,531","319,945"
8,中國大陸,阿拉姜色,2019/04/03,海鵬影業有限公司,小金斯古拉旅游文化投資有限公司、同德縣穹慶影視文化傳媒有限責任公司、北京誠利千代文化傳媒有限公司、四川斯古拉文化發展有限公司,8,629,-32.87%,"128,230","1,566","321,445"
9,日本,哈納萊伊灣,2019/04/03,可樂藝術文創股份有限公司,Alpha Violet (Grantor),6,244,-39.90%,"52,695",650,"141,903"
10,美國,沙贊！,2019/03/29,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,98,"114,863",-62.98%,"27,510,575","476,622","113,614,256"
11,美國,小飛象,2019/03/29,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",96,"45,438",-72.95%,"10,537,228","313,781","72,882,576"
12,美國,失控危城,2019/03/29,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Arclight Films International, Pty., Ltd.",63,"27,523",-45.37%,"6,346,827","101,586","23,247,543"
13,美國,愛上觸不到的你,2019/03/29,采昌國際多媒體股份有限公司,CBS Films Inc.,66,"23,697",-56.90%,"5,468,320","100,852","23,404,493"
14,泰國,屍降,2019/03/29,海樂影業股份有限公司,M PICTURES COMPANY LIMITED,55,"2,608",-81.20%,"582,534","32,329","7,205,278"
15,美國,他們不再老去,2019/03/29,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,12,"1,155",-60.38%,"249,200","6,433","1,476,019"
16,英國,理查二世,2019/03/29,威秀影城股份有限公司,Trafalgar Releasing Limited,2,80,0.00%,"51,240",137,"88,800"
17,日本,家族的色彩,2019/03/29,天馬行空數位有限公司,"Shochiku Co., Ltd.",7,227,-76.11%,"46,940","2,150","458,907"
18,美國,毀滅者,2019/03/29,車庫娛樂股份有限公司,ROCKET SCIENCE INDUSTRIES LTD.,11,177,-87.54%,"37,305","3,331","747,484"
19,日本,相對世界。明日終結?,2019/03/29,木棉花國際股份有限公司,"Shochiku Co., Ltd.",8,155,-90.20%,"36,790","3,785","913,328"
20,日本,劇場版王室教師海涅,2019/03/29,曼迪傳播有限公司,TV TOKYO Corporation,7,97,-84.96%,"22,405","1,698","400,279"
21,義大利,梵谷：畫筆下的烏雲與麥田,2019/03/29,車庫娛樂股份有限公司,NEXO DIGITAL S.R.L.,6,99,-70.80%,"19,940",703,"143,740"
22,泰國,愛情太需要翻譯,2019/03/29,香港商甲上娛樂有限公司台灣分公司,M PICTURES COMPANY LIMITED,8,63,-83.46%,"14,690",956,"213,604"
23,法國,太陽之女,2019/03/29,亮點國際影業有限公司,ELLE DRIVER,4,63,-68.81%,"12,475",502,"106,500"
24,香港,G殺事件,2019/03/29,台北双喜電影發行股份有限公司,勢探電影有限公司,8,53,-89.53%,"11,630","1,438","326,038"
25,英國,第十二夜,2019/03/29,威秀影城股份有限公司,Shakespeare’s Globe Trust,1,6,-96.15%,"4,000",234,"156,240"
26,美國,血祭歐買尬,2019/03/29,暗光鳥有限公司,MINERVA PICTURES GROUP SRL,2,9,-94.19%,"2,200",265,"58,755"
27,美國,我們,2019/03/22,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,92,"15,633",-74.64%,"3,643,161","263,906","61,502,211"
28,中華民國,老大人,2019/03/22,威視股份有限公司,興揚電影有限公司##中環國際娛樂事業股份有限公司##(大陸)海寧鐵幕真文化傳媒有限公司##(大陸)喀什嘉映文化傳媒有限公司,34,"5,947",-47.85%,"1,287,664","54,347","12,197,660"
29,美國,庫爾斯克號:深海救援,2019/03/22,海樂影業股份有限公司,EuropaCorp,38,"1,268",-85.62%,"287,828","66,120","14,827,584"
30,日本,幼女戰記劇場版,2019/03/22,向洋影業有限公司,株式會社KADOKAWA,4,258,-79.54%,"64,758","7,434","1,884,822"
31,西班牙,騙局,2019/03/22,海鵬影業有限公司,Latido Consorcio De Exportacion Del Cine Espanol SL,4,271,-71.56%,"57,350","6,263","1,400,788"
32,日本,來了,2019/03/22,車庫娛樂股份有限公司,"TOHO CO., LTD.",6,229,-74.01%,"51,175","8,083","1,810,625"
33,印度,跳痛先生,2019/03/22,華映娛樂股份有限公司,"International Production Associates, Inc.",3,57,-90.27%,"13,295","13,029","2,888,527"
34,美國,喜劇天團：勞萊與哈台,2019/03/22,采昌國際多媒體股份有限公司,FILM & TV HOUSE LIMITED,1,28,-81.94%,"5,690","1,956","439,586"
35,日本,假面飯店,2019/03/15,英屬維京群島商高捷全球開發有限公司 台灣分公司,"PONY CANYON, INC.",11,799,-72.20%,"182,525","48,052","10,996,133"
36,美國,活個精彩,2019/03/15,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX Productions, LLC",9,99,-87.08%,"24,060","27,406","6,217,334"
37,日本,不管媽媽多麼討厭我,2019/03/15,天馬行空數位有限公司,"Nagoya Broadcasting Network Co., Ltd",1,103,"10,200.00%","22,660","1,748","384,111"
38,美國,鬼裔,2019/03/15,車庫娛樂股份有限公司,METRO-GOLDWYN-MAYER STUDIOS INC.,2,66,-87.36%,"14,350","32,095","7,253,183"
39,丹麥,厄夜追緝令,2019/03/15,鏡象電影製作有限公司,TRUSTNORDISK APS,1,7,-93.00%,"1,565","8,781","1,939,727"
40,美國,情，敵,2019/03/15,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,1,6,-95.80%,"1,290","7,069","1,596,646"
41,法國,苦兒流浪記,2019/03/15,香港商甲上娛樂有限公司台灣分公司,TF1 DROITS AUDIOVISUELS,1,2,-98.50%,310,"4,871","1,075,937"
42,日本,Fate_staynight[Heaven'sFeel]II.迷途之蝶,2019/03/09,曼迪傳播有限公司,Aniplex Inc.,9,"2,695",-39.37%,"1,129,159","58,582","15,107,255"
43,德國,無主之作,2019/03/08,車庫娛樂股份有限公司,BETA CINEMA GMBH,1,75,-60.73%,"16,295","3,262","715,098"
44,香港,滾滾紅塵(數位修復版),2019/03/08,能率影業股份有限公司,湯臣(香港)電影有限公司,2,69,-82.35%,"14,940","14,172","3,123,702"
45,日本,小資女孩奮鬥記：遊樂園的奇蹟,2019/03/08,中影股份有限公司,AVEX PICTURES INC.,1,51,-81.91%,"10,880","1,974","413,354"
46,美國,RBG：不恐龍大法官,2019/03/08,亮點國際影業有限公司,Magnolia Pictures LLC,1,30,-80.65%,"6,250","5,088","1,094,548"
