序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,美國,霹靂嬌娃,2019/12/27,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,93,"53,631",46.23%,"12,311,704","90,307","20,636,515"
2,法國,潛艦追緝,2019/12/27,鴻聯國際開發股份有限公司,PATHE FILMS S.A.S,23,"4,629",57.50%,"1,011,647","7,568","1,660,248"
3,中華民國,大約在冬季,2019/12/27,台北双喜電影發行股份有限公司,"北京恐龍影業有限公司, 浙江橫店影業有限公司, 天津貓眼微影文化傳媒有限公司, 耀萊影視文化傳媒有限公司, 江蘇雪漫舍影業有限公司, 騰訊影業文化傳播有限公司, 峨眉電影集團有限公司, 北京星光耀萊文化傳媒有限公司, 東方晨翔文化投資（武漢）有限公司, 長春思婉影視文化有限公司, 香港騰訊影業有限公司, 上海貓眼影業有限公司, 墨客行影業（北京）有限公司",12,"2,355",-34.00%,"553,943","5,923","1,396,456"
4,中國大陸,吹哨人,2019/12/27,內容物數位電影製作有限公司,華文映像（北京）影業有限公司##珠海市洲際金瑪文化有限公司##北京和禾和文化傳媒有限責任公司##浙江火麥影視傳媒有限公司##中英電影文化基金有限公司##天津貓眼微影文化傳媒有限公司##溫和巨人媒體集團##天津十間影視傳媒有限公司##騰訊影業文化傳播有限公司##完美威秀娛樂（香港）有限公司 ##安樂影片有限公司##北京佳文映畫文化傳媒有限責任公司##墨客行影業(北京)有限公司##耳東文化（北京）有限公司,23,"1,152",30.76%,"250,323","2,033","441,986"
5,日本,時光沙漏,2019/12/27,提恩傳媒實業有限公司,PONY CANYON INC.,7,931,-1.59%,"227,798","1,877","456,732"
6,俄羅斯,舞力決戰,2019/12/27,原創娛樂股份有限公司,Disenire Ltd.,10,720,49.07%,"167,221","1,203","276,317"
7,法國,鹿皮奇談,2019/12/27,繁盛映畫有限公司,WTFilms,6,364,54.24%,"79,661",600,"132,895"
8,巴西,竊竊屍語,2019/12/27,暗光鳥有限公司,STRAY DOGS,4,300,62.16%,"65,719",485,"106,271"
9,阿根廷,幸福試用期,2019/12/27,佳映娛樂國際股份有限公司,LATIDO CONSORCIO DE EXPORTACION DEL CINE ESPANOL SL,7,323,44.20%,"63,040",547,"107,889"
10,美國,倒數計死,2019/12/27,采昌國際多媒體股份有限公司,"STX Productions, LLC",65,"29,299",118.67%,"6,722,481","42,698","9,808,440"
11,南韓,白頭山：半島浩劫,2019/12/24,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",72,"170,240",22.51%,"39,598,926","309,201","71,422,615"
12,美國,CATS 貓,2019/12/24,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,97,"17,209",-37.49%,"4,022,018","44,737","10,413,887"
13,法國,燃燒女子的畫像,2019/12/20,東昊影業有限公司,MK2 Films,10,"3,460",5.62%,"763,124","8,375","1,848,849"
