序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
1,法國,喜歡你愛上你逃離你,2018/07/27,傳影互動股份有限公司,MK2 FILMS,9,"1,859","410,277","3,146","695,671"
2,美國,超能救援,2018/07/27,威視股份有限公司,(英國)CONTENT MEDIA CORPORATION INTERNATIONAL LIMITED,17,"1,208","269,300","2,677","603,644"
3,南韓,她們的故事,2018/07/27,采昌國際多媒體股份有限公司,(匈牙利)ATRIUM PRODUCTIONS KFT,6,561,"122,870","1,089","242,573"
4,法國,我的抓狂(女)友,2018/07/27,天馬行空數位有限公司,LE PACTE,9,388,"85,525",835,"183,173"
5,中華民國,血琥珀,2018/07/27,海鵬影業有限公司,李永超##海鵬影業有限公司,4,382,"75,510",594,"119,185"
6,加拿大,冥房,2018/07/27,暗光鳥有限公司,"XYZ FILMS, LLC",3,246,"55,385",524,"116,400"
7,美國,不可能的任務：全面瓦解,2018/07/25,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,94,"583,444","139,528,435","1,275,257","304,514,760"
8,泰國,把哥哥退貨可以嗎,2018/07/20,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,GDH 559 Company Limited,63,"5,303","1,195,752","37,697","8,566,830"
9,義大利,願望咖啡館,2018/07/20,海鵬影業有限公司,TRUE COLOURS glorious films S.r.l.,7,"2,050","440,205","7,482","1,601,247"
10,日本,?道上的阿波羅,2018/07/20,車庫娛樂股份有限公司,"TOHO CO., LTD.",12,"1,251","274,585","2,536","560,952"
11,俄羅斯,神佈局,2018/07/20,星泰國際娛樂股份有限公司,(美國)FREEWAY ENTERTAINMENT KFT.,29,"1,152","256,070","16,686","3,727,424"
12,法國,一袋彈珠,2018/07/20,捷傑有限公司,GAUMONT S.A.,6,705,"147,865","2,908","608,550"
13,西班牙,鬼入夢,2018/07/20,海樂影業股份有限公司,(匈牙利)ATRIUM PRODUCTIONS KFT.,21,440,"97,510","8,140","1,832,053"
14,美國,震撼真相,2018/07/20,華聯國際影音股份有限公司,"VOLTAGE PICTURES, LLC",9,447,"94,380","3,273","711,404"
15,日本,孤狼之血,2018/07/20,可樂藝術文創股份有限公司,"TOEI COMPANY,LTD.",3,221,"48,415","2,041","456,998"
16,俄羅斯,鬼嫁娘,2018/07/20,暗光鳥有限公司,(英國)UNDISCLOSED MAJORITY LTD,4,210,"44,410","2,238","491,165"
17,義大利,霧中的女孩,2018/07/20,車庫娛樂股份有限公司,(法國)STUDIOCANAL,5,156,"34,365","2,409","545,932"
18,日本,鬼太鼓座,2018/07/20,翻面映畫有限公司,"SHOCHIKU CO., LTD.",4,98,"20,505",784,"166,729"
19,印度,母親的告白,2018/07/20,車庫娛樂股份有限公司,(模里西斯)ATL MEDIA LTD,3,60,"12,900",718,"155,780"
20,南韓,揭密風暴,2018/07/20,華聯國際影音股份有限公司,M-LINE DISTRIBUTION,2,47,"9,880",480,"113,200"
21,法國,阿寶動物一族,2018/07/20,聯影企業股份有限公司,PYRAMIDE INTERNATIONAL,1,2,340,233,"46,465"
22,美國,尖叫旅社3:怪獸假期,2018/07/19,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,86,"50,432","11,307,495","247,467","55,282,238"
23,日本,小偷家族,2018/07/13,采昌國際多媒體股份有限公司,GAGA Corporation,23,"8,088","1,822,342","51,759","11,551,632"
24,日本,?本龍一：終章,2018/07/13,佳映娛樂國際股份有限公司,(法國)DOC AND FILM INTERNATIONAL,6,"1,190","263,825","8,893","1,949,639"
25,美國,高年級姐妹會,2018/07/13,威視股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT.,6,662,"152,136","15,399","3,597,597"
26,中華民國,命帶追逐（2018數位修復版）,2018/07/13,鏡象電影製作有限公司,積木影像製作有限公司,3,185,"40,515","2,575","571,031"
27,日本,友罪,2018/07/13,天馬行空數位有限公司,GAGA CORPORATION,4,141,"32,595","5,715","1,296,799"
28,新加坡,簡單的婚禮,2018/07/13,華映娛樂股份有限公司,CLOVER FILMS PTE LTD,1,1,200,"1,021","224,910"
29,美國,摩天大樓,2018/07/12,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,89,"68,834","15,772,409","762,026","178,415,131"
30,中華民國,切小金家的旅館,2018/07/12,良人行影業有限公司,良人行影業有限公司##麥加芬電影製作有限公司##阿榮影業股份有限公司##香港商福斯傳媒有限公司臺灣分公司##威像電影有限公司##(大陸)華策影業（天津）有限公司,50,"3,693","861,572","84,700","19,205,306"
