序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
40,南韓,物怪,2018/09/28,車庫娛樂股份有限公司,"FINECUT CO., LTD.",1,6,"1,350","4,314","954,493"
41,芬蘭,重金屬之旅,2018/09/28,聯影企業股份有限公司,(丹麥)LEVELKAPS,1,3,580,816,"180,805"
42,日本,一屍到底,2018/09/21,車庫娛樂股份有限公司,NIKKATSU CORPORATION,49,"8,067","1,910,681","223,307","51,395,104"
43,美國,凸搥特派員:三度出擊,2018/09/21,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,26,849,"198,545","252,866","58,394,477"
44,美國,惡魔島,2018/09/21,香港商甲上娛樂有限公司台灣分公司,"RED GRANITE INTERNATIONAL,INC",19,474,"110,204","164,372","38,666,269"
45,日本,麵包超人電影版閃耀吧！庫倫與生命之星,2018/09/21,曼迪傳播有限公司,"TMS ENTERTAINMENT CO.,LTD.",3,121,"26,940","4,444","1,005,829"
46,日本,退而不休,2018/09/21,天馬行空數位有限公司,"TOEI COMPANY,LTD.",1,82,"16,400","4,066","853,197"
47,日本,電影版【空中急診英雄─海空災難最終救援─】,2018/09/21,英屬維京群島商高捷全球開發有限公司 台灣分公司,"PONY CANYON,INC",2,61,"14,186","40,943","9,715,256"
48,香港,黃金兄弟,2018/09/21,牽猴子整合行銷股份有限公司,耀萊文娛發展有限公司##影藝人娛樂製作有限公司##(大陸)北京耀暘信盈投資有限公司##(中華民國)寬魚國際股份有限公司,4,55,"12,660","67,941","15,610,161"
49,美國,血薄荷,2018/09/21,海樂影業股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT.,1,9,"2,160","67,742","14,885,250"
50,西班牙,鳥男孩,2018/09/21,本萃電影有限公司,LATIDO CONSORCIO DE EXPORTACION DEL CINE ESPANOL S.L.,1,9,"2,020",91,"20,350"
51,美國,失蹤網紅,2018/09/14,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,(英國)LIONS GATE INTERNATIONAL(UK) LIMITED,5,71,"18,095","100,844","23,435,816"
52,美國,美國動物,2018/09/14,采昌國際多媒體股份有限公司,AMERICAN ANIMAL PICTURES LIMITED,2,160,"12,930","3,657","773,742"
53,義大利,當我們困在一起,2018/09/14,捷傑有限公司,(法國)INDIE SALES COMPANY,1,38,"6,080",944,"193,716"
54,阿根廷,密謀,2018/09/14,本萃電影有限公司,(西班牙)LATIDO CONSORCIO DE EXPORTACION DEL CINE ESPANOL SL,1,46,"4,600","9,531","2,193,351"
55,中華民國,搖滾樂殺人事件,2018/09/14,星泰國際娛樂股份有限公司,大吉祥整合行銷有限公司,1,0,0,"5,809","1,320,884"
56,美國,婚禮冤家,2018/09/07,香港商甲上娛樂有限公司台灣分公司,"JELLYFISH BLOOM INTERNATIONAL,LLC",1,60,"6,000","27,184","6,296,663"
57,美國,鬼修女,2018/09/06,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,2,53,"13,548","475,092","112,424,247"
58,中華民國,粽邪,2018/08/31,華影國際影藝有限公司,緯來電視網股份有限公司##一起影業製作有限公司##華達星多媒體事業股份有限公司##志嘉建設股份有限公司##華影國際影藝有限公司##和合佰納媒體事業股份有限公司,2,96,"10,010","218,091","49,123,275"
59,香港,大師兄,2018/08/24,華映娛樂股份有限公司,(香港)星王朝有限公司##(香港)太陽娛樂文化有限公司##(香港)超級子彈影業有限公司##(大陸)北京博納影業有限公司##(大陸)耳東影業(北京)有限公司##(大陸)霍爾果斯環星影視傳媒有限公司##(大陸)上海博納文化傳媒有限公司,10,"1,331","109,200","144,601","31,674,379"
60,美國,瘋狂亞洲富豪,2018/08/24,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,1,264,"59,685","276,542","65,536,036"
61,美國,闇黑之心,2018/08/24,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,6,375,"39,370","47,896","10,719,051"
62,法國,全面霾伏,2018/08/24,香港商甲上娛樂有限公司台灣分公司,TF1 DROITS AUDIOVISUELS,4,384,"38,400","35,772","8,251,082"
63,美國,我願意,2018/08/24,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX PRODUCTIONS,LLC",1,186,"10,230","6,179","1,061,116"
64,美國,拳力逃脫,2018/08/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX PRODUCTIONS,LLC",6,966,"64,135","50,984","10,947,897"
65,英國,老娘也要當間諜,2018/08/17,英屬維京群島商高捷全球開發有限公司 台灣分公司,LIONS GATE INTERNATIONAL (UK) LIMITED,6,835,"61,960","48,211","10,907,395"
66,中華民國,鬥魚,2018/08/17,星泰國際娛樂股份有限公司,多曼尼製作有限公司##星泰國際娛樂股份有限公司##旺旺中時媒體集團##宏璟建設股份有限公司##樂到家國際娛樂股份有限公司##香港商福斯傳媒有限公司台灣分公司##(大陸)霍爾果斯鑫岳影視傳媒有限公司##(大陸)霍爾果斯觀達影視文化傳播有限公司,4,159,"17,780","134,192","30,377,419"
67,日本,未來的未來,2018/08/17,傳影互動股份有限公司,NIPPON TELEVISION-STUDIO CHIZU LLP,1,95,"13,900","55,346","12,675,848"
68,中華民國,范保德,2018/08/17,鏡象電影製作有限公司,積木影像製作有限公司,1,44,"9,680","17,071","3,813,075"
69,日本,每天回家老婆都在裝死,2018/08/17,車庫娛樂股份有限公司,COLORBIRD INC.,1,38,"6,080","48,346","11,113,587"
70,美國,巨齒鯊,2018/08/10,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,8,"2,228","154,050","692,985","161,867,866"
71,美國,摯友維尼,2018/08/03,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",4,394,"38,105","99,897","23,208,499"
72,美國,媽媽咪呀！回來了,2018/08/01,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,12,"1,301","123,220","112,220","25,214,178"
73,美國,尖叫旅社3:怪獸假期,2018/07/19,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,3,694,"40,400","307,465","68,450,230"
74,日本,小偷家族,2018/07/13,采昌國際多媒體股份有限公司,GAGA Corporation,5,370,"36,235","66,886","14,406,452"
75,美國,高年級姐妹會,2018/07/13,威視股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT.,1,24,"2,400","19,017","3,981,727"
76,美國,摩天大樓,2018/07/12,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,8,"1,166","86,725","810,748","187,828,622"
77,日本,名偵探柯南:零的執行人,2018/07/06,向洋影業有限公司,"TMS ENTERTAINMENT CO.,LTD.",7,"2,903","1,308,650","388,962","90,701,393"
78,南韓,妙探事務所,2018/07/06,車庫娛樂股份有限公司,CJ E&M CORPORATION,1,27,"4,050","1,641","364,720"
79,美國,蟻人與黃蜂女,2018/07/04,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",8,903,"83,920","1,271,291","297,123,374"
80,法國,愛情不輪轉,2018/06/29,海樂影業股份有限公司,GAUMONT S.A.,1,27,"2,700","2,715","564,622"
81,美國,超人特攻隊2,2018/06/27,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",11,"2,464","236,015","1,145,101","260,313,493"
82,美國,侏羅紀世界:殞落國度,2018/06/06,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,47,"3,800","2,554,600","621,672,249"
83,日本,遊戲人生,2017/12/08,香港商甲上娛樂有限公司台灣分公司,(日本)KADOKAWA CORPORATION,5,819,"377,035","124,889","37,296,679"
84,南韓,REAL,2017/08/04,車庫娛樂股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT.,1,31,"6,820","23,407","5,171,798"
85,中華民國,一一,2017/07/28,傳影互動股份有限公司,(日本)OMEGA PROJECT.##(日本)PONY CANYON##(日本)HAKUHODO.,1,30,"4,120","21,717","4,991,077"
86,法國,小王子,2015/10/23,傳影互動股份有限公司,WILD BUNCH,1,2,400,40,"8,290"
