序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,英國,馬克白（英國國家劇院現場）,2019/06/03,威秀影城股份有限公司,National Theatre,2,61,0.00%,"37,480",61,"37,480"
2,美國,恐怖大媽,2019/05/31,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,84,"34,028",4.50%,"7,892,071","66,592","15,431,823"
3,中華民國,出發,2019/05/31,牽猴子整合行銷股份有限公司,相知國際股份有限公司,29,"17,223",110.63%,"3,952,016","25,400","5,791,343"
4,美國,紅色密令,2019/05/31,采昌國際多媒體股份有限公司,EMBANKMENT FILMS LIMITED,14,"2,258",32.43%,"475,421","3,963","843,950"
5,中華民國,日落之前,2019/05/31,車庫娛樂股份有限公司,財團法人天主教失智老人社會福利基金會,10,"1,103",-35.27%,"242,253","2,807","617,176"
6,芬蘭,意亂提琴手,2019/05/31,聯影企業股份有限公司,SUMMERSIDE MEDIA SRL.,7,644,33.33%,"124,765","1,127","219,446"
7,日本,這條路上:百年童謠的誕生,2019/05/31,亮點國際影業有限公司,CREi Inc,9,530,-36.14%,"106,745","1,360","283,736"
8,義大利,結婚哪有那麼男,2019/05/31,東昊影業有限公司,TRUE COLOURS GLORIOUS FILMS srl,8,356,-3.26%,"73,755",724,"150,661"
9,愛爾蘭,奪命大夜班,2019/05/31,暗光鳥有限公司,ARCHSTONE DISTRIBUTION LLC,5,204,-12.07%,"45,160",436,"95,066"
10,俄羅斯,文字慾,2019/05/31,佳映娛樂國際股份有限公司,Alpha Violet,1,60,-3.23%,"10,500",122,"20,420"
11,美國,哥吉拉II怪獸之王,2019/05/29,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,99,"349,720",-33.48%,"84,473,990","875,436","215,058,903"
12,日本,CODEGEASS復活的魯路修,2019/05/29,香港商甲上娛樂有限公司台灣分公司,SUNRISE INC,8,"8,751",-23.60%,"2,192,460","20,205","5,030,669"
#REF!,中華民國,五月天人生無限公司,2019/05/24,相信音樂國際股份有限公司,相信音樂國際股份有限公司##安樂電影公司(聯合出品),75,"29,149",-38.05%,"10,495,167","134,393","45,514,203"
14,南韓,完美搭檔,2019/05/24,采昌國際多媒體股份有限公司,ATRIUM PRODUCTIONS KFT.,18,"2,287",-59.69%,"518,914","12,912","2,959,748"
15,法國,城市獵人,2019/05/24,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,SOFINERGIE CAPAC,43,"1,739",-76.96%,"402,799","18,449","4,228,364"
16,英國,選情尬翻天,2019/05/24,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Lions Gate International(UK), Limited.",21,800,-80.14%,"178,875","11,135","2,513,048"
17,法國,亨利先生的秘密,2019/05/24,原創娛樂股份有限公司,GAUMONT S.A.,8,632,-39.69%,"131,475","2,517","525,777"
18,印尼,鬼入鏡：靈之鬼跡,2019/05/24,水元素文化傳媒有限公司,Nikkatsu Corporation,17,456,-84.19%,"108,380","8,618","2,042,864"
19,香港,非分熟女,2019/05/24,華映娛樂股份有限公司,英皇影業有限公司,19,209,-81.60%,"45,190","3,443","760,900"
20,日本,馬拉松武士,2019/05/24,天馬行空數位有限公司,GAGA Corporation,7,172,-76.41%,"36,305","1,682","360,173"
21,中華民國,不滅之光,2019/05/24,春暉映像有限公司,臺北市鷺江學術文化協會,1,110,-70.03%,"24,995",723,"160,250"
22,法國,人生最後一場拍賣會,2019/05/24,海鵬影業有限公司,MFI SAS,1,71,173.08%,"10,920",152,"24,420"
23,美國,與神同愛,2019/05/24,翻面映畫有限公司,KEW MEDIA INTERNATIONAL LIMITED,2,44,-89.89%,"9,500",842,"191,787"
24,義大利,疾速求生,2019/05/24,可樂藝術文創股份有限公司,TRUE COLOURS glorious film S.r.l.,2,34,-74.81%,"6,680",267,"51,910"
25,日本,愛在九月來臨前,2019/05/24,車庫娛樂股份有限公司,NIPPON TELEVISION NETWORK CORPORATION,3,25,-93.51%,"5,820","1,056","237,726"
26,美國,吾愛吾詩,2019/05/24,車庫娛樂股份有限公司,PROTAGONIST PICTURES LIMITED,3,22,-93.10%,"4,505",637,"132,545"
