序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,美國,恰吉,2019/06/21,車庫娛樂股份有限公司,METRO-GOLDWYN-MAYER STUDIOS INC.,70,"28,597",-11.77%,"6,471,148","61,009","13,789,310"
2,法國,別問我是誰,2019/06/21,天馬行空數位有限公司,Playtime,11,"1,778",27.46%,"373,593","3,173","669,720"
3,日本,鈴木家的謊言,2019/06/21,捷傑有限公司,"Shochiku Co., Ltd.",7,492,8.37%,"94,165",946,"185,638"
4,加拿大,金錢性騙局,2019/06/21,佳映娛樂國際股份有限公司,Seville International,6,253,5.42%,"59,010",493,"116,213"
5,突尼西亞,最親愛的陌生兒子,2019/06/21,東昊影業有限公司,Luxbox SAS,6,208,-23.53%,"42,465",480,"100,249"
6,美國,模仿女孩,2019/06/21,暗光鳥有限公司,"EPIC PICTURES GROUP, INC.",6,37,-7.50%,"8,220",77,"16,970"
7,英國,喬治三世的瘋狂(英國國家劇院現場),2019/06/21,威秀影城股份有限公司,National Theatre,1,4,-92.59%,"2,400",58,"36,840"
8,美國,玩具總動員4,2019/06/20,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",99,"429,529",22.57%,"99,914,224","779,962","182,535,991"
9,南韓,極惡對決,2019/06/20,威視股份有限公司,K-MOVIE ENTERTAINMENT,62,"51,347",6.01%,"11,686,380","99,781","22,880,150"
10,美國,安娜,2019/06/19,海樂影業股份有限公司,LIONS GATE INTERNATIONAL (UK) LIMITED,81,"56,523",-6.91%,"13,038,640","117,242","26,881,838"
11,美國,AI終結戰,2019/06/19,采昌國際多媒體股份有限公司,Freeway Entertainment Kft.,31,"4,174",2778.62%,"970,385","4,319","1,002,285"
12,美國,火箭人,2019/06/14,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,68,"4,604",-66.27%,"1,097,437","31,203","7,271,266"
13,丹麥,懸案密碼-第64號,2019/06/14,峻龍國際有限公司,"MultiVisionnaire , Inc",24,"3,628",-57.09%,"819,404","18,158","4,097,501"
14,美國,帕爾曼的音樂遍歷,2019/06/14,翻面映畫有限公司,"ROCO Films International, LLC",9,"3,096",-1.56%,"716,887","8,097","1,866,776"
15,日本,劇場版歌之☆王子殿下♪真愛KINGDOM,2019/06/14,曼迪傳播有限公司,KING RECORD COMPANY LIMITED,9,"1,304",-54.28%,"339,901","6,816","1,763,647"
16,南韓,0.0赫茲,2019/06/14,車庫娛樂股份有限公司,CONTENTS PANDA,24,"1,076",-81.78%,"245,247","14,654","3,358,165"
17,美國,MIB星際戰警：跨國行動,2019/06/12,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,97,"48,109",-59.31%,"11,139,755","385,376","90,687,716"
18,香港,追龍II：賊王,2019/06/12,華映娛樂股份有限公司,霍爾果斯環星影視傳媒有限公司##上海杠杠影視文化有限公司##銀都機構有限公司##耳東文化（北京）有限公司##太陽娛樂文化有限公司##海墨文化傳媒股份有限公司##萬達影視傳媒有限公司##上海復逸文化傳播有限公司##電視廣播有限公司##上海新文化影業有限公司 ##阿里巴巴影業（北京）有限公司##北京博納影業集團有限公司##星王朝有限公司##浙江博納影視製作有限公司##博納影視娛樂有限公司,61,"2,844",-82.19%,"644,472","50,494","11,416,628"
19,西班牙,逆轉劫局,2019/06/11,采昌國際多媒體股份有限公司,"CASTELAO PICTURES, S.L.",12,329,-79.65%,"71,965","4,242","932,263"
20,美國,寵物當家2,2019/06/06,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,86,"14,730",-49.65%,"3,447,764","236,609","54,771,828"
21,美國,X戰警：黑鳳凰,2019/06/06,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,88,"11,391",-69.15%,"2,676,698","439,609","104,252,833"
22,日本,爺爺與喵,2019/06/06,天馬行空數位有限公司,Kadokawa Corporation,7,479,-44.04%,"100,475","6,603","1,474,910"
23,英國,安東尼與克莉奧佩特拉(英國國家劇院現場),2019/06/06,威秀影城股份有限公司,National Theatre,4,63,-18.18%,"41,560",168,"108,480"
24,中華民國,祝我好好孕,2019/06/06,黃力仁,蘇鈺婷,6,35,-93.53%,"7,995","2,893","608,984"
25,中華民國,亡命之途,2019/06/06,威視股份有限公司,想映電影有限公司##有限会社四面楚歌,4,29,-91.83%,"7,420","6,886","1,558,262"
26,英國,招魂修道院,2019/06/06,暗光鳥有限公司,WTFILMS,2,8,-91.84%,"1,750","1,004","231,011"
27,英國,馬克白（英國國家劇院現場）,2019/06/03,威秀影城股份有限公司,National Theatre,1,5,-92.06%,"3,560",147,"94,360"
28,中華民國,出發,2019/05/31,牽猴子整合行銷股份有限公司,相知國際股份有限公司,28,"9,825",-3.70%,"2,116,625","60,676","13,582,078"
29,美國,紅色密令,2019/05/31,采昌國際多媒體股份有限公司,EMBANKMENT FILMS LIMITED,3,100,-70.85%,"19,550","5,105","1,080,115"
30,美國,恐怖大媽,2019/05/31,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,6,73,-93.77%,"15,490","75,970","17,600,434"
31,日本,這條路上:百年童謠的誕生,2019/05/31,亮點國際影業有限公司,CREi Inc,2,39,-48.00%,"6,720","1,737","357,751"
32,中華民國,日落之前,2019/05/31,車庫娛樂股份有限公司,財團法人天主教失智老人社會福利基金會,5,27,-83.73%,"5,810","3,413","752,639"
33,俄羅斯,文字慾,2019/05/31,佳映娛樂國際股份有限公司,Alpha Violet,2,21,-88.20%,"3,695",517,"96,930"
34,美國,哥吉拉II怪獸之王,2019/05/29,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,91,"20,941",-56.50%,"4,987,575","1,054,503","257,224,596"
35,日本,CODEGEASS復活的魯路修,2019/05/29,香港商甲上娛樂有限公司台灣分公司,SUNRISE INC,6,673,-57.65%,"167,138","26,139","6,509,254"
36,法國,莒哈絲的漫長等待,2019/05/25,佳映娛樂國際股份有限公司,TF1 DROITS AUDIOVISUELS,4,152,-58.13%,"29,070","1,050","198,430"
37,中華民國,五月天人生無限公司,2019/05/24,相信音樂國際股份有限公司,相信音樂國際股份有限公司##安樂電影公司(聯合出品),22,"3,905",-36.58%,"1,500,811","154,624","52,513,288"
38,法國,人生最後一場拍賣會,2019/05/24,海鵬影業有限公司,MFI SAS,9,"1,360",23.75%,"277,335","2,611","529,049"
39,南韓,完美搭檔,2019/05/24,采昌國際多媒體股份有限公司,ATRIUM PRODUCTIONS KFT.,3,82,-58.59%,"18,445","13,720","3,140,832"
40,法國,亨利先生的秘密,2019/05/24,原創娛樂股份有限公司,GAUMONT S.A.,1,82,64.00%,"16,400","2,891","603,367"
41,德國,過境情謎,2019/05/24,佳映娛樂國際股份有限公司,THE MATCH FACTORY GmbH,2,52,-75.47%,"9,075",593,"107,380"
42,法國,城市獵人,2019/05/24,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,SOFINERGIE CAPAC,1,37,-63.37%,"8,970","18,807","4,315,664"
