序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,本周票數變動,銷售金額,累計銷售票數,累計銷售金額
1,美國,驚濤佈局,2019/01/25,華聯國際影音股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT.,73,"25,941",0.87%,"5,999,812","51,659","11,864,782"
2,美國,幸福綠皮書,2019/01/25,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"Storyteller Distribution Co., LLC pursuant to its arrangements with Participant Media, LLC",42,"23,440",65.33%,"5,420,379","37,618","8,694,781"
3,美國,真寵,2019/01/25,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,28,"10,400",37.09%,"2,383,540","20,901","4,789,060"
4,美國,辛德勒的名單(25週年數位經典版),2019/01/25,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,8,"2,120",31.68%,"527,750","3,730","947,615"
5,美國,老人與槍,2019/01/25,采昌國際多媒體股份有限公司,GEM Entertainment Kft.,18,"2,285",6.43%,"504,441","4,432","984,617"
6,日本,妖怪手錶：光影之卷鬼王的復活,2019/01/25,華藝娛樂股份有限公司,Level 5 abby,25,984,-34.09%,"222,500","2,477","568,685"
7,泰國,母嬰靈,2019/01/25,華映娛樂股份有限公司,ONE TOUCH PRODUCTIONS,9,517,40.49%,"112,885",885,"191,975"
8,南韓,未來的青春筆記,2019/01/25,車庫娛樂股份有限公司,"LOTTE CULTUREWORKS CO., LTD.",9,282,-9.62%,"65,605",594,"138,109"
9,泰國,獵鬼遊戲,2019/01/25,華映娛樂股份有限公司,"Sahamongkolfilm International Co., Ltd",9,209,32.28%,"47,860",367,"82,875"
10,中國大陸,降魔傳,2019/01/25,萬利娛樂有限公司,浙江科地影業有限公司##上海涌藝影視投資有限公司##深圳市東方富海投資管理股份有限公司##北京雨韻秀蘭文化傳媒有限公司##中央電視台電影頻道##愛奇藝影業(北京)有限公司##北京金牌夥伴影視傳媒有限公司##杭州大合影業有限公司##星王朝有限公司##鹿鳴影業有限公司##大河影業揚州有限公司##北京海潤影業股份有限公司##華橙影業(北京)有限公司##北京陸和文化傳媒交流有限責任公司,1,135,36.36%,"29,650",234,"51,650"
11,日本,三角草的春天,2019/01/25,暗光鳥有限公司,NIKKATSU CORPORATION,4,114,9.62%,"25,165",218,"48,685"
12,美國,殺死巨人的女孩,2019/01/25,車庫娛樂股份有限公司,XYZ FILMS,3,111,-25.00%,"23,565",259,"56,940"
13,香港,吉屋,2019/01/25,華映娛樂股份有限公司,滿滿額創作香港有限公司##星藝有限公司,9,95,55.74%,"21,465",156,"35,470"
14,香港,古宅,2019/01/25,華映娛樂股份有限公司,東方影業出品有限公司,9,90,-21.05%,"20,695",204,"46,695"
15,泰國,一池到底,2019/01/25,華映娛樂股份有限公司,Mono Film Company Limited,9,81,-28.95%,"17,000",195,"41,165"
16,香港,喜怒哀樂,2019/01/25,華映娛樂股份有限公司,天馬電影出品(香港)有限公司,9,43,-15.69%,"9,385",94,"20,125"
17,中華民國,寒單,2019/01/23,威視股份有限公司,想亮影藝股份有限公司##聚善美文創娛樂有限公司##奧瑪優勢傳媒娛樂行銷有限公司##如意休閒事業股份有限公司##彩虹塗裝有限公司##台北影業股份有限公司##北京中視星馳文化傳媒有限公司##深圳善為影業股份有限公司##廣州海盟佐佐文化傳播有限公司##東風沐電影工作室,96,"56,089",-22.23%,"12,522,394","128,209","28,627,705"
18,日本,巧虎電影魔法島大冒險,2019/01/18,全民大劇團股份有限公司,法人倍樂生株式會社,15,"5,501",-46.33%,"1,306,127","25,108","5,898,528"
