序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,本周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,法國,全面開戰,2018/12/02,佳映娛樂國際股份有限公司,MK2 Films,6,152,360.61%,"33,710",185,"41,176"
2,中華民國,小美,2018/12/01,華文創股份有限公司,人浪漫映画有限公司,21,"2,616",40.72%,"583,968","4,475","1,017,532"
3,美國,金牌拳手：父仇,2018/11/30,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,81,"20,231",-22.70%,"4,628,375","46,403","10,624,435"
4,南韓,非賣品,2018/11/30,車庫娛樂股份有限公司,SHOWBOX CORP.,37,"16,257",1.96%,"3,688,740","32,201","7,333,975"
5,南韓,分秒幣爭,2018/11/30,華映娛樂股份有限公司,"CJ ENM CO., LTD",44,"10,932","4,694.74%","2,449,494","11,160","2,499,654"
6,中華民國,幸福定格,2018/11/30,視納華仁文化傳播股份有限公司,視納華仁文化傳播股份有限公司##七日印象電影有限公司,14,"4,039",71.58%,"910,933","6,468","1,483,086"
7,丹麥,傑克蓋的房子,2018/11/30,車庫娛樂股份有限公司,TRUSTNORDISK APS,12,"2,326",20.27%,"532,247","4,260","971,764"
8,美國,被遺忘的幸福,2018/11/30,采昌國際多媒體股份有限公司,"(匈牙利)
FREEWAY ENTERTAINMENT KFT.",21,"1,776",5.90%,"382,640","3,453","762,996"
9,挪威,不可能的逃亡,2018/11/30,海鵬影業有限公司,TRUSTNORDISK APS,7,"1,480",19.84%,"312,103","2,715","588,649"
10,日本,世界最長的照片,2018/11/30,中影股份有限公司,"NAGOYA BROADCASTING NETWORK CO.,LTD.",14,846,57.54%,"177,670","1,383","290,434"
11,中華民國,風櫃來的人,2018/11/30,傳影互動股份有限公司,三三電影製作有限公司,2,371,17.41%,"81,210",687,"151,975"
12,義大利,幸福騙局,2018/11/30,可樂藝術文創股份有限公司,TRUE COLOURS GLORIOUS FILM S.R.L.,8,312,4.35%,"61,765",611,"124,640"
13,法國,愛情賭徒,2018/11/30,鏡象電影製作有限公司,PLAYTIME,8,226,-46.45%,"49,565",648,"143,315"
14,美國,無敵破壞王2：網路大暴走,2018/11/29,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",94,"188,129",-15.81%,"43,490,253","411,585","95,063,919"
15,中華民國,人面魚紅衣小女孩外傳,2018/11/23,威視股份有限公司,中環國際娛樂事業股份有限公司##講故事有限公司##大慕影藝國際事業有限公司##華映娛樂股份有限公司##秀泰國際娛樂有限公司##國賓影城股份有限公司##樂到家國際娛樂股份有限公司##華研國際音樂股份有限公司##紅衣小女孩股份有限公司,94,"53,998",-59.03%,"12,192,670","297,735","66,402,964"
16,挪威,芮氏9.6,2018/11/23,車庫娛樂股份有限公司,(丹麥)TRUSTNORDISK APS,45,"4,327",-80.27%,"962,413","50,172","11,220,041"
17,日本,電影版七大罪天空的囚人,2018/11/23,車庫娛樂股份有限公司,(香港)MEDIALINK ENTERTAINMENT LIMITED,9,781,-70.41%,"186,843","6,538","1,579,006"
18,美國,壞事大飯店,2018/11/23,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,9,516,-71.65%,"116,440","4,012","914,372"
19,德國,賣場華爾滋,2018/11/23,前景娛樂有限公司,BETA CINEMA GMBH,7,423,-61.48%,"91,995","2,274","481,388"
20,日本,龐克武士,2018/11/23,天馬行空數位有限公司,AVEX PICTURES INC.,5,62,-86.04%,"13,075","1,043","222,743"
21,美國,時間之旅,2018/11/23,車庫娛樂股份有限公司,(法國)WILD BUNCH,1,18,-89.94%,"4,250",330,"71,775"
22,香港,非同凡響,2018/11/23,香港商甲上娛樂有限公司台灣分公司,AR CHARITABLE FOUNDATION LIMITED##THE HONG KONG COUNCIL OF SOCIAL SERVICE##GOLDEN SCENE COMPANY LIMITED,1,3,-96.84%,720,172,"37,085"
23,中華民國,比悲傷更悲傷的故事,2018/11/18,好好看文創有限公司,滿滿額娛樂股份有限公司##好好看文創有限公司##百聿數碼創意股份有限公司##神州音樂有限公司##崴森管理顧問股份有限公司##(大陸)上海唯喜影業有限公司##(香港)福斯傳媒有限公司,94,"405,558",190.46%,"93,569,269","545,308","125,683,925"
24,法國,師聲對決,2018/11/16,鴻聯國際開發股份有限公司,PATHE FILMS,3,333,-68.61%,"68,770","4,612","1,004,141"
25,英國,艾瑞克克萊普頓：藍調天堂路,2018/11/16,翻面映畫有限公司,ALTITUDE FILM SALES LIMITED,3,126,-70.83%,"29,515","2,450","568,145"
26,中華民國,有五個姊姊的我就註定要單身了啊！,2018/11/16,華聯國際影音股份有限公司,(大陸)珠海漢都影視投資有限公司##(大陸)北京嘉映文化傳媒有限公司##(大陸)北京萌樣影視製作有限公司##(大陸)喀什嘉映文化傳媒有限公司##(中華民國)群星瑞智國際娛樂股份有限公司##(中華民國)華聯國際影音股份有限公司##(中華民國)中國信託創業投資股份有限公司##(香港)安樂影片有限公司##(新加坡)MM2 ENTERTAINMENT PTE LTD,8,120,-92.49%,"26,795","19,320","4,264,448"
27,香港,翠絲,2018/11/16,台北双喜電影發行股份有限公司,天下一電影製作有限公司##品今天下影視有限公司##太陽娛樂文化有限公司##大名娛樂有限公司##框格音樂事務有限公司,1,55,-85.86%,"12,460","2,971","659,781"
28,日本,姐姐的私廚,2018/11/16,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"TOEI COMPANY,LTD.",1,44,-86.98%,"9,910","2,217","484,831"
29,法國,我想要你記得＿,2018/11/16,光譜映像有限公司,(中華民國)光譜映像HOUSE ON FIRE##(中華民國)財團法人高雄市文化基金會##(法國)CINEMA DEFACTO,1,24,-84.42%,"4,760","1,978","439,783"
30,泰國,交友網戰,2018/11/16,采昌國際多媒體股份有限公司,MONO FILM COMPANY LIMITED,2,8,-97.39%,"1,870","3,583","795,028"
31,日本,老師君主,2018/11/16,車庫娛樂股份有限公司,"TOHO CO., LTD.",1,8,-82.61%,"1,660","1,321","295,725"
32,比利時,劫局,2018/11/16,原創娛樂股份有限公司,BE FOR FILMS,1,6,-97.82%,"1,320","1,914","411,206"
33,法國,大醫新鮮人,2018/11/16,捷傑有限公司,LE PACTE,1,5,-97.09%,930,"1,895","397,915"
34,美國,怪獸與葛林戴華德的罪行,2018/11/15,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,96,"64,712",-60.53%,"15,669,621","1,019,633","246,840,900"
35,南韓,BURN THE STAGE：THE MOVIE,2018/11/15,威秀影城股份有限公司,"(英國)
TRAFALGAR RELEASING LIMITED",3,57,-35.23%,"22,600","24,827","9,905,000"
36,美國,大君主行動,2018/11/09,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,47,"1,960",-84.45%,"461,493","157,790","36,893,686"
37,美國,鬼靈精,2018/11/09,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,18,266,-90.20%,"58,545","72,784","16,471,158"
38,美國,蜘蛛網中的女孩,2018/11/09,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,4,39,-97.31%,"8,970","53,450","11,955,507"
39,南韓,七罪追緝令,2018/11/09,車庫娛樂股份有限公司,SHOWBOX CORP.,1,1,-99.21%,220,"5,198","1,168,055"
40,中華民國,誰先愛上他的,2018/11/02,親愛的工作室有限公司,海納百川娛樂有限公司##原點概念有限公司##親愛的工作室有限公司,74,"12,199",-63.71%,"2,861,224","278,979","64,292,189"
