序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,美國,攝魂修女院,2019/02/15,暗光鳥有限公司,"OCTANE ENTERTAINMENT, INC.",5,707,-4.07%,"153,385","1,444","317,195"
2,瑞典,當幸福提早來,2019/02/15,捷傑有限公司,TRUSTNORDISK APS,6,424,-5.15%,"96,051",871,"199,842"
3,日本,元氣人生,2019/02/15,天馬行空數位有限公司,Hakuhodo DY music&pictures Inc.,7,252,-27.38%,"48,935",599,"119,155"
4,西班牙,異鄉真心話,2019/02/15,本萃電影有限公司,TRUE COLOURS glorious films s. r. l.,3,46,-54.00%,"10,360",146,"32,926"
5,美國,祝你忌日快樂,2019/02/14,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,91,"41,299",-33.92%,"9,502,385","103,802","23,847,629"
6,中華民國,一吻定情,2019/02/14,車庫娛樂股份有限公司,當樂娛樂股份有限公司,90,"28,530",3.75%,"6,524,613","56,028","12,802,312"
7,美國,樂高玩電影2,2019/02/14,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,84,"9,889",-48.54%,"2,285,606","29,107","6,711,645"
8,美國,愛‧欺,2019/02/14,威視股份有限公司,EMBANKMENT FILMS LIMITED,30,"7,342",3.18%,"1,622,505","14,458","3,220,436"
9,日本,我的傲嬌男友,2019/02/14,采昌國際多媒體股份有限公司,"ASMIK ACE, INC.",13,728,-47.59%,"163,951","2,117","483,089"
10,義大利,NICO，地下絲絨之後,2019/02/14,翻面映畫有限公司,Celluloid Dreams SAS,6,374,1.63%,"83,435",742,"166,304"
11,美國/黎巴嫩,我想有個家,2019/02/08,海鵬影業有限公司,WILD BUNCH,11,"3,242",-36.74%,"709,574","12,223","2,645,541"
12,美國,艾莉塔：戰鬥天使,2019/02/05,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,98,"133,900",-49.46%,"33,390,835","960,911","243,311,417"
13,香港,廉政風雲煙幕,2019/02/05,華映娛樂股份有限公司,"英皇影業有限公司	##北京合瑞影業文化有限公司##銀都機構有限公司##耳東影業（北京）有限公司##北京金逸嘉逸電影發行有限公司##萬達影視傳媒有限公司##天津貓眼微影文化傳媒有限公司##大地時代文化傳播(北京)有限公司##北京耀影電影發行有限公司##浙江橫店影業有限公司##北京文心優品投資基金(有限合夥)",55,"2,471",-72.39%,"561,070","43,593","10,077,440"
14,中國大陸,神探蒲松齡,2019/02/05,龍祥育樂多媒體股份有限公司,北京耀萊影視文化傳媒有限公司##愛奇藝影業（北京）有限公司##金海岸影視基地有限公司,43,943,-77.54%,"209,733","28,362","6,475,422"
15,加拿大,哈柏太空之旅3D,2019/02/04,國際電影事業有限公司,IMAX Corporation,1,23,-42.50%,"3,375",175,"26,075"
16,加拿大,深海獵奇3D,2019/02/03,國際電影事業有限公司,IMAX Corporation,1,3,-91.43%,340,115,"16,155"
17,美國,愛‧滿人間,2019/02/01,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",69,"4,861",-59.71%,"1,136,918","74,014","17,245,943"
18,中華民國,大三元,2019/02/01,好孩子國際娛樂有限公司,好孩子國際娛樂有限公司##田秦文創娛樂有限公司##幸福本色國際文創股份有限公司,83,"2,379",-78.20%,"513,253","104,501","23,409,832"
19,日本,日日是好日,2019/02/01,天馬行空數位有限公司,ColorBird Inc.,10,"1,223",-45.86%,"259,200","8,651","1,879,425"
