序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,日本,大叔之愛電影版,2019/09/06,采昌國際多媒體股份有限公司,TV Asahi Corporation,53,"10,623",-9.54%,"2,470,953","22,366","5,240,170"
2,俄羅斯,魔法禁界,2019/09/06,台北双喜電影發行股份有限公司,Media Film International,49,"4,766",-39.43%,"1,073,891","12,634","2,888,247"
3,芬蘭,匿名的畫作,2019/09/06,海鵬影業有限公司,LevelK,10,"1,854",36.22%,"382,140","3,215","670,495"
4,南韓,鬼片：即將上映,2019/09/06,車庫娛樂股份有限公司,"FINECUT CO., LTD.",18,"1,179",-14.25%,"257,183","2,554","563,414"
5,中華民國,致親愛的孤獨者,2019/09/06,夢田影像股份有限公司,夢田影像股份有限公司##中環國際娛樂事業股份有限公司,17,"1,032",-13.06%,"231,963","2,219","495,280"
6,英國,洛瑞&火柴男人,2019/09/06,天馬行空數位有限公司,The Exchange,9,895,11.04%,"185,865","1,701","348,030"
7,日本,生日幻境 Birthday Wonderland,2019/09/06,木棉花國際股份有限公司,DENTSU TEC INC.,21,757,-41.09%,"169,357","2,042","468,276"
8,日本,平行世界的愛情故事,2019/09/06,車庫娛樂股份有限公司,"SHOCHIKU CO., LTD.",11,588,-43.08%,"137,047","1,621","389,310"
9,日本,我在妳的床下,2019/09/06,車庫娛樂股份有限公司,KADOKAWA CORPORATION,4,133,-11.33%,"28,979",283,"63,243"
10,法國,插心之刀,2019/09/06,車庫娛樂股份有限公司,KINOLOGY,3,31,-53.73%,"6,615",98,"21,065"
11,美國,牠 第二章,2019/09/05,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,100,"170,644",-17.50%,"41,631,196","377,487","92,489,892"
12,南韓,極限逃生,2019/08/30,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",83,"27,155",-46.26%,"6,210,364","123,906","28,085,905"
13,香港,使徒行者2 諜影行動,2019/08/30,華映娛樂股份有限公司,"影聚天際影視傳媒（天津）有限公司##北京嘉映文化傳媒有限公司##喀什嘉映文化傳媒有限公司	##北京國影縱橫電影發行有限公司	##新疆烈火文化傳媒有限公司	##優酷電影有限公司	##華夏電影發行有限責任公司	##阿里巴巴影業(北京)有限公司	##天津貓眼微影文化傳媒有限公司	##耳東文化(北京)有限公司	##大名娛樂有限公司	##電視廣播有限公司	##天下一電影製作有限公司	##北京嘉映春天影業有限公司	##邵氏兄弟國際影業有限公司	##墨客行影業（北京）有限公司##天馬電影出品(香港)有限公司",48,"2,226",-72.85%,"494,550","21,598","4,762,522"
14,美國,雙面特務,2019/08/30,威視股份有限公司,FREEWAY ENTERTAINMENT KFT.,38,663,-85.24%,"143,015","11,469","2,592,688"
15,中華民國,未來無恙,2019/08/30,牽猴子整合行銷股份有限公司,大照國際影像有限公司Conjunction Films,11,613,-55.93%,"129,510","4,259","921,793"
16,美國,你願意嫁給我老公嗎？,2019/08/30,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Cornerstone Films LTD,33,555,-81.72%,"117,045","7,351","1,590,783"
17,法國,巴黎之王：闇黑正義,2019/08/30,鴻聯國際開發股份有限公司,Gaumont S.A.,13,349,-81.54%,"73,795","4,553","989,327"
18,中華民國,最乖巧的殺人犯,2019/08/30,安澤映畫有限公司,安澤映畫有限公司,3,130,-75.97%,"31,140","1,283","294,660"
19,澳洲,咖啡大師,2019/08/30,輝洪開發股份有限公司,Parade  Media Group Limited,1,118,9.26%,"25,880",226,"49,590"
20,美國,萌友來找碴,2019/08/30,可樂藝術文創股份有限公司,PROLIFIC PICTURES LLC,2,40,-72.22%,"8,880",429,"94,367"
21,德國,你不快樂嗎?,2019/08/30,聯影企業股份有限公司,SOCIETE PARISIENNE DE PRODUCTION SARL,1,23,-83.92%,"5,185",334,"70,037"
22,英國,星界離魂,2019/08/30,暗光鳥有限公司,FILM SEEKERS LIMITED,1,0,-100.00%,0,119,"26,365"
23,中華民國,第九分局,2019/08/29,華文創股份有限公司,華文創股份有限公司##全能製作股份有限公司##樂到家國際娛樂股份有限公司##滿滿額娛樂股份有限公司,77,"48,672",-38.03%,"11,116,080","213,177","48,865,833"
24,日本,劇場版FREE! 男子游泳部–Road to the World–夢,2019/08/28,采昌國際多媒體股份有限公司,"ABC ANIMATION, INC.",8,452,-76.66%,"105,839","10,700","2,580,898"
25,中華民國,下半場,2019/08/23,下半場電影股份有限公司,下半場電影股份有限公司##華研國際音樂(股)公司##國賓影城(股)公司##高雄市電影館##美商華納兄弟(遠東)股份有限公司##逆光電影(股)公司##有享娛樂(股)公司##福斯傳媒有限公司##華策影業(天津)有限公司,88,"7,879",-58.31%,"1,815,208","95,373","21,714,484"
26,日本,殺手寓言,2019/08/23,采昌國際多媒體股份有限公司,NIPPON TELEVISION NETWORK COPORATION,3,59,-88.08%,"13,585","8,257","1,881,030"
27,日本,再見了，唇,2019/08/23,天馬行空數位有限公司,GAGA Corporation,2,35,-81.18%,"7,870","1,833","413,774"
28,義大利,偵兇,2019/08/23,海鵬影業有限公司,TRUE COLOURS glorious films S.r.l.,3,25,-84.38%,"5,080","1,894","391,850"
29,日本,貞子：起源,2019/08/23,車庫娛樂股份有限公司,KADOKAWA CORPORATION,7,21,-97.59%,"5,020","13,163","2,999,178"
30,馬來西亞,光,2019/08/23,滿滿額娛樂股份有限公司,mm2 Entertainment Sdn Bnd##RESERVOIR WORLD Sdn Bnd,2,13,-95.89%,"2,900","3,647","794,946"
31,美國,全面攻佔3: 天使救援,2019/08/21,海樂影業股份有限公司,"NU IMAGE,INC.",92,"50,071",-41.84%,"11,795,650","578,779","135,334,996"
32,日本,航海王：奪寶爭霸戰,2019/08/21,台北双喜電影發行股份有限公司,TOEI Animation Enterprises Limited,86,"10,229",-57.38%,"2,557,899","218,770","52,764,853"
33,日本,普羅米亞,2019/08/16,中影股份有限公司,東寶株式會社,13,"6,943",20.77%,"1,778,521","34,555","8,654,839"
34,南韓,驅魔使者,2019/08/16,車庫娛樂股份有限公司,"LOTTE CULTUREWORKS CO., LTD.",34,"3,611",-57.57%,"802,996","121,847","27,700,302"
35,中華民國,緝魔,2019/08/16,華映娛樂股份有限公司,傳遞娛樂傳媒有限公司##華映娛樂股份有限公司,10,150,-87.77%,"34,590","49,442","11,199,264"
36,日本,飛翔吧!埼玉,2019/08/16,傳影互動股份有限公司,PONY CANYON INC,1,24,-86.29%,"5,450","3,243","738,382"
37,美國,憤怒鳥玩電影2：冰的啦！,2019/08/14,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,41,"1,285",-47.55%,"290,255","86,857","19,397,811"
38,日本,蠟筆小新電影 新婚旅行風暴-奪回廣志大作戰,2019/08/09,木棉花國際股份有限公司,ADK EMOTIOS INC.,17,601,-44.35%,"131,752","42,908","9,901,970"
39,日本,乘浪之約,2019/08/09,台北双喜電影發行股份有限公司,Fuji Creative Coporation,3,21,-87.12%,"5,200","12,919","3,022,277"
40,美國,朵拉與失落的黃金城,2019/08/09,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,3,10,-96.02%,"2,130","61,867","13,895,097"
41,美國,在黑暗中說的鬼故事,2019/08/07,香港商甲上娛樂有限公司台灣分公司,"eONE FEATURES, LLC",28,465,-86.53%,"107,105","228,097","52,529,711"
42,西班牙,痛苦與榮耀,2019/08/02,傳影互動股份有限公司,BATRAX ENTERTAINMENT B.V.,4,315,-43.75%,"68,205","12,841","2,758,952"
43,美國,玩命關頭:特別行動,2019/07/31,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,80,"11,077",-54.85%,"2,634,125","1,889,399","452,477,574"
44,日本,電影哆啦A夢：大雄的月球探測記,2019/07/26,車庫娛樂股份有限公司,"TOHO CO., LTD.",9,325,-10.47%,"70,920","95,918","21,566,321"
45,美國,從前，有個好萊塢,2019/07/24,台北双喜電影發行股份有限公司,"Bona Film Investment Company (Pacific RIM, USA)",5,856,-45.30%,"198,300","152,740","37,053,690"
46,英國,橫越生死線,2019/07/19,亮點國際影業有限公司,Independent Film Sales,1,86,13.16%,"12,840",761,"138,975"
47,美國,電流大戰,2019/07/19,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Lantern Entertainment LLC,2,103,9.57%,"11,110","97,203","22,416,085"
48,美國,獅子王,2019/07/17,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",48,"2,560",-50.78%,"598,320","1,306,795","313,554,802"
49,英國,鏗鏘玫瑰,2019/07/12,采昌國際多媒體股份有限公司,FILM & TV HOUSE LIMITED,2,161,0.00%,"17,140","3,038","630,996"
50,香港,掃毒2 天地對決,2019/07/05,華映娛樂股份有限公司,寰宇娛樂有限公司##廣東昇格傳媒股份有限公司##銀都機構有限公司##映藝娛樂有限公司##太陽娛樂文化有限公司##北京合瑞影業文化有限公司,8,"1,014",1079.07%,"87,025","176,977","40,399,828"
51,中華民國,我的青春都是你,2019/07/05,群星瑞智國際娛樂股份有限公司,群星瑞智國際娛樂股份有限公司##中國信託創業投資股份有限公司##中藝國際影視股份有限公司##安樂影片有限公司##北京中聯華盟文化傳媒投資有限公司##浙江東陽小宇宙影視傳媒有限公司##北京萌樣影視製作有限公司##北京影行天下文化傳播有限公司,1,95,375.00%,"14,220","7,582","1,727,530"
52,荷蘭,小島來了陌生爸爸,2019/07/05,捷傑有限公司,Picture Tree International GmbH,2,50,-62.69%,"7,240","1,132","225,202"
53,日本,名偵探柯南：紺青之拳,2019/07/03,向洋影業有限公司,株式会社トムス・エンタテインメント,11,"1,011",-45.44%,"427,093","466,668","109,122,823"
54,美國,蜘蛛人：離家日,2019/07/02,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,3,107,-33.13%,"12,500","1,585,020","378,845,719"
55,中華民國,如常,2019/06/28,星泰國際娛樂股份有限公司,財團法人中華民國佛教慈濟慈善事業基金會,2,"1,315",0.00%,"273,000","44,874","9,645,668"
