序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,中華民國,還有一些樹,2020/01/04,蜂鳥影像有限公司,蜂鳥影像有限公司,1,67,39.58%,"14,725",115,"25,400"
2,美國,兔嘲男孩,2020/01/03,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",65,"25,771",46.25%,"6,022,947","50,223","11,724,767"
3,美國,驅魔直播,2020/01/03,海樂影業股份有限公司,"THE CLEANSING HOUR, LLC.",43,"5,679",9.40%,"1,255,702","10,870","2,401,379"
4,美國,別告訴她,2020/01/03,車庫娛樂股份有限公司,"A24 INTERNATIONAL, LLC",40,"4,629",44.39%,"1,025,995","7,835","1,740,609"
5,日本,《少女與戰車 總集篇4DX》-第63屆戰車道全國高中生大會,2020/01/03,蜜蜂工房創藝有限公司,Hakuhodo DY music &amp## pictures Inc.,6,"1,617",12.06%,"738,945","3,060","1,397,105"
6,印度,真愛裁會贏,2020/01/03,水元素文化傳媒有限公司,YASH RAJ FILMS PRIVATE LIMITED,26,"2,135",-8.53%,"446,184","4,469","944,056"
7,泰國,這一次不再錯過你,2020/01/03,傳影互動股份有限公司,"CJ ENM CO.,LTD",24,"1,391",-28.67%,"314,702","3,341","761,763"
8,俄羅斯,陰兒,2020/01/03,可樂藝術文創股份有限公司,REASON8 Films Ltd.,17,892,-12.03%,"196,735","1,906","426,735"
9,中華民國,菠蘿蜜,2020/01/03,牽猴子整合行銷股份有限公司,蜂鳥影像有限公司##邊境映象藝文有限公司##高雄人,4,435,-32.35%,"99,100","1,078","243,409"
10,美國,鬼屋實錄：惡魔之家,2020/01/03,暗光鳥有限公司,KEW MEDIA INTERNATIONAL LIMITED,4,103,14.44%,"22,320",193,"41,660"
11,南韓,國際市場：半世紀的諾言,2020/01/03,車庫娛樂股份有限公司,(韓國)CJ E&M CORPORATION,3,49,104.17%,"9,995",73,"15,495"
12,南韓,鳳梧洞戰役,2020/01/03,車庫娛樂股份有限公司,SHOWBOX CORP.,2,37,-27.45%,"7,990",88,"18,695"
13,南韓,我們與愛的距離,2020/01/03,車庫娛樂股份有限公司,CONTENTS PANDA,3,21,-22.22%,"4,685",48,"10,500"
14,南韓,單身三人行,2020/01/03,車庫娛樂股份有限公司,CONTENTS PANDA,3,19,90.00%,"4,410",29,"6,295"
15,南韓,我們的美好時光,2020/01/03,車庫娛樂股份有限公司,CONTENTS PANDA,3,17,183.33%,"3,590",23,"4,895"
16,南韓,孩子的自白,2020/01/03,車庫娛樂股份有限公司,"LOTTE CULTUREWORKS CO., LTD.",3,16,-23.81%,"3,380",37,"7,665"
17,南韓,再見，未成年,2020/01/03,車庫娛樂股份有限公司,SHOWBOX CORP.,2,15,200.00%,"3,190",20,"4,185"
18,南韓,她的名字叫薔薇,2020/01/03,車庫娛樂股份有限公司,STUDIO BONANZA INC.,3,8,60.00%,"1,745",13,"2,695"
19,南韓,我的爸媽好性福,2020/01/03,車庫娛樂股份有限公司,M-LINE DISTRIBUTION,3,8,-20.00%,"1,280",18,"3,605"
20,南韓,朝鮮花美男,2020/01/03,車庫娛樂股份有限公司,CONTENTS PANDA,2,23,-78.70%,"5,475",131,"28,780"
22,美國,霹靂嬌娃,2019/12/27,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,93,"20,688",-61.43%,"4,727,718","110,995","25,364,233"
23,法國,潛艦追緝,2019/12/27,鴻聯國際開發股份有限公司,PATHE FILMS S.A.S,23,"1,341",-71.03%,"294,238","8,909","1,954,486"
24,中華民國,大約在冬季,2019/12/27,台北双喜電影發行股份有限公司,"北京恐龍影業有限公司, 浙江橫店影業有限公司, 天津貓眼微影文化傳媒有限公司, 耀萊影視文化傳媒有限公司, 江蘇雪漫舍影業有限公司, 騰訊影業文化傳播有限公司, 峨眉電影集團有限公司, 北京星光耀萊文化傳媒有限公司, 東方晨翔文化投資（武漢）有限公司, 長春思婉影視文化有限公司, 香港騰訊影業有限公司, 上海貓眼影業有限公司, 墨客行影業（北京）有限公司",10,480,-79.62%,"112,903","6,403","1,509,359"
25,日本,時光沙漏,2019/12/27,提恩傳媒實業有限公司,PONY CANYON INC.,7,336,-63.91%,"81,393","2,213","538,125"
26,俄羅斯,舞力決戰,2019/12/27,原創娛樂股份有限公司,Disenire Ltd.,5,113,-84.31%,"25,940","1,316","302,257"
27,中國大陸,吹哨人,2019/12/27,內容物數位電影製作有限公司,華文映像（北京）影業有限公司##珠海市洲際金瑪文化有限公司##北京和禾和文化傳媒有限責任公司##浙江火麥影視傳媒有限公司##中英電影文化基金有限公司##天津貓眼微影文化傳媒有限公司##溫和巨人媒體集團##天津十間影視傳媒有限公司##騰訊影業文化傳播有限公司##完美威秀娛樂（香港）有限公司 ##安樂影片有限公司##北京佳文映畫文化傳媒有限責任公司##墨客行影業(北京)有限公司##耳東文化（北京）有限公司,13,125,-89.15%,"25,275","2,158","467,261"
28,巴西,竊竊屍語,2019/12/27,暗光鳥有限公司,STRAY DOGS,4,109,-63.67%,"23,765",594,"130,036"
29,法國,鹿皮奇談,2019/12/27,繁盛映畫有限公司,WTFilms,2,106,-70.88%,"23,020",706,"155,915"
30,阿根廷,幸福試用期,2019/12/27,佳映娛樂國際股份有限公司,LATIDO CONSORCIO DE EXPORTACION DEL CINE ESPANOL SL,3,39,-87.93%,"7,025",586,"114,914"
31,美國,倒數計死,2019/12/27,采昌國際多媒體股份有限公司,"STX Productions, LLC",64,"14,385",-50.90%,"3,278,002","57,083","13,086,442"
32,南韓,白頭山：半島浩劫,2019/12/24,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",71,"83,021",-51.23%,"19,383,972","392,222","90,806,587"
33,美國,CATS 貓,2019/12/24,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,90,"4,268",-75.20%,"996,140","49,005","11,410,027"
34,法國,燃燒女子的畫像,2019/12/20,東昊影業有限公司,MK2 Films,10,"2,109",-39.05%,"463,425","10,484","2,312,274"
35,中華民國,海上花,2019/12/20,傳影互動股份有限公司,三三電影製作有限公司,1,82,-84.08%,"19,130","2,434","541,050"
36,挪威,外出偷馬,2019/12/20,捷傑有限公司,TRUSTNORDISK APS,1,25,-88.37%,"5,845",919,"193,464"
37,美國,怨靈古堡,2019/12/20,車庫娛樂股份有限公司,GEM ENTERTAINMENT KFT.,2,14,-90.79%,"3,060","2,733","604,988"
38,香港,葉問4：完結篇,2019/12/19,華映娛樂股份有限公司,東方影業出品有限公司,95,"63,159",-65.24%,"14,671,736","743,932","170,517,513"
39,美國,STAR WARS : 天行者的崛起,2019/12/18,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",98,"15,959",-68.32%,"4,071,591","313,645","79,480,857"
40,日本,添好孕,2019/12/14,天馬行空數位有限公司,"Nagoya Broadcasting Network Co., Ltd,",2,2,-98.57%,440,"1,451","319,472"
