序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,美國,狗狗的旅程,2019/05/17,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,86,"21,172",-11.56%,"4,850,917","45,111","10,359,974"
2,中華民國,你的臉+光,2019/05/17,汯呄霖電影有限公司,汯呄霖電影有限公司##財團法人公共電視文化事業基金會,1,"1,897",37.96%,"383,540","3,755","755,495"
3,中華民國,樂獄,2019/05/17,文達文創股份有限公司,"華視娛樂投資集團股份有限公司 (HS Entertainment Group Incorporated)##文達影業有限公司 (Winday Pictures Ltd)##文達文創股份有限公司 (Winday Culture Co., Ltd.)##福斯傳媒有限公司##MM2 ENTERTAINMENT PTE LTD mm2影視娛樂製作有限公司##福建恒業影業有限公司",78,"5,254",-69.32%,"1,175,929","22,380","4,992,466"
4,中華民國,我的第一任,2019/05/17,寬銀慕電影製作有限公司,寬銀慕電影製作有限公司,13,"1,496",-36.58%,"337,182","3,855","874,278"
5,美國,極惡人魔,2019/05/17,車庫娛樂股份有限公司,"MELVILLE FILMS, INC.",15,"1,349",-21.06%,"311,607","3,058","714,167"
6,美國,醜娃娃大冒險,2019/05/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX Productions, LLC",34,"1,331",-66.41%,"300,708","5,294","1,218,575"
7,法國,巴黎A片現場,2019/05/17,佳映娛樂國際股份有限公司,INDIE SALES COMPANY,5,295,35.32%,"60,280",513,"106,927"
8,美國,異星探索,2019/05/17,暗光鳥有限公司,INDEPENDENT FILM SALES,6,95,-24.60%,"21,370",221,"49,708"
9,美國,捍衛任務3：全面開戰,2019/05/15,威視股份有限公司,LIONS GATE INTERNATIONAL (UK) LIMITED,96,"189,802",-34.75%,"43,453,458","480,689","109,850,239"
10,英國,芭蕾王者,2019/05/10,聯影企業股份有限公司,The Match Factory GmbH,9,846,-50.61%,"175,425","3,928","831,634"
11,瑞典,極地先鋒,2019/05/10,采昌國際多媒體股份有限公司,AB Svensk Filmindustri,9,803,2.29%,"169,006","1,700","365,371"
12,香港,P風暴,2019/05/10,華映娛樂股份有限公司,東方影業出品有限公司,27,687,-83.78%,"154,270","10,665","2,346,275"
13,中華民國,Bra太子,2019/05/10,丙午駒電影有限公司,楊春娥,6,477,-37.15%,"100,905","2,439","512,399"
14,法國,感謝上帝,2019/05/10,天馬行空數位有限公司,Playtime,7,398,-62.31%,"85,155","2,302","492,477"
15,日本,母親過世時，我想吃掉她的骨灰,2019/05/10,車庫娛樂股份有限公司,HAKUHODO DY MUSIC & PICTURES INC.,6,177,-85.00%,"38,935","2,368","513,938"
16,美國,人肉農場,2019/05/10,暗光鳥有限公司,"BLUE FOX ENTERTAINMENT 2, LLC",5,70,-82.10%,"15,945",995,"220,444"
17,美國,名偵探皮卡丘,2019/05/09,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.##WARNER BROS. PICTURES INTERNATIONAL.,98,"104,309",-56.91%,"24,495,149","609,636","145,049,049"
18,美國,詐騙女神,2019/05/09,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,96,"61,611",-54.73%,"14,307,070","326,604","75,613,432"
19,美國,赤手登峰,2019/05/07,海鵬影業有限公司,Park Circus Limited,10,"2,028",21.44%,"442,041","3,831","824,420"
20,南韓,親愛的仇人,2019/05/04,可樂藝術文創股份有限公司,M-Line Distribution,12,165,-72.22%,"34,360","1,743","387,610"
21,美國,大冒險家,2019/05/03,香港商甲上娛樂有限公司台灣分公司,SHANGRILA FILMS LLC,18,354,-79.56%,"79,680","17,812","4,115,413"
22,中華民國,幻術,2019/05/03,威視股份有限公司,費思兔文化娛樂股份有限公司,10,184,-77.40%,"41,920","10,393","2,407,600"
23,美國,柏林我愛你,2019/05/03,采昌國際多媒體股份有限公司,Atrium Productions Kft.,5,196,-71.18%,"39,565","4,291","922,613"
24,日本,阿松劇場版,2019/05/03,曼迪傳播有限公司,TV TOKYO Corporation,5,122,-73.36%,"29,080","3,197","786,831"
25,日本,福爾圖娜之瞳,2019/05/03,車庫娛樂股份有限公司,"TOHO CO., LTD.",5,107,-86.72%,"25,320","8,731","1,967,825"
26,中華民國,阿虎,2019/05/03,海樂影業股份有限公司,紘荺文創影業有限公司##玖伍尊影業有限公司,2,81,-66.80%,"19,390","4,857","1,120,252"
27,埃及,逆著風的旅行,2019/05/03,海鵬影業有限公司,WILD BUNCH,3,27,-87.89%,"5,710","1,726","366,466"
28,美國,厄林殺機,2019/05/03,暗光鳥有限公司,"OCTANE ENTERTAINMENT, INC.",1,2,-95.35%,440,878,"197,603"
29,義大利,幸福的拉札洛,2019/04/26,鏡象電影製作有限公司,The Match Factory GmbH,5,517,-50.19%,"112,055","6,493","1,400,663"
30,香港,三夫,2019/04/26,海鵬影業有限公司,Nicetop Independent Limited,1,8,-93.39%,"1,890","2,827","614,819"
31,加拿大,製琴師與他的琴人,2019/04/26,翻面映畫有限公司,The Match Factory GmbH,1,6,-92.31%,"1,425","1,598","363,190"
32,美國,復仇者聯盟:終局之戰,2019/04/24,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",96,"88,296",-55.12%,"22,551,177","3,380,485","882,727,324"
33,美國,魔力女聲,2019/04/19,威視股份有限公司,ME TEEN SPIRIT LIMITED,1,250,0.00%,"52,500","7,243","1,682,881"
34,香港,淪落人,2019/04/19,香港商甲上娛樂有限公司台灣分公司,無際電影製作有限公司 No Ceiling Film Production Limited,2,117,-76.79%,"24,715","14,053","3,113,365"
35,美國,牛津解密,2019/04/19,采昌國際多媒體股份有限公司,Freeway Entertainment Kft.,4,57,-68.51%,"12,135","11,294","2,552,173"
36,美國,哭泣的女人,2019/04/17,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,10,413,-79.88%,"100,438","132,717","31,010,266"
37,法國,女王的柯基,2019/04/12,傳影互動股份有限公司,CHARADES SAS,9,154,-81.24%,"34,265","99,168","22,826,773"
38,美國,真愛，再出發,2019/04/12,華聯國際影音股份有限公司,"VOLTAGE PICTURES, LLC",2,138,200.00%,"20,760","2,096","449,675"
39,中華民國,我們的青春，在台灣,2019/04/12,七日印象電影有限公司,七日印象電影有限公司,2,64,-75.48%,"14,770","13,881","3,114,829"
40,日本,十二個想死的少年,2019/04/12,中影股份有限公司,NIPPON TELEVISION NETWORK CORPORATION,1,54,-81.51%,"11,990","18,914","4,306,354"
41,美國,禁入墳場,2019/04/12,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,1,38,-75.32%,"9,510","92,814","21,310,677"
42,美國,灰影地帶,2019/04/12,天馬行空數位有限公司,Radiant Films International,1,40,0.00%,"6,400","1,406","286,319"
43,法國,我的巴黎舅舅,2019/04/03,東昊影業有限公司,MK2 Films,1,40,0.00%,"6,400","2,143","446,115"
44,美國,失控危城,2019/03/29,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Arclight Films International, Pty., Ltd.",6,429,-40.58%,"92,070","141,722","32,680,013"
45,美國,小飛象,2019/03/29,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",8,241,-78.65%,"53,320","366,551","85,236,268"
46,英國,理查二世,2019/03/29,威秀影城股份有限公司,Trafalgar Releasing Limited,1,54,0.00%,"38,720",348,"233,080"
47,法國,太陽之女,2019/03/29,亮點國際影業有限公司,ELLE DRIVER,1,22,-66.15%,"3,300",626,"126,340"
48,美國,愛上觸不到的你,2019/03/29,采昌國際多媒體股份有限公司,CBS Films Inc.,1,12,-75.51%,"2,830","121,637","28,219,052"
49,美國,毀滅者,2019/03/29,車庫娛樂股份有限公司,ROCKET SCIENCE INDUSTRIES LTD.,1,19,0.00%,"2,470","3,369","753,654"
