序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,日本,假面飯店,2019/03/15,英屬維京群島商高捷全球開發有限公司 台灣分公司,"PONY CANYON, INC.",58,"18,265",-3.74%,"4,180,093","37,240","8,517,773"
2,美國,鬼裔,2019/03/15,車庫娛樂股份有限公司,METRO-GOLDWYN-MAYER STUDIOS INC.,65,"12,776",-19.30%,"2,890,996","28,607","6,465,312"
3,美國,活個精彩,2019/03/15,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX Productions, LLC",64,"11,365",-0.49%,"2,567,387","22,786","5,139,208"
4,丹麥,厄夜追緝令,2019/03/15,鏡象電影製作有限公司,TRUSTNORDISK APS,35,"3,410",-23.34%,"746,092","7,947","1,753,190"
5,美國,情，敵,2019/03/15,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,21,"2,966",-7.77%,"665,727","6,182","1,401,546"
6,法國,苦兒流浪記,2019/03/15,香港商甲上娛樂有限公司台灣分公司,TF1 DROITS AUDIOVISUELS,25,"1,720",-31.58%,"374,885","4,234","938,902"
7,日本,不管媽媽多麼討厭我,2019/03/15,天馬行空數位有限公司,"Nagoya Broadcasting Network Co., Ltd",14,685,17.29%,"150,735","1,526","336,021"
8,中華民國,最是橙黃橘綠時,2019/03/15,好野娛樂有限公司,好野娛樂有限公司,10,504,-31.52%,"114,620","1,240","286,084"
9,美國,闇罪無間,2019/03/15,暗光鳥有限公司,ARCHSTONE DISTRIBUTION LLC,4,172,-12.24%,"38,835",368,"82,535"
10,日本,Fate_staynight[Heaven'sFeel]II.迷途之蝶,2019/03/09,曼迪傳播有限公司,Aniplex Inc.,17,"17,562",-34.52%,"4,383,461","44,678","11,154,378"
11,泰國,限時好友,2019/03/08,威視股份有限公司,GDH 599 COMPANY LIMITED,57,"9,013",-55.23%,"2,096,120","52,405","12,116,958"
12,香港,滾滾紅塵(數位修復版),2019/03/08,能率影業股份有限公司,湯臣(香港)電影有限公司,21,"2,096",-62.17%,"454,806","13,082","2,886,872"
13,美國,RBG：不恐龍大法官,2019/03/08,亮點國際影業有限公司,Magnolia Pictures LLC,9,838,-53.57%,"183,995","4,148","891,983"
14,德國,無主之作,2019/03/08,車庫娛樂股份有限公司,BETA CINEMA GMBH,7,516,-55.36%,"114,925","2,871","625,493"
15,中華民國,乳‧房,2019/03/08,可樂藝術文創股份有限公司,吳美良##謝志文##廖琬玲##廖千秀,14,369,-81.93%,"81,410","5,204","1,158,128"
16,日本,小資女孩奮鬥記：遊樂園的奇蹟,2019/03/08,中影股份有限公司,AVEX PICTURES INC.,7,219,-62.18%,"46,275","1,467","308,389"
17,美國,逆光天后,2019/03/08,傳影互動股份有限公司,FILM & TV HOUSE LIMITED,15,147,-87.43%,"32,225","2,826","656,798"
18,日本,來自深淵劇場版總集篇後編：流浪之黄昏,2019/03/08,向洋影業有限公司,株式會社KADOKAWA,9,125,-77.02%,"28,730","1,598","381,610"
19,法國,三小一家人,2019/03/08,海鵬影業有限公司,PATHE FILMS S.A.S.,7,125,-85.40%,"26,545","1,882","402,689"
20,美國,末日孤行,2019/03/08,暗光鳥有限公司,VERTICAL ENTERTAINMENT,3,13,-91.88%,"3,170",302,"65,965"
21,美國,驚奇隊長,2019/03/06,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",97,"190,816",-60.41%,"45,888,740","1,463,017","350,268,736"
22,南韓,密陽,2019/02/28,華聯國際影音股份有限公司,CJ E&M CORPORATION,1,106,-38.73%,"22,150","1,210","255,603"
23,美國,密弑遊戲,2019/02/27,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,61,"3,970",-66.55%,"917,460","94,367","21,567,577"
24,美國,酷寒殺手,2019/02/27,海樂影業股份有限公司,STUDIOCANAL,48,"1,382",-78.44%,"306,595","108,735","24,523,383"
25,美國,為副不仁,2019/02/27,車庫娛樂股份有限公司,METRO-GOLDWYN-MAYER STUDIOS INC.,11,404,-77.39%,"88,560","26,908","6,080,101"
26,美國,法律女王,2019/02/27,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"Storyteller Distribution Co., LLC pursuant to its arrangements with Participant Media, LLC",7,313,-62.24%,"64,975","7,392","1,678,397"
27,日本,溫泉屋小女將,2019/02/27,威秀影城股份有限公司,Nada Holdings Japan Corp.,1,7,-93.86%,"1,620","4,330","1,049,261"
28,南韓,雞不可失,2019/02/22,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CJ ENM CO. LTD,86,"52,465",-35.79%,"12,086,151","445,833","102,877,472"
29,日本,七龍珠‧超布羅利,2019/02/22,台北双喜電影發行股份有限公司,"東映株式會社##FOX INTERNATIONAL PRODUCTIONS, INC.",25,963,-48.99%,"372,158","86,039","25,843,406"
30,美國,梵谷：在永恆之門,2019/02/22,車庫娛樂股份有限公司,"WALK HOME PRODUCTIONS, LLC",4,441,8.35%,"93,650","11,503","2,565,039"
31,日本,在地下城尋求邂逅是否搞錯了什麼─獵戶座之箭─,2019/02/22,天馬行空數位有限公司,Hakuhodo DY music & pictures Inc.,8,227,-69.03%,"54,734","21,433","5,259,453"
32,加拿大,嬰魂不散,2019/02/22,海樂影業股份有限公司,SAVAGE PRODUCTION LTD,6,37,-87.15%,"8,205","27,217","6,264,495"
33,南韓,證人,2019/02/21,香港商甲上娛樂有限公司台灣分公司,"LOTTE CULTUREWORKS CO., LTD.",38,"4,858",-53.65%,"1,107,163","60,501","13,999,405"
34,中華民國,一吻定情,2019/02/14,車庫娛樂股份有限公司,當樂娛樂股份有限公司,40,739,-80.93%,"164,556","107,639","24,575,930"
35,美國,樂高玩電影2,2019/02/14,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,6,106,-60.15%,"23,660","41,302","9,529,985"
36,美國,祝你忌日快樂,2019/02/14,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,10,94,-85.97%,"21,960","128,822","29,609,065"
37,美國,愛‧欺,2019/02/14,威視股份有限公司,EMBANKMENT FILMS LIMITED,1,45,-81.40%,"9,230","18,832","4,176,180"
38,美國/黎巴嫩,我想有個家,2019/02/08,海鵬影業有限公司,WILD BUNCH,1,54,-78.05%,"12,160","15,302","3,315,375"
39,美國,艾莉塔：戰鬥天使,2019/02/05,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,60,"3,003",-65.13%,"724,190","1,092,727","275,640,354"
40,加拿大,哈柏太空之旅3D,2019/02/04,國際電影事業有限公司,IMAX Corporation,1,15,200.00%,"2,100",283,"41,575"
41,加拿大,深海獵奇3D,2019/02/03,國際電影事業有限公司,IMAX Corporation,1,6,-62.50%,"1,080",202,"28,445"
42,日本,日日是好日,2019/02/01,天馬行空數位有限公司,ColorBird Inc.,2,439,347.96%,"92,560","10,134","2,195,875"
43,中華民國,大三元,2019/02/01,好孩子國際娛樂有限公司,好孩子國際娛樂有限公司##田秦文創娛樂有限公司##幸福本色國際文創股份有限公司,1,300,0.00%,"63,000","105,104","23,538,522"
44,南韓,飆風特警隊,2019/02/01,車庫娛樂股份有限公司,SHOWBOX CORP.,1,38,0.00%,"6,080","15,299","3,456,600"
45,美國,馴龍高手3,2019/01/30,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,30,"1,578",-49.06%,"373,178","705,627","165,846,468"
46,中華民國,丈夫的秘密,2019/01/26,財團法人國家電影中心,湖山製片廠,1,1,0.00%,150,1,150
47,美國,幸福綠皮書,2019/01/25,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"Storyteller Distribution Co., LLC pursuant to its arrangements with Participant Media, LLC",36,"5,737",-43.43%,"1,361,110","177,817","41,681,558"
48,美國,真寵,2019/01/25,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,4,227,-69.03%,"49,920","43,503","9,923,715"
49,美國,驚濤佈局,2019/01/25,華聯國際影音股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT.,3,162,0.00%,"16,540","69,870","16,338,706"
50,美國,老人與槍,2019/01/25,采昌國際多媒體股份有限公司,GEM Entertainment Kft.,1,48,0.00%,"7,680","5,579","1,228,926"
51,日本,妖怪手錶：光影之卷鬼王的復活,2019/01/25,華藝娛樂股份有限公司,Level 5 abby,1,0,-100.00%,0,"3,091","704,215"
52,日本,巧虎電影魔法島大冒險,2019/01/18,全民大劇團股份有限公司,法人倍樂生株式會社,15,343,-13.16%,"82,306","37,933","8,978,373"
53,美國,魔劍少年,2019/01/18,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,6,507,62.50%,"40,375","27,511","5,941,198"
54,日本,我的爸爸是壞蛋冠軍,2019/01/18,天馬行空數位有限公司,Hakuhodo DY music & pictures Inc.,2,97,-35.76%,"14,380","2,113","445,663"
55,美國,賭命運轉手,2019/01/11,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,10,"1,373",60.96%,"117,960","69,632","15,692,736"
56,美國,為了與你相聚,2019/01/11,台北双喜電影發行股份有限公司,"Columbia Pictures Industries, Inc.##Bona Film Investment Company (Pacific Rim,USA)",8,"1,525",26.45%,"117,415","80,686","17,908,094"
57,美國,捍衛生死線,2019/01/11,海樂影業股份有限公司,FREEWAY ENTERTAINMENT KFT.,10,982,-37.57%,"84,585","50,896","11,210,460"
58,法國,天才樂手行不行,2019/01/11,原創娛樂股份有限公司,TF1 Studio,2,59,18.00%,"7,780","3,406","705,001"
59,美國,私人戰爭,2019/01/04,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,5,459,9.81%,"33,810","16,489","3,485,871"
60,英國,初戀手作中,2019/01/04,安可電影股份有限公司,WESTEND FILMS LTD,1,63,110.00%,"9,650",767,"161,450"
61,日本,旅貓日記,2019/01/04,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"Shochiku Co., Ltd.",1,40,0.00%,"6,400","8,246","1,869,658"
62,瑞典,邊境奇譚,2019/01/04,傳影互動股份有限公司,FILMS BOUTIQUE SAS,1,34,-48.48%,"5,100","10,151","2,369,010"
63,英國,盜王之王,2019/01/04,車庫娛樂股份有限公司,STUDIOCANAL SAS,1,40,-54.02%,"3,060","7,167","1,561,061"
64,美國,胡桃鉗與奇幻四國,2018/12/28,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",11,"2,159",150.46%,"169,560","102,869","23,278,606"
65,南韓,90分鐘末日倒數,2018/12/28,華聯國際影音股份有限公司,CJ E&M CORPORATION,10,"1,033",-51.46%,"96,100","165,605","37,255,839"
66,美國,大黃蜂,2018/12/26,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,11,"2,710",0.00%,"196,415","644,258","155,275,928"
67,香港,葉問外傳：張天志,2018/12/26,華映娛樂股份有限公司,東方影業出品有限公司##(大陸)上海天馬聯合影視文化有限公司##(大陸)上海鳴肇影視文化有限公司,7,365,-67.03%,"30,690","147,997","32,625,569"
68,美國,班恩回家,2018/12/21,采昌國際多媒體股份有限公司,FREEWAY ENTERAINMENT KFT.,2,268,7.63%,"14,220","21,026","4,407,622"
69,美國,羅賓漢崛起,2018/12/20,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,(英國)LIONS GATE INTERNATIONAL(UK) LIMITED,6,419,-62.18%,"33,475","171,837","38,993,878"
70,中華民國,後勁：王建民,2018/12/14,牽猴子整合行銷股份有限公司,"藝博思國際有限公司##牽猴子整合行銷股份有限公司##WYC MOTIONS,LLC",1,112,0.00%,"26,880","26,852","6,210,078"
71,美國,蜘蛛人：新宇宙,2018/12/13,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,2,34,-84.89%,"8,230","191,869","44,977,641"
72,美國,水行俠,2018/12/12,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,1,25,150.00%,"3,730","1,938,976","469,602,845"
