序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,美國,靠譜歌王,2019/06/28,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,90,"16,574",-21.24%,"3,831,219","37,618","8,685,255"
2,中華民國,如常,2019/06/28,星泰國際娛樂股份有限公司,財團法人中華民國佛教慈濟慈善事業基金會,27,"8,375",-61.02%,"1,811,771","29,858","6,457,868"
3,日本,電影版妖怪手錶：永遠的朋友,2019/06/28,華藝娛樂股份有限公司,Level 5 abby,40,"2,371",-33.72%,"531,843","5,948","1,351,704"
4,加拿大,飢慾之膚,2019/06/28,聯影企業股份有限公司,Filmoption International,8,761,9.34%,"153,830","1,457","296,025"
5,日本,聖☆哥傳:第Ⅱ紀,2019/06/28,香港商甲上娛樂有限公司台灣分公司,"SDP,INC.",13,395,-49.55%,"92,505","1,178","281,817"
6,日本,妳在月夜裡閃耀光輝,2019/06/28,車庫娛樂股份有限公司,"TOHO CO., LTD.",9,315,-37.00%,"70,195",815,"182,513"
7,德國,大叔好神騎,2019/06/28,可樂藝術文創股份有限公司,Beta Cinema GmbH,8,267,-11.88%,"57,130",570,"123,865"
8,美國,藥命實驗,2019/06/28,暗光鳥有限公司,"OCTANE ENTERTAINMENT, INC.",5,138,-53.69%,"31,985",436,"99,325"
9,南韓,寄生上流,2019/06/28,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CJ ENM CO. LTD,48,"107,077",151.07%,"24,973,716","149,726","34,928,776"
10,美國,安娜貝爾回家囉,2019/06/25,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,96,"99,951",-49.58%,"23,361,547","298,207","69,845,635"
11,香港,九龍不敗,2019/06/25,華映娛樂股份有限公司,天馬電影出品(香港)有限公司##天馬影聯影視文化(北京)有限公司##大名娛樂有限公司,32,"1,732",-60.69%,"371,670","6,138","1,327,087"
12,美國,恰吉,2019/06/21,車庫娛樂股份有限公司,METRO-GOLDWYN-MAYER STUDIOS INC.,68,"8,382",-70.69%,"1,907,286","69,391","15,696,596"
13,法國,別問我是誰,2019/06/21,天馬行空數位有限公司,Playtime,10,714,-59.84%,"151,760","3,887","821,480"
14,英國,喬治三世的瘋狂(英國國家劇院現場),2019/06/21,威秀影城股份有限公司,National Theatre,5,129,3125.00%,"83,480",187,"120,320"
15,日本,鈴木家的謊言,2019/06/21,捷傑有限公司,"Shochiku Co., Ltd.",3,92,-81.30%,"18,450","1,038","204,088"
16,突尼西亞,最親愛的陌生兒子,2019/06/21,東昊影業有限公司,Luxbox SAS,3,54,-74.04%,"11,265",534,"111,514"
17,加拿大,金錢性騙局,2019/06/21,佳映娛樂國際股份有限公司,Seville International,1,9,-96.44%,"1,735",502,"117,948"
18,美國,模仿女孩,2019/06/21,暗光鳥有限公司,"EPIC PICTURES GROUP, INC.",1,2,-94.59%,385,79,"17,355"
19,美國,玩具總動員4,2019/06/20,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",100,"245,441",-42.86%,"56,874,142","1,025,403","239,410,133"
