序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,美國,決戰中途島,2019/11/08,台北双喜電影發行股份有限公司,"BONA FILM INVESTMENT COMPANY (PACIFIC RIM, USA)",89,"110,147",43.88%,"25,407,618","186,704","42,983,427"
2,美國,安眠醫生,2019/11/08,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,97,"47,570",21.90%,"11,361,065","86,593","20,730,778"
3,美國,救火奶爸,2019/11/08,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,67,"8,270",-10.36%,"1,866,081","17,496","3,969,530"
4,中華民國,重甲機神：神降臨,2019/11/08,威視股份有限公司,乾坤一擊創意股份有限公司,35,"2,229",-48.65%,"513,930","6,570","1,523,608"
5,美國,拍厲得,2019/11/08,車庫娛樂股份有限公司,WEINSTEIN GLOBAL FILM CORP.,18,"1,574",-8.38%,"349,128","3,292","731,447"
6,中國大陸,地久天長,2019/11/08,東昊影業有限公司,冬春（上海）影業有限公司##和和（上海）影業有限公司##浙江博納影視製作有限公司##風山漸文化傳播（北京）有限公司##春凡藝術電影（上海）有限公司##正夫影業有限公司##霍爾果斯萬年影業有限公司##北京萬年奈思文化傳媒有限公司,12,892,-27.66%,"203,956","2,125","490,060"
7,美國,遺怨,2019/11/08,暗光鳥有限公司,"ARSENAL PICTURES, INC.",5,311,4.36%,"71,440",609,"137,556"
8,日本,山田孝之的痛苦與榮耀,2019/11/08,水元素文化傳媒有限公司,SDP INC.,8,318,-8.36%,"69,299",665,"147,007"
9,義大利,黑金叛徒,2019/11/08,可樂藝術文創股份有限公司,The Match Factory GmbH,6,266,-38.00%,"54,650",695,"145,632"
10,英國,熔爐,2019/11/08,威秀影城股份有限公司,CinemaLive Limited,6,43,514.29%,"31,360",50,"36,480"
11,中華民國,樂園,2019/11/08,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,滿滿額娛樂股份有限公司##新世紀南向開發有限公司##神州娛樂股份有限公司##鳳凰藝能股份有限公司,28,"9,460",44.38%,"1,993,240","16,012","3,408,142"
12,美國,魔鬼終結者：黑暗宿命,2019/11/07,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",98,"125,218",-26.78%,"29,338,643","296,225","69,557,020"
13,美國,阿達一族,2019/11/01,高雄市電影館,Park Circus Limited,87,"14,428",-54.97%,"3,316,730","81,331","18,655,738"
