序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,南韓,雞不可失,2019/02/22,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CJ ENM CO. LTD,86,"166,746",218.73%,"38,515,119","219,061","50,489,186"
2,日本,七龍珠‧超布羅利,2019/02/22,台北双喜電影發行股份有限公司,"東映株式會社##FOX INTERNATIONAL PRODUCTIONS, INC.",55,"43,218",33.42%,"13,404,284","75,611","22,826,838"
3,加拿大,嬰魂不散,2019/02/22,海樂影業股份有限公司,SAVAGE PRODUCTION LTD,52,"12,721",1.60%,"2,915,389","25,242","5,821,851"
4,日本,在地下城尋求邂逅是否搞錯了什麼─獵戶座之箭─,2019/02/22,天馬行空數位有限公司,Hakuhodo DY music & pictures Inc.,21,"9,940",10.72%,"2,454,794","18,918","4,655,357"
5,美國,梵谷：在永恆之門,2019/02/22,車庫娛樂股份有限公司,"WALK HOME PRODUCTIONS, LLC",35,"4,769",3.47%,"1,074,172","9,537","2,137,804"
6,比利時,芭蕾少女夢,2019/02/22,鏡象電影製作有限公司,The Match Factory GmbH,14,"1,109",24.75%,"243,123","2,418","519,130"
7,越南,落紅,2019/02/22,佳映娛樂國際股份有限公司,M-appeal world sales UG,11,"1,018",6.71%,"222,190","1,972","431,875"
8,日本,來自深淵劇場版總集篇前編：啟程的黎明,2019/02/22,向洋影業有限公司,株式會社KADOKAWA,8,920,-5.35%,"220,581","1,892","456,851"
9,美國,追魂公寓,2019/02/22,暗光鳥有限公司,"GEM ENTERTAINMENT, KFT.",6,218,-40.11%,"45,220",582,"122,600"
10,南韓,證人,2019/02/21,香港商甲上娛樂有限公司台灣分公司,"LOTTE CULTUREWORKS CO., LTD.",40,"29,295","11,433.46%","6,817,810","29,549","6,873,690"
11,美國,攝魂修女院,2019/02/15,暗光鳥有限公司,"OCTANE ENTERTAINMENT, INC.",5,214,-69.73%,"48,165","1,658","365,360"
12,瑞典,當幸福提早來,2019/02/15,捷傑有限公司,TRUSTNORDISK APS,5,138,-67.45%,"29,410","1,009","229,252"
13,日本,元氣人生,2019/02/15,天馬行空數位有限公司,Hakuhodo DY music&pictures Inc.,4,33,-86.90%,"6,890",632,"126,045"
14,西班牙,異鄉真心話,2019/02/15,本萃電影有限公司,TRUE COLOURS glorious films s. r. l.,2,5,-89.13%,"1,085",151,"34,011"
15,中華民國,一吻定情,2019/02/14,車庫娛樂股份有限公司,當樂娛樂股份有限公司,84,"36,908",29.37%,"8,413,639","92,936","21,215,951"
16,美國,祝你忌日快樂,2019/02/14,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,92,"21,478",-48.03%,"4,947,047","125,305","28,800,196"
