序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,本周票數變動率,銷售金額,累計銷售票數,累計銷售金額
26,南韓,非賣品,2018/11/30,車庫娛樂股份有限公司,SHOWBOX CORP.,12,"1,060",-69.29%,"238,380","36,713","8,357,429"
27,美國,金牌拳手：父仇,2018/11/30,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,17,531,-83.18%,"126,050","50,091","11,492,398"
28,丹麥,傑克蓋的房子,2018/11/30,車庫娛樂股份有限公司,TRUSTNORDISK APS,4,375,-55.88%,"84,120","5,485","1,252,024"
29,日本,世界最長的照片,2018/11/30,中影股份有限公司,"NAGOYA BROADCASTING NETWORK CO.,LTD.",1,303,-47.03%,"63,645","2,258","475,514"
30,美國,被遺忘的幸福,2018/11/30,采昌國際多媒體股份有限公司,(匈牙利)FREEWAY ENTERTAINMENT KFT.,3,217,-75.34%,"41,960","4,550","988,481"
31,挪威,不可能的逃亡,2018/11/30,海鵬影業有限公司,TRUSTNORDISK APS,2,70,-83.09%,"14,365","3,199","690,159"
32,法國,愛情賭徒,2018/11/30,鏡象電影製作有限公司,PLAYTIME,1,38,-5.00%,"7,625",726,"159,880"
33,美國,無敵破壞王2：網路大暴走,2018/11/29,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",88,"38,104",-52.00%,"8,862,315","529,071","122,474,747"
34,中華民國,人面魚紅衣小女孩外傳,2018/11/23,威視股份有限公司,中環國際娛樂事業股份有限公司##講故事有限公司##大慕影藝國際事業有限公司##華映娛樂股份有限公司##秀泰國際娛樂有限公司##國賓影城股份有限公司##樂到家國際娛樂股份有限公司##華研國際音樂股份有限公司##紅衣小女孩股份有限公司,59,"6,239",-68.58%,"1,429,507","323,830","72,380,408"
35,挪威,芮氏9.6,2018/11/23,車庫娛樂股份有限公司,(丹麥)TRUSTNORDISK APS,3,20,-94.91%,"4,220","50,585","11,310,611"
36,日本,電影版七大罪天空的囚人,2018/11/23,車庫娛樂股份有限公司,(香港)MEDIALINK ENTERTAINMENT LIMITED,1,10,-89.58%,"2,340","6,644","1,604,676"
37,中華民國,比悲傷更悲傷的故事,2018/11/18,好好看文創有限公司,滿滿額娛樂股份有限公司##好好看文創有限公司##百聿數碼創意股份有限公司##神州音樂有限公司##崴森管理顧問股份有限公司##(大陸)上海唯喜影業有限公司##(香港)福斯傳媒有限公司,95,"111,298",-53.67%,"25,640,650","896,835","206,652,166"
38,法國,師聲對決,2018/11/16,鴻聯國際開發股份有限公司,PATHE FILMS,2,128,-61.79%,"16,060","5,075","1,087,796"
39,英國,艾瑞克克萊普頓：藍調天堂路,2018/11/16,翻面映畫有限公司,ALTITUDE FILM SALES LIMITED,1,20,-28.57%,"4,990","2,498","580,075"
40,比利時,劫局,2018/11/16,原創娛樂股份有限公司,BE FOR FILMS,1,37,0.00%,"3,700","1,951","414,906"
41,美國,怪獸與葛林戴華德的罪行,2018/11/15,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,50,"6,315",-68.40%,"1,551,196","1,045,935","253,266,296"
42,美國,鬼靈精,2018/11/09,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,2,256,524.39%,"57,240","73,081","16,536,308"
43,中華民國,誰先愛上他的,2018/11/02,親愛的工作室有限公司,海納百川娛樂有限公司##原點概念有限公司##親愛的工作室有限公司,11,"1,385",-55.92%,"330,461","283,506","65,370,156"
44,美國,波希米亞狂想曲,2018/11/02,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,7,"1,202",-24.64%,"289,985","137,685","32,941,258"
45,美國,生命中的美好意外,2018/11/02,傳影互動股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT,1,43,-67.67%,"9,460","15,510","3,624,365"
46,日本,大聲點笨蛋！完全不知道你在唱什麼,2018/10/28,天馬行空數位有限公司,"ASMIK ACE,INC.",14,244,-34.58%,"53,360",767,"172,730"
47,英國,馬修．伯恩版仙履奇緣,2018/10/27,威秀影城股份有限公司,MORE2SCREEN LIMITED,2,48,0.00%,"31,760",167,"109,680"
48,中華民國,疾風魅影-黑貓中隊,2018/10/26,寬和影像事業有限公司,寬和影像事業有限公司,2,470,552.78%,"96,000","16,182","3,500,888"
49,俄羅斯,夏,2018/10/26,鏡象電影製作有限公司,(法國)CHARADES,2,30,0.00%,"6,616",30,"6,616"
50,美國,潛艦獵殺令,2018/10/26,英屬維京群島商高捷全球開發有限公司 台灣分公司,NU IMAGE INCORPORATED,1,3,-99.67%,640,"323,350","74,729,933"
51,中華民國,哈囉！有事嗎,2018/10/23,美商廿世紀福斯影片股份有限公司台灣分公司,一起影業製作有限公司##香港商福斯傳媒有限公司台灣分公司,2,86,0.00%,"4,600","5,440","1,186,687"
52,中華民國,紅盒子,2018/10/19,後場音像紀錄工作室有限公司,後場音像紀錄工作室有限公司,2,291,35.98%,"57,610","31,083","6,821,087"
53,英國,凱撒大帝(英國國家劇院現場),2018/10/19,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,2,47,0.00%,"31,360",676,"450,440"
54,美國,怪物遊戲2：妖獸讚,2018/10/19,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,4,240,0.00%,"23,405","47,516","10,505,327"
55,南韓,極智對決,2018/10/19,華聯國際影音股份有限公司,CJ E&M CORPORATION,2,154,97.44%,"22,580","31,958","7,130,067"
56,英國,劊子手(英國國家劇院現場),2018/10/19,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,2,21,0.00%,"14,480",565,"367,440"
57,美國,億萬男孩俱樂部,2018/10/19,香港商甲上娛樂有限公司台灣分公司,"BB CLUB,LLC",2,67,17.54%,"9,040","25,397","5,989,798"
58,日本,檢方的罪人,2018/10/19,車庫娛樂股份有限公司,"TOHO CO., LTD.",2,64,146.15%,"8,240","22,750","5,164,633"
59,英國,一週斃命：不死退費,2018/10/12,采昌國際多媒體股份有限公司,ALTITUDE FILM SALES LIMITED,3,112,128.57%,"13,630","5,201","1,143,905"
60,美國,滴答屋,2018/10/10,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,9,667,839.44%,"67,000","110,391","25,337,426"
61,美國,一個巨星的誕生,2018/10/09,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,2,18,-95.76%,"4,540","685,986","161,693,403"
62,香港,無雙,2018/10/05,台北双喜電影發行股份有限公司,(香港)博納影視娛樂有限公司##(香港)英皇影業有限公司##(大陸)上海博納文化傳媒有限公司##(大陸)上海阿里巴巴影業有限公司##(大陸)華夏電影發行有限責任公司##(大陸)博納影業集團股份有限公司##(大陸)双喜電影發行(北京)有限公司,6,430,-65.24%,"37,015","205,802","46,237,327"
63,南韓,鬼神拍檔,2018/10/05,車庫娛樂股份有限公司,CJ E&M CORPORATION,1,29,16.00%,"2,900","10,938","2,419,904"
64,美國,人肉搜索,2018/09/28,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,11,"1,714",325.31%,"144,355","61,073","13,873,813"
65,美國,小腳怪,2018/09/28,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,6,"1,086",17.79%,"113,950","97,688","21,854,930"
66,美國,判決,2018/09/28,傳影互動股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT,3,192,163.01%,"36,220","16,204","3,622,715"
67,中國大陸,塑料王國,2018/09/28,視納華仁文化傳播股份有限公司,（香港）CNEX FOUNDATION LIMITED##（大陸）北京泰岳文化傳播有限責任公司（BEIJING TYC MEDIA）,1,51,0.00%,"11,220","3,464","742,662"
68,香港,歐洲攻略,2018/09/28,華映娛樂股份有限公司,（英屬維京群島）春光映画(BLOCK 2 PICTURES INC.)##（英屬維京群島）見天地電影工作室有限公司(MASTER CHINA FILMS LTD.)##（大陸）上海銀潤傳媒廣告有限公司##（大陸）西藏恆信天地影視有限公司##（大陸）浙江天意影視有限公司##（香港）美亞電影製作有限公司,1,129,-38.28%,"7,095","8,915","1,790,402"
69,日本,陪睡大人,2018/09/28,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"TOHO CO.,LTD",1,30,0.00%,"4,660","7,519","1,654,298"
70,美國,凸搥特派員:三度出擊,2018/09/21,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,11,"1,874",-14.55%,"139,120","257,758","58,825,425"
71,日本,一屍到底,2018/09/21,車庫娛樂股份有限公司,NIKKATSU CORPORATION,10,"1,267",3.26%,"127,050","232,413","53,193,060"
72,美國,惡魔島,2018/09/21,香港商甲上娛樂有限公司台灣分公司,"RED GRANITE INTERNATIONAL,INC",6,699,-56.72%,"48,325","170,024","39,175,744"
73,香港,黃金兄弟,2018/09/21,牽猴子整合行銷股份有限公司,耀萊文娛發展有限公司##影藝人娛樂製作有限公司##(大陸)北京耀暘信盈投資有限公司##(中華民國)寬魚國際股份有限公司,5,276,-44.13%,"23,475","69,770","15,760,441"
74,美國,極地之王,2018/09/21,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,2,219,305.56%,"17,790","23,773","4,969,201"
75,美國,血薄荷,2018/09/21,海樂影業股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT.,3,237,-54.07%,"15,550","70,746","15,115,470"
76,美國,失蹤網紅,2018/09/14,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,(英國)LIONS GATE INTERNATIONAL(UK) LIMITED,3,220,-57.61%,"24,940","104,718","23,751,476"
77,美國,德魯大叔,2018/09/14,車庫娛樂股份有限公司,(英國)LIONS GATE INTERNATIONAL(UK) LIMITED,1,67,97.06%,"10,170","17,980","4,254,551"
78,美國,終極戰士：掠奪者,2018/09/14,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,2,81,-55.49%,"6,590","188,727","43,561,059"
79,中華民國,山的那一邊,2018/09/07,內容物數位電影製作有限公司,內容物數位電影製作有限公司##華映娛樂股份有限公司##滿滿額娛樂有限公司,1,21,0.00%,"3,270","24,492","5,428,841"
80,美國,鬼修女,2018/09/06,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,6,478,-13.56%,"46,285","478,137","112,654,612"
81,中華民國,粽邪,2018/08/31,華影國際影藝有限公司,緯來電視網股份有限公司##一起影業製作有限公司##華達星多媒體事業股份有限公司##志嘉建設股份有限公司##華影國際影藝有限公司##和合佰納媒體事業股份有限公司,2,372,12.39%,"22,500","219,737","49,263,665"
82,美國,私刑教育2,2018/08/30,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,5,359,-54.96%,"24,285","307,686","70,221,511"
83,美國,殺戮元年,2018/08/24,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,2,375,0.00%,"19,915","66,354","15,126,779"
84,美國,瘋狂亞洲富豪,2018/08/24,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,3,235,-61.79%,"15,810","285,857","66,359,841"
85,中華民國,鬥魚,2018/08/17,星泰國際娛樂股份有限公司,多曼尼製作有限公司##星泰國際娛樂股份有限公司##旺旺中時媒體集團##宏璟建設股份有限公司##樂到家國際娛樂股份有限公司##香港商福斯傳媒有限公司台灣分公司##(大陸)霍爾果斯鑫岳影視傳媒有限公司##(大陸)霍爾果斯觀達影視文化傳播有限公司,1,128,-10.49%,"7,040","136,948","30,567,269"
86,美國,摯友維尼,2018/08/03,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",1,30,-53.13%,"4,200","103,333","23,510,154"
87,美國,不可能的任務：全面瓦解,2018/07/25,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,3,352,-27.12%,"20,420","1,897,408","447,478,925"
88,美國,尖叫旅社3:怪獸假期,2018/07/19,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,1,51,-34.62%,"7,300","310,501","68,677,290"
89,南韓,REAL,2017/08/04,車庫娛樂股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT.,1,31,0.00%,"6,820","23,469","5,185,438"
90,法國,高潮,2012/05/04,捷傑有限公司,WILD BUNCH,8,575,"2,295.83%","122,650",599,"127,960"
91,俄羅斯,馴悍記,2006/09/02,威秀影城股份有限公司,THE BOLSHOI THEATRE,1,33,0.00%,"20,960",72,"44,760"
