序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,本周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,香港,霸王別姬,2018/12/14,能率影業股份有限公司,湯臣(香港)電影有限公司,25,"16,681",88.98%,"3,954,801","25,508","6,078,621"
2,中華民國,後勁：王建民,2018/12/14,牽猴子整合行銷股份有限公司,"藝博思國際有限公司##牽猴子整合行銷股份有限公司##WYC MOTIONS,LLC",31,"8,712",32.50%,"2,017,799","16,992","3,964,425"
3,日本,電影版我的英雄學院二人的英雄,2018/12/14,車庫娛樂股份有限公司,MEDIALINK ENTERTAINMENT LIMITED,20,"7,454",-15.84%,"1,789,434","16,311","3,923,604"
4,法國,野放動物,2018/12/14,海鵬影業有限公司,PYRAMIDE INTERNATIONAL,10,959,7.75%,"208,715","1,849","398,185"
5,德國,奇蹟熱氣球,2018/12/14,采昌國際多媒體股份有限公司,STUDIOCANAL,7,682,-20.42%,"141,889","1,539","324,252"
6,英國,WESTWOOD：龐克時尚教母,2018/12/14,佳映娛樂國際股份有限公司,DOGWOOF LTD.,7,246,55.70%,"53,130",404,"87,710"
7,法國,影像之書,2018/12/14,車庫娛樂股份有限公司,WILD BUNCH,7,211,14.67%,"44,805",419,"89,297"
8,美國,蜘蛛人：新宇宙,2018/12/13,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,90,"43,631",-7.23%,"9,942,482","107,747","24,539,911"
9,美國,水行俠,2018/12/12,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,96,"508,886",-17.38%,"124,059,002","1,124,799","274,177,000"
10,日本,POKE'MON THE MOVIE劇場版精靈寶可夢我們的故事,2018/12/07,曼迪傳播有限公司,THE POKÉMON COMPANY,32,"4,540",-62.08%,"1,060,347","38,855","9,038,211"
11,美國,寡婦,2018/12/07,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,64,"3,515",-76.39%,"798,740","39,421","9,048,213"
12,日本,夏目友人帳劇場版緣結空蟬,2018/12/07,木棉花國際股份有限公司,ANIPLEX INC.,25,"2,898",-64.29%,"678,746","21,468","4,994,076"
13,美國,美麗男孩,2018/12/07,傳影互動股份有限公司,FILMNATION INTERNATIONAL LLC,8,317,-78.51%,"68,840","3,632","803,940"
14,日本,SUNNY我們的青春,2018/12/07,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"TOHO CO., LTD.",5,189,-82.17%,"42,810","3,010","681,911"
15,法國,聖草之愛,2018/12/07,亮點國際影業有限公司,ELLE DRIVER,4,185,-52.44%,"37,080","1,005","206,280"
16,南韓,夜半鬼哭聲,2018/12/07,車庫娛樂股份有限公司,CONTENTS PANDA,5,160,-85.12%,"34,070","2,912","642,353"
17,印度,廁所愛情故事,2018/12/07,車庫娛樂股份有限公司,(英國)RELIANCE BIG ENTERTAINMENT (UK) PRIVATE LIMITED,5,150,-78.45%,"29,945","1,761","351,670"
18,日本,K SEVEN STORIES Episode6「CircleVision～NamelessSong～」,2018/12/07,曼迪傳播有限公司,"KING RECORD CO., LTD.",7,63,-81.42%,"14,290",985,"228,224"
19,法國,天使的臉孔,2018/12/07,鴻聯國際開發股份有限公司,WINDY PRODUCTION##MOANA FILMS,3,61,-74.90%,"12,520",484,"99,147"
20,日本,愛的奴隸,2018/12/07,車庫娛樂股份有限公司,KADOKAWA CORPORATION,3,20,-86.93%,"4,300",318,"70,600"
21,阿根廷,這旅程使命必達,2018/12/07,本萃電影有限公司,LATIDO CONSORCIO DE EXPORTACION DEL CINE ESPANOL S.L.,1,11,-91.27%,"2,450",345,"73,997"
22,美國,移動城市：致命引擎,2018/12/06,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,92,"31,414",-59.74%,"7,201,545","248,345","58,239,832"
23,中華民國,小美,2018/12/01,華文創股份有限公司,人浪漫映画有限公司,3,96,-85.48%,"20,615","5,232","1,180,592"
24,南韓,分秒幣爭,2018/11/30,華映娛樂股份有限公司,"CJ ENM CO., LTD",25,"2,403",-60.56%,"543,483","19,656","4,407,970"
25,中華民國,幸福定格,2018/11/30,視納華仁文化傳播股份有限公司,視納華仁文化傳播股份有限公司##七日印象電影有限公司,10,"1,534",-26.32%,"341,783","10,084","2,300,758"
