序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
1,香港,無雙,2018/10/5,台北双喜電影發行股份有限公司,(香港)博納影視娛樂有限公司##(香港)英皇影業有限公司##(大陸)上海博納文化傳媒有限公司##(大陸)上海阿里巴巴影業有限公司##(大陸)華夏電影發行有限責任公司##(大陸)博納影業集團股份有限公司##(大陸)双喜電影發行(北京)有限公司,82,"82,833","18,834,696","121,614","27,690,458"
2,日本,在咖啡冷掉之前,2018/10/5,英屬維京群島商高捷全球開發有限公司 台灣分公司,"TOKYO BROADCASTING SYSTEM TELEVISION, INC.",57,"22,817","5,250,562","36,670","8,442,467"
3,日本,電影版吹響吧！上低音號~莉茲與青鳥~,2018/10/5,車庫娛樂股份有限公司,(美國)PONYCANYON USA INC.,11,"4,564","1,122,726","8,058","1,996,052"
4,南韓,鬼神拍檔,2018/10/5,車庫娛樂股份有限公司,CJ E&M CORPORATION,40,"4,753","1,072,118","9,291","2,090,055"
5,美國,兩個爸爸,2018/10/5,香港商甲上娛樂有限公司台灣分公司,FORTITUDE INTERNATIONAL INC.,19,"1,085","240,988","2,688","605,044"
6,羅馬尼亞,禁身接觸,2018/10/5,海鵬影業有限公司,(法國)DOC & FILM INTERNATIONAL,6,686,"146,430","1,310","281,690"
7,日本,藤子海敏：寂默鋼琴師,2018/10/5,亮點國際影業有限公司,NIKKATSU CORPORATION,8,619,"122,966","1,127","229,176"
8,西班牙,愛愛馬德里,2018/10/5,前景娛樂有限公司,(法國)WILD BUNCH,9,350,"77,288",643,"140,070"
9,美國,神秘肌膚,2018/10/5,車庫娛樂股份有限公司,(法國)MK2 FILMS,6,359,"75,190",677,"140,140"
10,美國,戮營謎,2018/10/5,暗光鳥有限公司,(英國)JINGA FILMS LIMITED,4,72,"16,570",142,"32,390"
11,荷蘭,格林納威：胡說爸道,2018/10/5,佳映娛樂國際股份有限公司,"(法國)WIDE HOUSE, SARL",1,20,"4,670",37,"8,430"
