序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,日本,添好孕,2019/12/14,天馬行空數位有限公司,"Nagoya Broadcasting Network Co., Ltd,",11,695,747.56%,"157,716",777,"174,116"
2,法國,巴黎小情聖,2019/12/13,鴻聯國際開發股份有限公司,Gaumont,11,426,-5.75%,"88,885",878,"184,300"
3,加拿大,屍控療法,2019/12/13,暗光鳥有限公司,"FILM MODE ENTERTAINMENT, LLC.",4,322,89.41%,"66,851",492,"103,416"
4,中華民國,黑熊來了,2019/12/13,牽猴子整合行銷股份有限公司,大麥影像傳播工作室,33,"10,894",39.70%,"2,486,985","22,219","5,032,099"
5,中國大陸,唐人街探案2,2019/12/13,炬豐有限公司,伊犁卓然影業有限公司(聯合出品)## 北京紅色果實文化傳播有限公司(聯合出品)## 大地時代文化傳播(北京)有限公司(聯合出品)## 浙江橫店影業有限公司(聯合出品)## 霍爾果斯金逸影業有限公司(聯合出品)## 北京耀萊影視文化傳媒有限公司(聯合出品)## 霍爾果斯青春光線影業有限公司(聯合出品)## 優酷電影有限公司(聯合出品)## 華文映像(北京)影視投資有限公司(聯合出品)## 霍爾果斯樂開花影業有限公司(聯合出品)## 萬達影業(香港)有限公司(聯合出品)## 中國電影股份有限公司(聯合出品)## 霍爾果斯騁亞影視文化傳媒有限公司##萬達影視傳媒有限公司##小米影業有限責任公司(聯合出品)## 天津聯瑞影業有限公司(聯合出品),3,41,-41.43%,"8,925",111,"25,055"
6,中國大陸,南方車站的聚會,2019/12/13,秝米有限公司,麥頌影視投資（上海）有限公司##山南光線影業有限公司##幸福藍海影視文化集團股份有限公司##騰訊影業文化傳播有限公司##萬達影視傳媒有限公司##綠光影業（上海）有限公司##和力辰光國際文化傳媒（北京）股份有限公司##中影（上海）影視文化投資管理中心（有限合夥）##一山文化（天津）合夥企業（有限合夥）##杭州嘉藝影視傳媒有限公司,15,"1,884",0.21%,"414,346","3,764","845,523"
7,德國,風暴過後,2019/12/13,海鵬影業有限公司,Beta Cinema GmbH,8,500,17.10%,"100,905",927,"186,550"
8,南韓,黑計畫,2019/12/13,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Contents Panda,36,"1,668",-38.68%,"374,844","4,388","1,000,470"
9,美國,大說謊家,2019/12/13,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,86,"14,508",-11.85%,"3,291,297","30,967","7,072,714"
10,美國,黑色聖誕節,2019/12/13,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,87,"6,321",-41.27%,"1,425,886","17,084","3,867,692"
