序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,美國,音速小子,2020/02/21,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,98,"42,897",1.81%,"10,036,408","85,030","19,951,376"
2,南韓,陰櫥,2020/02/21,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",48,"12,797",-10.69%,"2,996,107","27,126","6,375,053"
3,美國,李察朱威爾事件,2020/02/21,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,82,"11,639",6.55%,"2,648,692","22,562","5,118,110"
4,西班牙,絕命大平台,2020/02/21,原創娛樂股份有限公司,Latido Consorcio De Exportacion Del Cine Espanol SL,17,"2,736",-21.36%,"598,586","6,215","1,367,228"
5,美國,電影音效傳奇：好萊塢之聲,2020/02/21,造次文化有限公司,Dogwoof Ltd,10,"1,838",160.71%,"426,843","2,543","592,768"
6,法國,悲慘世界,2020/02/21,海鵬影業有限公司,WILD BUNCH,13,"1,185",16.86%,"254,756","2,449","522,633"
7,羅馬尼亞,吹哨奇案,2020/02/21,光年映畫有限公司,MK2 FILMS,9,611,1.16%,"130,950","1,215","259,080"
8,中華民國,失路人,2020/02/21,中影股份有限公司,中影股份有限公司,7,516,4.88%,"113,955","1,008","218,563"
9,法國,閃閃小超人電影版,2020/02/21,采昌國際多媒體股份有限公司,STUDIOCANAL,37,456,-25.49%,"99,315","1,068","237,752"
10,比利時,少年阿罕默德,2020/02/21,捷傑有限公司,Wild Bunch,9,422,6.84%,"87,130",817,"170,360"
11,南韓,"超""人""氣動物園",2020/02/14,車庫娛樂股份有限公司,"FINECUT CO., LTD.",65,"22,669",-57.20%,"5,338,680","131,540","30,655,376"
12,美國,逃出夢幻島,2020/02/14,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,96,"14,319",-60.27%,"2,765,059","95,070","21,226,109"
13,美國,雨天 . 紐約,2020/02/14,香港商甲上娛樂有限公司台灣分公司,Krisolta Film & TV (UK) LIMITED,26,"1,540",-62.61%,"348,057","10,165","2,357,603"
14,日本,殺不了的他和死不了的她,2020/02/14,威視股份有限公司,KADOKAWA CORPORATION,19,667,-74.56%,"157,338","6,546","1,562,236"
15,泰國,就愛斷捨離,2020/02/14,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,GDH 559 COMPANY LIMITED,24,604,-73.12%,"135,617","5,487","1,263,781"
16,日本,愛情人形,2020/02/14,天馬行空數位有限公司,NIKKATSU CORPORATION,13,382,-70.32%,"85,900","3,226","731,406"
17,日本,全境失控,2020/02/14,采昌國際多媒體股份有限公司,日本テレビ放送網株式会社,27,203,-88.70%,"45,531","4,382","958,577"
18,哥倫比亞,失控少年兵團,2020/02/14,聯影企業股份有限公司,LE PACTE,6,109,-73.41%,"23,095",880,"187,945"
19,法國,謎夜拼圖,2020/02/14,本萃電影有限公司,The Match Factory GmbH,3,40,-78.61%,"8,980",461,"106,010"
20,德國,尋愛夢工廠,2020/02/14,車庫娛樂股份有限公司,PICTURE TREE INTERNATIONAL GMBH,2,22,-94.46%,"4,920",833,"177,279"
21,美國,戰慄魔胎,2020/02/14,暗光鳥有限公司,ALLIANCE MEDIA PARTNERS INTERNATIONAL LIMITED,1,1,-98.73%,230,179,"38,291"
22,越南,古曼童,2020/02/07,車庫娛樂股份有限公司,"SKYLINE MEDIA CO., LTD",31,"1,570",-78.52%,"368,401","45,466","10,529,399"
