序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,中華民國,練愛iNG,2020/03/13,威視股份有限公司,量能文創股份有限公司##聚善美文創娛樂有限公司##遊戲橘子數位科技股份有限公司##恆動工作室##天鵬翱翔集團有限公司,60,"13,947",14.59%,"3,205,641","26,118","6,059,057"
2,美國,刺激1995,2020/03/13,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,22,"7,518",11.26%,"1,818,904","14,275","3,497,489"
3,日本,劇場版 不起眼女主角培育法 Fine,2020/03/13,車庫娛樂股份有限公司,ANIPLEX INC.,20,"5,596",-39.70%,"1,358,585","14,876","3,626,741"
4,美國,鋼鐵勳章,2020/03/13,采昌國際多媒體股份有限公司,Freeway Entertainment Kft,55,"5,004",-2.93%,"1,114,114","10,271","2,314,963"
5,泰國,通靈少年2020,2020/03/13,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Sahamongkolfilm International Co., Ltd.",46,"1,969",-8.33%,"424,151","4,117","888,438"
6,南韓,南山的部長們,2020/03/13,車庫娛樂股份有限公司,SHOWBOX CORP.,20,"1,005",11.42%,"234,371","1,907","450,697"
7,日本,電影版 地獄少女,2020/03/13,車庫娛樂股份有限公司,GAGA CORPORATION,20,799,-17.97%,"179,980","1,773","400,470"
8,波蘭,另類神父,2020/03/13,聯影企業股份有限公司,New Europe Film Sales,11,811,6.99%,"169,245","1,569","328,415"
9,美國,安雅的回家路,2020/03/13,華映娛樂股份有限公司,"13 FILMS, LLC",31,506,-41.71%,"104,887","1,374","290,576"
10,英國,複製柔伊,2020/03/13,天馬行空數位有限公司,PROTAGONIST PICTURES LIMITED,9,174,4.19%,"36,165",341,"70,135"
