序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
1,美國,機器戰犬,2018/10/12,傳影互動股份有限公司,LAKESHORE ENTERTAINMENT GROUP LLC,31,"3,187","698,955","8,390","1,858,741"
2,英國,一週斃命：不死退費,2018/10/12,采昌國際多媒體股份有限公司,ALTITUDE FILM SALES LIMITED,30,"2,050","453,454","4,722","1,056,130"
3,南韓,浴血圍城88天,2018/10/12,車庫娛樂股份有限公司,CONTENTS PANDA,11,"1,634","371,703","3,426","786,857"
4,日本,花之武者,2018/10/12,天馬行空數位有限公司,"SHOCHIKU CO., LTD.",8,816,"160,575","1,413","278,209"
5,法國,漢娜的失序人生,2018/10/12,鏡象電影製作有限公司,TF1 DROITS AUDIOVISUELS,7,709,"145,855","1,091","224,475"
6,日本,KSEVENSTORIESEPISODE4「LOSTSMALLWORLD～牢籠的彼端～」,2018/10/12,曼迪傳播有限公司,"KING RECORD CO., LTD.",7,431,"99,608","1,205","281,856"
7,伊朗,豬,2018/10/12,聯影企業股份有限公司,(法國)FILMS BOUTIQUE SAS,5,122,"24,690",230,"46,683"
8,美國,我送阿姆斯壯上月球,2018/10/12,車庫娛樂股份有限公司,(荷蘭)ABBOLITA FILMS BV,1,48,"10,375",93,"20,185"
9,義大利,大師之眼—從安東尼奧尼到伍迪艾倫,2018/10/12,佳映娛樂國際股份有限公司,ADRIANA CHIESA ENTERPRISES S.R.L.,2,47,"8,820",90,"17,570"
10,美國,滴答屋,2018/10/10,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,85,"30,287","6,970,021","96,549","22,222,464"
11,美國,一個巨星的誕生,2018/10/09,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,98,"195,459","45,856,818","345,436","81,090,458"
12,香港,無雙,2018/10/05,台北双喜電影發行股份有限公司,(香港)博納影視娛樂有限公司##(香港)英皇影業有限公司##(大陸)上海博納文化傳媒有限公司##(大陸)上海阿里巴巴影業有限公司##(大陸)華夏電影發行有限責任公司##(大陸)博納影業集團股份有限公司##(大陸)双喜電影發行(北京)有限公司,82,"43,210","9,905,644","164,824","37,596,102"
13,日本,在咖啡冷掉之前,2018/10/05,英屬維京群島商高捷全球開發有限公司 台灣分公司,"TOKYO BROADCASTING SYSTEM TELEVISION, INC.",52,"8,949","2,078,677","45,619","10,521,144"
14,日本,電影版吹響吧！上低音號~莉茲與青鳥~,2018/10/05,車庫娛樂股份有限公司,(美國)PONYCANYON USA INC.,10,"1,688","418,413","9,746","2,414,465"
15,南韓,鬼神拍檔,2018/10/05,車庫娛樂股份有限公司,CJ E&M CORPORATION,32,925,"206,205","10,216","2,296,260"
