序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,本周票數變動,銷售金額,累計銷售票數,累計銷售金額
64,美國,被遺忘的幸福,2018/11/30,采昌國際多媒體股份有限公司,(匈牙利)FREEWAY ENTERTAINMENT KFT.,1,40,0.00%,"6,400","5,009","1,097,821"
65,美國,無敵破壞王2：網路大暴走,2018/11/29,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",7,308,-83.59%,"69,117","594,991","138,107,603"
66,美國,壞事大飯店,2018/11/23,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,1,42,-53.33%,"5,880","5,055","1,033,112"
67,中華民國,比悲傷更悲傷的故事,2018/11/18,好好看文創有限公司,滿滿額娛樂股份有限公司##好好看文創有限公司##百聿數碼創意股份有限公司##神州音樂有限公司##崴森管理顧問股份有限公司##(大陸)上海唯喜影業有限公司##(香港)福斯傳媒有限公司,8,385,-67.57%,"90,245","1,038,398","239,577,835"
68,中華民國,有五個姊姊的我就註定要單身了啊！,2018/11/16,華聯國際影音股份有限公司,(大陸)珠海漢都影視投資有限公司##(大陸)北京嘉映文化傳媒有限公司##(大陸)北京萌樣影視製作有限公司##(大陸)喀什嘉映文化傳媒有限公司##(中華民國)群星瑞智國際娛樂股份有限公司##(中華民國)華聯國際影音股份有限公司##(中華民國)中國信託創業投資股份有限公司##(香港)安樂影片有限公司##(新加坡)MM2 ENTERTAINMENT PTE LTD,1,170,-20.56%,"9,350","20,294","4,348,588"
69,美國,怪獸與葛林戴華德的罪行,2018/11/15,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,14,"2,390",-30.04%,"189,060","1,056,363","254,530,587"
70,美國,大君主行動,2018/11/09,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,3,260,-62.15%,"15,320","161,733","37,208,046"
71,美國,鬼靈精,2018/11/09,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,5,206,-81.37%,"15,300","76,047","16,744,398"
72,美國,蜘蛛網中的女孩,2018/11/09,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,1,63,0.00%,"5,590","57,805","12,364,142"
73,中華民國,誰先愛上他的,2018/11/02,親愛的工作室有限公司,海納百川娛樂有限公司##原點概念有限公司##親愛的工作室有限公司,9,"1,454",-20.89%,"124,900","291,162","66,260,225"
74,美國,波希米亞狂想曲,2018/11/02,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,6,389,-49.02%,"58,170","147,699","34,699,341"
75,南韓,親密陌生人,2018/11/02,采昌國際多媒體股份有限公司,(匈牙利)FREEWAY ENTERTAINMENT KFT.,2,389,-21.89%,"24,140","10,473","2,186,196"
76,印度,我的嗝嗝老師,2018/11/02,捷傑有限公司,YASH RAJ FILMS,2,222,-34.12%,"17,540","17,761","3,720,118"
77,美國,嚇地獄,2018/11/02,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CBS FILMS INC.,1,163,0.00%,"8,965","13,963","3,064,368"
78,美國,潛艦獵殺令,2018/10/26,英屬維京群島商高捷全球開發有限公司 台灣分公司,NU IMAGE INCORPORATED,4,"1,452",-28.26%,"83,490","329,158","75,156,458"
79,俄羅斯,夏,2018/10/26,鏡象電影製作有限公司,(法國)CHARADES,1,94,32.39%,"24,155","1,570","349,213"
80,南韓,屍落之城,2018/10/26,車庫娛樂股份有限公司,CONTENTS PANDA,1,22,-76.09%,"2,200","55,323","12,146,404"
81,美國,億萬男孩俱樂部,2018/10/19,香港商甲上娛樂有限公司台灣分公司,"BB CLUB,LLC",4,449,205.44%,"27,620","26,181","6,058,508"
82,美國,月光光新慌慌,2018/10/19,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,2,305,0.00%,"16,030","115,066","26,168,423"
83,英國,深夜小狗神祕習題(英國國家劇院現場),2018/10/19,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,1,21,0.00%,"14,920","1,510","1,041,640"
84,英國,劊子手(英國國家劇院現場),2018/10/19,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,2,16,0.00%,"10,840",769,"507,920"
85,英國,朱門巧婦(英國國家劇院現場),2018/10/19,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,1,10,0.00%,"5,840",570,"365,520"
86,美國,一個巨星的誕生,2018/10/09,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,2,245,-61.96%,"12,835","697,896","162,623,708"
87,日本,在咖啡冷掉之前,2018/10/05,英屬維京群島商高捷全球開發有限公司 台灣分公司,"TOKYO BROADCASTING SYSTEM TELEVISION, INC.",1,71,77.50%,"6,480","55,243","12,307,711"
88,美國,猛毒,2018/10/03,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,3,480,-48.00%,"27,105","1,201,134","278,812,173"
89,南韓,與神同行：最終審判,2018/08/08,采昌國際多媒體股份有限公司,(匈牙利)FREEWAY ENTERTAINMENT KFT.,12,"1,917",-45.01%,"168,615","2,014,227","480,089,603"
90,南韓,REAL,2017/08/04,車庫娛樂股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT.,1,31,0.00%,"6,820","23,531","5,199,078"
91,法國,鋼琴教師,2016/12/16,東昊影業有限公司,MK2 SOCIÉTÉ PAR ACTIONS SIMPLIFIÉE,1,8,0.00%,"1,210","2,103","438,790"
