序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,票數變動率,銷售金額,累計銷售票數,累計銷售金額
70,日本,蠟筆小新電影 新婚旅行風暴-奪回廣志大作戰,2019/08/09,木棉花國際股份有限公司,ADK EMOTIOS INC.,1,4,-90.70%,980,"43,173","9,962,290"
71,美國,靈異乍現,2019/08/07,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,4,352,-33.83%,"31,880","20,501","4,444,821"
72,美國,在黑暗中說的鬼故事,2019/08/07,香港商甲上娛樂有限公司台灣分公司,"eONE FEATURES, LLC",4,168,0.00%,"22,950","228,356","52,573,629"
73,西班牙,痛苦與榮耀,2019/08/02,傳影互動股份有限公司,BATRAX ENTERTAINMENT B.V.,3,234,0.00%,"29,120","13,230","2,820,922"
74,日本,電影哆啦A夢：大雄的月球探測記,2019/07/26,車庫娛樂股份有限公司,"TOHO CO., LTD.",4,428,-45.55%,"28,920","97,628","21,752,086"
75,美國,從前，有個好萊塢,2019/07/24,台北双喜電影發行股份有限公司,"Bona Film Investment Company (Pacific RIM, USA)",3,476,-34.97%,"58,710","156,645","37,415,025"
76,美國,電流大戰,2019/07/19,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Lantern Entertainment LLC,7,944,-32.86%,"77,325","100,410","22,676,205"
77,中華民國,灼人秘密,2019/07/19,岸上影像有限公司,"岸上影像有限公司,禾豐九路娛樂有限公司,爵士電影製作公司 JAZZY PICTURES (M) SDN. BHD.",3,221,-9.80%,"13,035","31,971","7,346,364"
78,美國,獅子王,2019/07/17,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,92,-66.55%,"8,350","1,309,487","314,146,542"
79,日本,王者天下,2019/07/11,傳影互動股份有限公司,Columbia Pictures Industries Inc,1,47,-63.28%,"3,940","22,472","5,120,007"
80,日本,名偵探柯南：紺青之拳,2019/07/10,向洋影業有限公司,株式会社トムス・エンタテインメント,9,"1,403",-39.05%,"113,395","471,644","109,601,774"
81,義大利,米開朗基羅：無盡之詩,2019/07/05,海鵬影業有限公司,TRUE COLOURS glorious S.r.l.,1,31,0.00%,"10,850","7,057","1,466,876"
82,南韓,江邊旅館,2019/07/05,可樂藝術文創股份有限公司,"FINECUT CO., LTD.",1,26,0.00%,"5,950",127,"29,565"
83,香港,掃毒2 天地對決,2019/07/05,華映娛樂股份有限公司,寰宇娛樂有限公司##廣東昇格傳媒股份有限公司##銀都機構有限公司##映藝娛樂有限公司##太陽娛樂文化有限公司##北京合瑞影業文化有限公司,1,52,-73.06%,"4,200","181,034","40,770,948"
84,日本,阿嬤，不要忘記我,2019/07/03,水元素文化傳媒有限公司,Broadmedia Studios Corporation,1,19,-58.70%,"2,660","3,413","687,007"
85,美國,蜘蛛人：離家日,2019/07/02,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,11,"3,110",-26.49%,"260,725","1,593,330","379,559,099"
86,美國,玩具總動員 4,2019/06/20,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",6,"1,480",391.69%,"91,310","1,340,936","312,226,255"
87,南韓,極惡對決,2019/06/20,威視股份有限公司,K-MOVIE ENTERTAINMENT,1,18,-70.00%,"2,520","126,661","28,454,846"
88,日本,劇場版 歌之☆王子殿下♪真愛KINGDOM,2019/06/14,曼迪傳播有限公司,KING RECORD COMPANY LIMITED,2,212,0.00%,"47,880","9,299","2,393,486"
89,丹麥,懸案密碼-第64號,2019/06/14,峻龍國際有限公司,"MultiVisionnaire , Inc",1,205,-54.14%,"11,275","21,378","4,564,878"
90,美國,火箭人,2019/06/14,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,1,39,-78.80%,"3,580","34,546","7,789,444"
91,美國,阿拉丁,2019/05/22,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",9,"1,541",-53.78%,"111,870","1,249,048","290,321,074"
92,美國,復仇者聯盟:終局之戰,2019/04/24,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,147,-10.91%,"12,400","3,492,245","910,450,769"
93,加拿大,哈柏太空之旅 3D,2019/02/04,國際電影事業有限公司,IMAX Corporation,1,5,66.67%,750,547,"78,180"
94,加拿大,深海獵奇 3D,2019/02/03,國際電影事業有限公司,IMAX Corporation,1,1,100.00%,150,603,"80,874"
95,中華民國,THUNDERBOLT FANTASY  生死一劍,2017/12/11,天馬行空數位有限公司,(中華民國)霹靂國際多媒體股份有限公司##(日本)株式會社NITROPLUS(株式会社ニトロプラス)##(日本)株式會社GOOD SMILE COMPANY(株式会社グッドスマイルカンパニー),3,125,0.00%,"31,695","23,062","5,615,768"
96,美國,教父II,1974/01/01,捷傑有限公司,United International Pictures,2,121,-84.53%,"33,077","3,185","856,304"
97,美國,教父I,1972/01/01,捷傑有限公司,United International Pictures,2,136,-82.85%,"36,628","4,361","1,151,142"
