序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,美國,METALLICA & SAN FRANCISCO SYMPHONY: S&M2,2019/10/14,威秀影城股份有限公司,Trafalgar Releasing Limited,6,267,0.00%,"104,980",267,"104,980"
2,美國,弒婚遊戲,2019/10/09,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",78,"35,016",-44.18%,"7,986,181","97,742","22,393,290"
3,美國,藍波:最後一滴血,2019/10/09,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",83,"34,824",-52.13%,"7,856,318","107,578","24,279,847"
4,美國,屍樂園：髒比雙拼,2019/10/09,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,68,"16,267",-59.31%,"3,721,865","56,241","12,929,099"
5,日本,海獸之子,2019/10/09,香港商甲上娛樂有限公司台灣分公司,株式會社 Beyond C.,36,"9,091",-59.07%,"2,126,135","31,300","7,349,047"
6,南韓,電影版 壞傢伙們,2019/10/09,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",39,"8,365",-53.72%,"1,890,368","26,438","6,038,719"
7,日本,在時間停止的世界相遇,2019/10/09,采昌國際多媒體股份有限公司,ColorBird Inc.,24,933,-66.00%,"204,174","3,677","816,637"
8,阿根廷,計高一籌,2019/10/09,海鵬影業有限公司,Latido Consorcio De Exportacion Del Cine Espanol SL,11,997,-40.34%,"202,380","2,668","545,165"
9,義大利,克林姆與席勒：靈慾之間,2019/10/09,車庫娛樂股份有限公司,NEXO DIGITAL S.R.L.,5,125,-47.03%,"26,220",361,"78,125"
10,奧地利,闇戀,2019/10/09,暗光鳥有限公司,MPI MEDIA GROUP,4,19,-63.46%,"4,055",71,"14,470"
11,南韓,表妹好辣,2019/10/09,英屬維京群島商映畫聯合有限公司台灣分公司,STUDIO BONANZA INC.,2,7,-63.16%,"1,405",26,"5,510"
12,中華民國,江湖無難事,2019/10/09,鹿路電影有限公司,上海愛美影視文化傳媒有限公司##滿滿額娛樂股份有限公司##華映娛樂股份有限公司##內容物數位電影製作有限公司##高雄人##鹿路電影有限公司##發條映画有限公司##百聿數碼創意股份有限公司,87,"11,394",-52.80%,"2,549,213","36,288","8,058,618"
13,美國,壞壞萌雪怪,2019/10/04,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,84,"9,952",-76.52%,"2,265,296","71,642","16,258,099"
14,澳洲,108悍將,2019/10/04,台北双喜電影發行股份有限公司,Media Film International,47,"1,921",-80.51%,"436,177","22,598","5,200,335"
15,日本,小小戀歌,2019/10/04,光年映畫有限公司,"TOEI COMPANY,LTD.",10,251,-78.34%,"55,420","2,603","586,483"
16,日本,武士搬家好吃驚,2019/10/04,捷傑有限公司,"Shochiku Co., Ltd.",8,214,-75.57%,"44,410","2,068","449,133"
17,南韓,老千：獨眼傑克,2019/10/04,車庫娛樂股份有限公司,"LOTTE CULTUREWORKS CO., LTD.",11,95,-91.08%,"21,675","2,876","652,839"
18,俄羅斯,酸世代,2019/10/04,佳映娛樂國際股份有限公司,wide,2,22,-74.12%,"4,450",144,"26,550"
19,德國,鋼鐵蒼穹,2019/10/04,暗光鳥有限公司,FREEWAY ENTERTAINMENT KFT,3,8,-89.61%,"1,800",184,"40,304"
20,日本,受難,2019/10/04,英屬維京群島商映畫聯合有限公司台灣分公司,"KING RECORD CO., LTD.",1,1,-92.86%,150,26,"5,805"
21,美國,小丑,2019/10/03,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,101,"229,484",-58.33%,"54,420,846","1,165,277","279,742,523"
22,日本,骷髏城七人,2019/09/28,威秀影城股份有限公司,Village INC.,1,9,-68.97%,"6,400",166,"114,800"
23,泰國,只有我能喜歡妳,2019/09/27,威視股份有限公司,M PICTURES COMPANY LIMITED,46,"3,407",-68.27%,"785,067","14,451","3,331,820"
24,日本,青春豬頭少年不會夢到懷夢美少女,2019/09/27,木棉花國際股份有限公司,Aniplex Inc.,15,"2,126",-72.59%,"529,347","35,117","8,765,886"
25,美國,笑笑羊大電影：外星人來了,2019/09/27,采昌國際多媒體股份有限公司,STUDIOCANAL,7,619,-3.28%,"131,940","7,896","1,835,349"
26,英國,無間行動,2019/09/27,星泰國際娛樂股份有限公司,Batrax Entertainment,26,556,-80.06%,"123,015","33,021","7,558,002"
27,日本,信用詐欺師JP,2019/09/27,傳影互動股份有限公司,PONY CANYON INC,11,524,-77.37%,"119,770","14,965","3,445,752"
28,美國,囧媽的極地任務,2019/09/27,車庫娛樂股份有限公司,METRO-GOLDWYN-MAYER STUDIOS INC.,4,327,-66.46%,"73,105","9,835","2,195,476"
29,美國,瞞天機密,2019/09/27,采昌國際多媒體股份有限公司,FILM & TV HOUSE LIMITED,6,205,-82.25%,"54,000","16,946","3,898,356"
30,美國,校外打怪教學,2019/09/27,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,PROTAGONIST PICTURES LIMITED,9,143,-90.21%,"32,500","20,119","4,488,900"
31,義大利,莫內：睡蓮的水光魔法,2019/09/27,車庫娛樂股份有限公司,NEXO DIGITAL S.R.L.,1,54,-44.33%,"11,820",442,"93,350"
32,南韓,變身,2019/09/27,車庫娛樂股份有限公司,CONTENTS PANDA,3,33,-90.98%,"7,840","8,591","1,948,356"
33,英國,地下狂熱趴,2019/09/27,聯影企業股份有限公司,WILD BUNCH,1,32,-82.89%,"7,128",965,"216,192"
34,英國,雪地之光,2019/09/27,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,TASKOVSKI FILMS,1,21,-83.20%,"5,120","1,918","416,147"
35,日本,劇場版 假面騎士：永遠的平成世代,2019/09/27,華藝娛樂股份有限公司,Animation International Limited,1,10,-94.19%,"2,290","2,397","576,509"
36,中華民國,返校,2019/09/20,影一製作所股份有限公司,影一製作所股份有限公司##遊戲橘子數位科技股份有限公司##英屬維京群島商敦宜股份有限公司台灣分公司##樂到家國際娛樂股份有限公司##一條龍虎豹國際娛樂有限公司##財團法人臺中市影視發展基金會##高雄市電影館##美商華納兄弟（遠東）股份有限公司台灣分公司,100,"43,844",-69.99%,"10,216,551","1,081,051","252,851,718"
37,美國,星際救援,2019/09/20,台北双喜電影發行股份有限公司,BONA FILM INVESTMENT COMPANY,27,"1,005",-78.68%,"235,510","140,338","33,548,683"
38,美國,唐頓莊園,2019/09/20,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,3,412,-53.86%,"89,595","10,317","2,417,873"
39,中華民國,我親愛的父親,2019/09/20,車庫娛樂股份有限公司,財團法人天主教失智老人社會福利基金會,2,71,-79.06%,"15,280","1,265","275,159"
40,中華民國,與失智共舞,2019/09/20,車庫娛樂股份有限公司,財團法人天主教失智老人社會福利基金會,1,54,-85.60%,"11,520",997,"214,695"
41,日本,我變笨了，請多多指教。,2019/09/20,車庫娛樂股份有限公司,PONY CANYON INC.,1,0,-100.00%,0,"2,226","476,622"
42,日本,天氣之子,2019/09/12,車庫娛樂股份有限公司,"TOHO CO., LTD.",80,"15,578",-70.22%,"3,859,318","672,730","161,790,340"
43,美國,我家有個開心農場,2019/09/12,佳映娛樂國際股份有限公司,"Bos Entertainment Inc. dba The Exchange as sales agent for Farm Lore Films,LLC",5,273,40.00%,"59,010","7,600","1,647,583"
44,香港,花椒之味,2019/09/12,華映娛樂股份有限公司,寰亞電影製作有限公司##北京拉近影業有限公司##大地時代文化傳播(北京)有限公司##英皇影業有限公司##高寶集團影視有限公司##高益創新投資公共有限公司##寰亞電影發行（北京）有限公司##中影寰亞音像製品有限公司##悅視（北京）文化傳媒有限公司##大地時代文化傳播（天津）有限公司##上海懿合文化傳媒股份有限公司##金門製作有限公司,1,18,-91.13%,"4,240","25,757","5,743,825"
45,美國,舞孃騙很大,2019/09/12,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX Productions, LLC",2,20,-89.74%,"4,135","29,939","6,851,569"
46,美國,好小男孩,2019/09/12,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,4,-92.98%,900,"34,705","8,131,770"
47,日本,我的女友是魔法師,2019/09/12,原創娛樂股份有限公司,株式会社メディアフューチャー(Media Future Co., Ltd.),1,3,-83.33%,510,880,"185,903"
48,日本,薔薇與武士,2019/09/11,威秀影城股份有限公司,Village INC.,3,171,2750.00%,"122,880",407,"285,240"
49,日本,阿修羅城之瞳,2019/09/11,威秀影城股份有限公司,Village INC.,4,156,113.70%,"109,960",383,"266,200"
50,日本,蠻幽鬼,2019/09/11,威秀影城股份有限公司,Village INC.,1,6,-62.50%,"4,000",118,"76,160"
51,日本,大叔之愛電影版,2019/09/06,采昌國際多媒體股份有限公司,TV Asahi Corporation,2,21,-80.56%,"4,070","28,752","6,748,977"
52,美國,牠 第二章,2019/09/05,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,17,265,-87.42%,"66,128","475,045","116,212,841"
53,中華民國,未來無恙,2019/08/30,牽猴子整合行銷股份有限公司,大照國際影像有限公司Conjunction Films,3,508,393.20%,"115,320","5,568","1,207,158"
54,香港,使徒行者2 諜影行動,2019/08/30,華映娛樂股份有限公司,"影聚天際影視傳媒（天津）有限公司##北京嘉映文化傳媒有限公司##喀什嘉映文化傳媒有限公司	##北京國影縱橫電影發行有限公司	##新疆烈火文化傳媒有限公司	##優酷電影有限公司	##華夏電影發行有限責任公司	##阿里巴巴影業(北京)有限公司	##天津貓眼微影文化傳媒有限公司	##耳東文化(北京)有限公司	##大名娛樂有限公司	##電視廣播有限公司	##天下一電影製作有限公司	##北京嘉映春天影業有限公司	##邵氏兄弟國際影業有限公司	##墨客行影業（北京）有限公司##天馬電影出品(香港)有限公司",3,360,17900.00%,"29,430","22,490","4,912,942"
55,南韓,極限逃生,2019/08/30,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",1,6,-92.00%,"1,390","140,457","31,868,118"
56,中華民國,第九分局,2019/08/29,華文創股份有限公司,華文創股份有限公司##全能製作股份有限公司##樂到家國際娛樂股份有限公司##滿滿額娛樂股份有限公司,9,208,-70.62%,"44,725","247,428","56,652,782"
57,日本,殺手寓言,2019/08/23,采昌國際多媒體股份有限公司,NIPPON TELEVISION NETWORK COPORATION,2,116,45.00%,"18,000","8,458","1,912,920"
58,美國,深夜加油站遇見抓狂衰事,2019/08/23,本萃電影有限公司,"Film Mode Entertainment, LLC",2,112,-30.86%,"16,520","2,022","446,539"
59,中華民國,下半場,2019/08/23,下半場電影股份有限公司,下半場電影股份有限公司##華研國際音樂(股)公司##國賓影城(股)公司##高雄市電影館##美商華納兄弟(遠東)股份有限公司##逆光電影(股)公司##有享娛樂(股)公司##福斯傳媒有限公司##華策影業(天津)有限公司,3,64,-45.76%,"13,710","99,469","22,654,911"
60,美國,全面攻佔3: 天使救援,2019/08/21,海樂影業股份有限公司,"NU IMAGE,INC.",9,307,-77.38%,"81,666","626,160","146,555,942"
61,日本,航海王：奪寶爭霸戰,2019/08/21,台北双喜電影發行股份有限公司,TOEI Animation Enterprises Limited,2,12,-89.09%,"2,870","224,077","54,056,953"
62,日本,普羅米亞,2019/08/16,中影股份有限公司,東寶株式會社,11,"2,640",-42.48%,"638,864","59,821","14,925,052"
63,美國,仙戒奇緣,2019/08/16,新竹市政府文化局,Gold Valley Films Inc.,22,"1,045",-73.00%,"232,211","4,965","1,135,840"
64,中華民國,緝魔,2019/08/16,華映娛樂股份有限公司,傳遞娛樂傳媒有限公司##華映娛樂股份有限公司,5,511,-4.31%,"38,815","50,641","11,294,649"
65,美國,炫目之光,2019/08/16,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,3,293,-10.67%,"18,860","6,173","1,297,424"
66,俄羅斯,絕世名伶,2019/08/09,天馬行空數位有限公司,(德國)KINOSTAR FILMVERLEIH GMBH,1,42,-8.70%,"6,420","5,611","1,140,751"
67,日本,乘浪之約,2019/08/09,台北双喜電影發行股份有限公司,Fuji Creative Coporation,1,40,0.00%,"6,400","12,962","3,029,547"
68,南韓,怎麼就，結婚了,2019/08/09,可樂藝術文創股份有限公司,M-Line Distribution,1,36,-50.00%,"5,400","1,141","251,176"
69,法國,懸案判決,2019/08/09,亮點國際影業有限公司,CHARADES,1,18,-60.87%,"2,700","4,561","936,163"
