序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,英國,天鵝湖,2020/03/07,威秀影城股份有限公司,More2Screen Limited,3,33,725.00%,"23,040",37,"25,760"
2,南韓,大畫特務,2020/03/06,香港商甲上娛樂有限公司台灣分公司,"LOTTE CULTUREWORKS CO., LTD.",90,"19,585",-12.12%,"4,494,008","41,872","9,612,421"
3,南韓,明明會說話,2020/03/06,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,LittleBig Pictures,77,"7,705",-22.66%,"1,703,767","17,667","3,911,967"
4,美國,戰慄糖果屋,2020/03/06,車庫娛樂股份有限公司,METRO-GOLDWYN-MAYER STUDIOS INC.,43,"2,961",-32.70%,"682,962","7,361","1,707,342"
5,美國,艾瑪﹒,2020/03/06,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,18,"1,856",12.21%,"438,772","3,510","829,790"
6,法國,導演先生的完美假期,2020/03/06,繁盛映畫有限公司,Wild Bunch,11,"1,198",36.45%,"255,906","2,076","441,447"
7,英國,親愛的莎瑪,2020/03/06,海鵬影業有限公司,Autlook Filmsales GmbH,11,882,33.43%,"187,281","1,656","349,877"
8,北馬其頓,大地蜜語,2020/03/06,車庫娛樂股份有限公司,DECKERT DISTRIBUTION GMBH,9,594,39.76%,"124,054","1,019","213,251"
9,日本,罪樂園,2020/03/06,海樂影業股份有限公司,KADOKAWA CORPORATION,20,396,-23.40%,"80,860",913,"192,791"
10,日本,失戀殺人：三角禁戀,2020/03/06,英屬維京群島商映畫聯合有限公司台灣分公司,"KING RECORD CO., LTD.",5,40,-23.08%,"8,330",92,"19,598"
11,中華民國,女鬼橋,2020/02/27,星泰國際娛樂股份有限公司,樂到家國際娛樂股份有限公司##天馬傳播事業有限公司##得藝文創國際股份有限公司##大慕影藝國際事業股份有限公司##氧氣電影有限公司##華映娛樂股份有限公司##海樂影業股份有限公司,86,"44,820",-42.42%,"10,297,620","222,472","51,362,564"
