序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
1,美國,巨齒鯊,2018/08/10,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,91,"270,637","63,319,705","476,394","111,578,539"
2,日本,蠟筆小新電影功夫小子之拉麵大亂鬥！,2018/08/10,木棉花國際股份有限公司,ASATSU-DK INC.,18,"10,149","2,302,479","19,546","4,433,950"
3,日本,娼年,2018/08/10,車庫娛樂股份有限公司,COLORBIRD INC.,9,"1,967","423,430","3,452","744,557"
4,美國,永遠愛妳，惠妮！,2018/08/10,威視股份有限公司,(英國)ALTITUDE FILM SALES LIMITED,13,912,"202,278","1,683","376,708"
5,瑞士,我的冠軍男友,2018/08/10,東昊影業有限公司,(法國)FILMS BOUTIQUE SAS,4,564,"122,415","1,030","223,740"
6,日本,K SEVEN STORIES EPISODE 2「SIDE：BLUE～猶如天狼～」,2018/08/10,曼迪傳播有限公司,"KING RECORD CO., LTD.",6,400,"93,105",915,"215,014"
7,瑞典,柏格曼：大師狂想,2018/08/10,佳映娛樂國際股份有限公司,(德國)THE MATCH FACTORY GMBH,6,350,"73,345",576,"122,561"
8,日本,夏日大作戰,2018/08/10,傳影互動股份有限公司,STUDIO CHIZU LLP,3,299,"67,935",600,"131,975"
9,中國大陸,記憶大師,2018/08/10,向洋影業有限公司,萬達影視傳媒有限公司##上海瀚納影視文化傳媒有限公司##霍爾果斯春天融和傳媒有限公司##深圳善為影業股份有限公司##樂視影業(北京)有限公司##天津貓眼影業有限公司,3,267,"59,155",406,"91,655"
10,日本,跳躍吧！時空少女,2018/08/10,傳影互動股份有限公司,STUDIO CHIZU LLP,3,251,"55,170",495,"109,155"
11,中國大陸,三生三世十里桃花,2018/08/10,富康興業有限公司,阿里巴巴影業(北京)有限公司##上海儒意影視製作有限公司##北京光線影業有限公司##萬達影視傳媒有限公司##霍爾果斯悅凱影視傳媒有限公司##上海潤金文化傳播有限公司##華夏電影發行有限責任公司##珠江影業傳媒股份有限公司##上海翎刻閃耀影視製作有限公司##上海淘票票影視文化有限公司##霍爾果斯青春光線影業有限公司##霍爾果斯吉翔影坊影視傳媒有限公司##非洋娛樂傳媒(北京)有限公司,3,177,"39,995",507,"114,470"
12,日本,怪物的孩子,2018/08/10,傳影,NIPPON TELEVISION-STUDIO CHIZU LLP,3,78,"16,360",172,"36,030"
13,日本,RE：BORN重生之鬼,2018/08/10,暗光鳥有限公司,NIKKATSU CORPORATION,3,49,"11,680",126,"28,460"
14,加拿大,驚神時光屋,2018/08/10,暗光鳥有限公司,RAVEN BANNER ENTERTAINMENT INC.,3,20,"4,815",44,"10,250"
15,南韓,與神同行：最終審判,2018/08/08,采昌國際多媒體股份有限公司,(匈牙利)FREEWAY ENTERTAINMENT KFT.,83,"639,689","152,929,383","1,487,600","355,612,485"
16,美國,摯友維尼,2018/08/03,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",72,"17,549","4,099,166","89,329","20,717,361"
17,日本,道別的早晨就用約定之花點綴吧,2018/08/03,向洋影業有限公司,Hakuhodo DY music ＆ pictures Inc.,9,"3,535","855,597","11,947","2,921,032"
18,美國,怒火邊界2：毒刑者,2018/08/03,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,(英國)LIONS GATE INTERNATIONAL(UK) LIMITED,30,"2,341","518,964","23,299","5,135,321"
19,荷蘭,真假維梅爾,2018/08/03,海鵬影業有限公司,(盧森堡)PAUL THILTGES DISTRIBUTIONS SA,8,708,"145,580","3,869","799,010"
20,南韓,鬼戲語,2018/08/03,車庫娛樂股份有限公司,M-LINE DISTRIBUTION,10,651,"132,480","8,300","1,751,885"
21,日本,家族真命苦2,2018/08/03,車庫娛樂股份有限公司,"SHOCHIKU CO., LTD.",2,41,"8,300",673,"140,035"
