序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,印度,萬萬沒想到,2019/11/15,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STAR INDIA PRIVATE LIMITED, Through its division, FOX STAR STUDIOS",51,"19,116",30.94%,"4,336,066","33,715","7,673,860"
2,美國,神機有毛病,2019/11/15,采昌國際多媒體股份有限公司,FILM & TV HOUSE LIMITED,69,"16,306",10.09%,"3,757,007","31,363","7,296,780"
3,日本,為美好的世界獻上祝福！紅傳說,2019/11/15,向洋影業有限公司,株式会社KADOKAWA,13,"13,337",-8.31%,"3,346,366","27,883","7,016,432"
4,日本,HELLO WORLD,2019/11/15,車庫娛樂股份有限公司,"TOHO CO., LTD.",51,"11,516",-16.82%,"2,698,543","25,361","5,944,257"
5,香港,催眠 . 裁決,2019/11/15,香港商甲上娛樂有限公司台灣分公司,大河影業揚州有限公司##完美威秀娛樂（香港）有限公司##美亞電影製作有限公司##星門娛樂有限公司##耳東影業(北京)有限公司##北京太平盛世文化傳播股份有限公司##北京盛世影隆文化傳播有限公司##北京潤德澤鑫投資基金管理有限公司 ##中映華夏（北京）文化傳媒有限公司,48,"5,019",-14.37%,"1,141,774","10,880","2,505,974"
6,中華民國,大餓,2019/11/15,一晌電影有限公司,一晌電影有限公司,23,"2,955",-49.74%,"665,954","8,835","1,964,171"
7,美國,血腥萬聖節,2019/11/15,海樂影業股份有限公司,FILM BRIDGE INTERNATIONAL,36,"1,844",-24.15%,"403,138","4,275","940,392"
8,英國,抱歉我們錯過你了,2019/11/15,捷傑有限公司,WHY NOT PRODUCTIONS,10,"1,057",16.80%,"221,445","2,095","437,247"
9,西班牙,偵相,2019/11/15,本萃電影有限公司,ATRIUM PRODUCTIONS KFT,13,459,-33.09%,"101,348","1,145","258,179"
10,義大利,失竊神畫：卡拉瓦喬,2019/11/15,佳映娛樂國際股份有限公司,Rai Com S.p.A.,5,278,26.94%,"54,435",497,"98,345"
11,美國,活死人之眼,2019/11/15,暗光鳥有限公司,"BLUE FOX ENTERTAINMENT 2, LLC",4,100,-8.26%,"21,290",209,"44,775"
12,法國,我的情敵是冰箱,2019/11/15,原創娛樂股份有限公司,Le Pacte,4,85,6.25%,"19,595",165,"37,245"
13,中華民國,那個我最親愛的陌生人,2019/11/12,張作驥電影工作室有限公司,張作驥電影工作室有限公司,17,"2,143",-17.19%,"453,920","4,731","1,005,452"
14,美國,決戰中途島,2019/11/08,台北双喜電影發行股份有限公司,"BONA FILM INVESTMENT COMPANY (PACIFIC RIM, USA)",89,"73,336",-33.42%,"17,050,840","260,040","60,034,267"
15,美國,安眠醫生,2019/11/08,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,95,"24,004",-49.54%,"5,758,417","110,597","26,489,195"
16,中華民國,樂園,2019/11/08,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,滿滿額娛樂股份有限公司##新世紀南向開發有限公司##神州娛樂股份有限公司##鳳凰藝能股份有限公司,25,"2,167",-77.09%,"452,577","18,179","3,860,719"
17,美國,救火奶爸,2019/11/08,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,66,"1,980",-76.06%,"452,252","19,476","4,421,782"
