序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,越南,古曼童,2020/02/07,車庫娛樂股份有限公司,"SKYLINE MEDIA CO., LTD",34,"1,193",-11.83%,"273,115","39,133","9,051,627"
2,日本,電影版 輝夜姬想讓人告白～天才們的戀愛頭腦戰～,2020/02/07,車庫娛樂股份有限公司,"TOKYO BROADCASTING SYSTEM TELEVISION, INC.",10,191,9.14%,"46,340","5,256","1,269,300"
3,日本,蜜蜂與遠雷,2020/02/07,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"Toho Co., Ltd",23,166,-0.60%,"37,880","5,020","1,141,598"
4,美國,我的寶貝男孩,2020/02/07,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,10,28,27.27%,"6,075",937,"203,394"
5,英國,我們的相愛時光,2020/02/07,亮點國際影業有限公司,Protagonist Pictures Limited,7,14,-48.15%,"2,510","1,109","227,118"
6,美國,猛禽小隊: 小丑女大解放,2020/02/06,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,98,"9,471",-17.46%,"2,269,458","388,168","92,963,354"
7,新加坡,熱帶雨,2020/01/31,好威映象有限公司,Giraffe Pictures PTE Ltd.,6,62,5.08%,"13,500","5,490","1,261,913"
8,越南,鬼魅之家,2020/01/31,水元素文化傳媒有限公司,"SKYLINE MEDIA CO., LTD",5,50,6.38%,"10,970","4,220","969,563"
9,日本,只想受到你的歡迎,2020/01/31,天馬行空數位有限公司,Starry Cube Corporation,3,5,-16.67%,"1,250",633,"154,174"
10,日本,王牌辯士,2020/01/31,天馬行空數位有限公司,"TOEI COMPANY, LTD.",1,3,200.00%,630,"1,298","278,420"
11,美國,1917,2020/01/30,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,98,"4,395",-10.58%,"1,070,627","245,985","60,128,123"
12,南韓,紅鞋公主與七矮人,2020/01/30,可樂藝術文創股份有限公司,"FINECUT CO., LTD",40,288,-4.00%,"63,800","20,763","4,793,338"
13,美國,黑水風暴,2020/01/30,車庫娛樂股份有限公司,"STORYTELLER DISTRIBUTION CO., LLC",8,28,-9.68%,"5,885","11,216","2,589,616"
