排序,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,票數變動率,銷售金額,累計銷售票數,累計銷售金額
36,美國,嚇地獄,2018/11/02,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CBS FILMS INC.,3,60,-82.25%,"12,770","13,800","3,055,403"
37,南韓,親密陌生人,2018/11/02,采昌國際多媒體股份有限公司,(匈牙利)FREEWAY ENTERTAINMENT KFT.,4,44,-87.78%,"10,380","8,973","2,051,151"
38,日本,那些年，我們一起追的女孩(日),2018/11/02,天馬行空數位有限公司,"KINO FILMS CO., LTD.",4,33,-76.43%,"7,730","5,860","1,390,625"
39,印度,護墊俠,2018/11/02,車庫娛樂股份有限公司,SPE FILMS INDIA PVT. LTD.,1,7,-75.00%,"1,760","4,904","1,076,355"
40,日本,電影版怪物彈珠空之彼方,2018/11/02,車庫娛樂股份有限公司,(香港)MEDIALINK ENTERTAINMENT LIMITED,1,7,-92.39%,"1,560","8,094","1,910,893"
41,美國,夜驚,2018/11/02,牽猴子整合行銷股份有限公司,BATRAX ENTERTAINMENT B.V.,1,7,-70.83%,"1,330","5,231","1,197,642"
42,英國,馬修．伯恩版仙履奇緣,2018/10/27,威秀影城股份有限公司,MORE2SCREEN LIMITED,1,30,0.00%,"18,960",119,"77,920"
43,美國,潛艦獵殺令,2018/10/26,英屬維京群島商高捷全球開發有限公司 台灣分公司,NU IMAGE INCORPORATED,51,"12,474",-47.49%,"2,909,917","319,154","73,746,552"
44,中華民國,疾風魅影-黑貓中隊,2018/10/26,寬和影像事業有限公司,寬和影像事業有限公司,4,454,-59.82%,"89,070","15,640","3,389,048"
45,美國,登月先鋒,2018/10/26,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,3,72,-77.22%,"16,780","63,158","15,373,849"
46,南韓,屍落之城,2018/10/26,車庫娛樂股份有限公司,CONTENTS PANDA,5,39,-87.25%,"9,270","55,076","12,116,514"
47,中華民國,狂徒,2018/10/26,貴金影業傳媒股份有限公司,貴金影業傳媒股份有限公司##高雄市電影館##喜陽影片製作有限公司,1,24,-71.43%,"6,120","25,263","5,642,418"
