序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,票數變動率,銷售金額,累計銷售票數,累計銷售金額
64,香港,使徒行者2 諜影行動,2019/08/30,華映娛樂股份有限公司,"影聚天際影視傳媒（天津）有限公司##北京嘉映文化傳媒有限公司##喀什嘉映文化傳媒有限公司	##北京國影縱橫電影發行有限公司	##新疆烈火文化傳媒有限公司	##優酷電影有限公司	##華夏電影發行有限責任公司	##阿里巴巴影業(北京)有限公司	##天津貓眼微影文化傳媒有限公司	##耳東文化(北京)有限公司	##大名娛樂有限公司	##電視廣播有限公司	##天下一電影製作有限公司	##北京嘉映春天影業有限公司	##邵氏兄弟國際影業有限公司	##墨客行影業（北京）有限公司##天馬電影出品(香港)有限公司",1,74,-66.67%,"4,070","23,244","4,972,687"
65,中華民國,未來無恙,2019/08/30,牽猴子整合行銷股份有限公司,大照國際影像有限公司Conjunction Films,1,148,0.00%,"31,080","5,716","1,238,238"
66,美國,你願意嫁給我老公嗎？,2019/08/30,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Cornerstone Films LTD,2,229,41.36%,"18,465","7,963","1,671,428"
67,美國,雙面特務,2019/08/30,威視股份有限公司,FREEWAY ENTERTAINMENT KFT.,2,65,-61.99%,"5,390","11,837","2,626,618"
68,南韓,極限逃生,2019/08/30,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",6,749,1683.33%,"53,825","141,248","31,928,663"
69,日本,殺手寓言,2019/08/23,采昌國際多媒體股份有限公司,NIPPON TELEVISION NETWORK COPORATION,1,16,-56.76%,"2,240","8,616","1,935,820"
70,中華民國,下半場,2019/08/23,下半場電影股份有限公司,下半場電影股份有限公司##華研國際音樂(股)公司##國賓影城(股)公司##高雄市電影館##美商華納兄弟(遠東)股份有限公司##逆光電影(股)公司##有享娛樂(股)公司##福斯傳媒有限公司##華策影業(天津)有限公司,4,214,16.30%,"19,600","100,009","22,739,651"
71,美國,全面攻佔3: 天使救援,2019/08/21,海樂影業股份有限公司,"NU IMAGE,INC.",1,220,12.24%,"23,100","626,663","146,630,147"
72,美國,仙戒奇緣,2019/08/16,新竹市政府文化局,Gold Valley Films Inc.,5,122,-31.46%,"26,230","5,744","1,308,845"
73,美國,炫目之光,2019/08/16,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,2,97,34.72%,"15,090","6,516","1,331,629"
74,南韓,驅魔使者,2019/08/16,車庫娛樂股份有限公司,"LOTTE CULTUREWORKS CO., LTD.",6,405,-17.35%,"40,220","125,241","28,333,252"
75,日本,普羅米亞,2019/08/16,中影股份有限公司,東寶株式會社,5,625,-36.42%,"138,087","63,004","15,671,273"
76,美國,憤怒鳥玩電影2：冰的啦！,2019/08/14,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,2,391,0.00%,"20,285","87,930","19,574,236"
77,美國,朵拉與失落的黃金城,2019/08/09,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,5,644,3120.00%,"48,110","62,531","13,945,807"
78,日本,乘浪之約,2019/08/09,台北双喜電影發行股份有限公司,Fuji Creative Coporation,1,40,-58.33%,"5,760","13,206","3,066,207"
79,美國,在黑暗中說的鬼故事,2019/08/07,香港商甲上娛樂有限公司台灣分公司,"eONE FEATURES, LLC",1,71,-76.41%,"5,880","229,138","52,659,209"
80,西班牙,痛苦與榮耀,2019/08/02,傳影互動股份有限公司,BATRAX ENTERTAINMENT B.V.,3,209,-51.51%,"20,670","14,467","2,956,702"
81,美國,玩命關頭:特別行動,2019/07/31,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,9,"2,227",-27.95%,"180,590","1,901,350","454,100,649"
82,日本,電影哆啦A夢：大雄的月球探測記,2019/07/26,車庫娛樂股份有限公司,"TOHO CO., LTD.",1,28,-76.47%,"2,320","98,103","21,785,746"
83,美國,從前，有個好萊塢,2019/07/24,台北双喜電影發行股份有限公司,"Bona Film Investment Company (Pacific RIM, USA)",1,37,-70.16%,"5,550","157,136","37,481,075"
84,美國,獅子王,2019/07/17,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",8,"2,472",54.31%,"187,700","1,313,684","314,452,432"
85,美國,鱷魔,2019/07/12,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,1,49,-65.00%,"4,530","128,832","28,698,829"
86,日本,名偵探柯南：紺青之拳,2019/07/10,向洋影業有限公司,株式会社トムス・エンタテインメント,1,40,-71.01%,"3,240","472,474","109,673,104"
87,美國,蜘蛛人：離家日,2019/07/02,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,4,424,-41.03%,"27,620","1,596,244","379,796,159"
88,南韓,寄生上流,2019/06/28,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CJ ENM CO. LTD,9,"2,082",-29.57%,"174,085","624,836","145,961,718"
89,美國,玩具總動員 4,2019/06/20,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",5,"1,455",18.39%,"122,380","1,345,051","312,520,480"
90,美國,阿拉丁,2019/05/22,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",3,377,-20.96%,"21,600","1,250,621","290,419,644"
91,加拿大,哈柏太空之旅 3D,2019/02/04,國際電影事業有限公司,IMAX Corporation,1,0,-100.00%,0,551,"79,140"
92,加拿大,深海獵奇 3D,2019/02/03,國際電影事業有限公司,IMAX Corporation,1,1,100.00%,100,805,"101,094"
93,法國,野放動物,2018/12/14,海鵬影業有限公司,PYRAMIDE INTERNATIONAL,1,1,0.00%,100,"2,124","457,665"
94,羅馬尼亞,我為愛做過的傻事,2017/10/20,海鵬影業有限公司,(德國)BETA CINEMA GMBH,1,6,0.00%,970,"1,424","294,920"
95,美國,穆荷蘭大道,2017/09/29,東昊影業有限公司,(法國)STUDIOCANAL S.A.S,1,63,0.00%,"12,300","7,816","1,674,300"
