序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,芬蘭,鋼鐵蒼穹2：惡搞新世紀,2019/11/01,暗光鳥有限公司,FREEWAY ENTERTAINMENT KFT,4,41,-61.32%,"8,620",147,"31,331"
2,中華民國,傻傻愛你，傻傻愛我,2019/11/01,華映娛樂股份有限公司,華映娛樂股份有限公司##講故事有限公司##中環國際娛樂事業股份有限公司##星泰國際娛樂股份有限公司##樂到家國際娛樂股份有限公司##艾迪昇傳播事業有限公司##滿滿額娛樂股份有限公司##天際娛樂股份有限公司##劇龍製作有限公司,72,"15,135",-14.22%,"3,407,708","34,958","7,846,356"
3,美國,阿達一族,2019/11/01,高雄市電影館,Park Circus Limited,89,"32,044",-8.08%,"7,354,698","66,903","15,339,008"
4,德國,反間遊戲,2019/11/01,海鵬影業有限公司,Global Screen GmbH,16,"1,208",-36.05%,"258,186","3,097","682,204"
5,泰國,鬼玩伴,2019/11/01,海樂影業股份有限公司,"Hollywood (Thailand) Co.,Ltd.",34,"2,706",-41.54%,"597,793","7,335","1,629,521"
6,香港,犯罪現場,2019/11/01,英屬維京群島商高捷全球開發有限公司 台灣分公司,"天下一電影製作有限公司,寰亞電影製作有限公司,廣東世紀海岸影業有限公司,太陽娛樂文化有限公司,聯瑞（上海）影業有限公司,浙江橫店影業有限公司,大名娛樂有限公司,中影寰亞音像製品有限公司,北京聚融優合技術有限公司,廣東天影國際影業有限公司,廣東類行星文化科技有限公司,紅中影業有限公司,意馬國際控股有限公司,天津貓眼微影文化傳媒有限公司,上海淘票票影視文化有限公司",38,"2,491",-39.10%,"554,899","6,581","1,478,559"
7,日本,花鳥籠：網愛調教,2019/11/01,英屬維京群島商映畫聯合有限公司台灣分公司,"KING RECORD CO., LTD.",2,20,-16.67%,"4,220",44,"9,395"
8,日本,紫羅蘭永恆花園外傳–永遠與自動手記人偶–,2019/11/01,采昌國際多媒體股份有限公司,"ABC ANIMATION, INC.",12,"15,224",12.64%,"3,688,238","29,230","7,073,173"
9,美國,絕鯊47：猛鯊出籠,2019/11/01,車庫娛樂股份有限公司,GEM ENTERTAINMENT KFT.,50,"9,059",-40.81%,"1,999,023","24,363","5,369,701"
10,中華民國,陽光普照,2019/11/01,本地風光電影股份有限公司,本地風光電影股份有限公司##華文創股份有限公司##捌捌玖電影股份有限公司##鏡文學股份有限公司##聯聯看娛樂文化有限公司,44,"19,172",38.11%,"4,550,861","33,054","7,828,094"
11,日本,我的朋友霸王龍,2019/10/25,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"TOEI COMPANY, LTD.",15,288,-60.87%,"65,155","2,423","549,980"
12,墨西哥,阿嬤養的豬,2019/10/25,聯影企業股份有限公司,IMCINE-MEXICAN FILM INSTITUTE,2,59,-76.68%,"11,000",567,"109,240"
13,日本,失憶的總理大臣,2019/10/25,傳影互動股份有限公司,PONY CANYON INC,19,971,-69.46%,"211,980","7,051","1,570,187"
14,美國,金翅雀,2019/10/25,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,65,"1,637",-77.99%,"360,330","15,164","3,363,101"
15,中華民國,Thunderbolt Fantasy 西幽玹歌,2019/10/25,星泰國際娛樂股份有限公司,霹靂國際多媒體股份有限公司##株式會社 Nitroplus (株式会社ニトロプラス)##株式會社 GOOD SMILE COMPANY (株式会社グッドスマイルカンパニー),27,"3,265",-52.22%,"770,248","16,732","3,946,781"
16,中華民國,陪你很久很久,2019/10/25,威視股份有限公司,嘉揚電影有限公司##海寧鐵幕真文化傳媒有限公司##滿滿額娛樂股份有限公司##中環國際娛樂事業股份有限公司##貴金影業傳媒股份有限公司##思美傳媒股份有限公司##海寧夢生影視文化傳媒有限公司##北京喔沃娛樂文化傳媒有限公司##薩摩亞商羚邦亞洲有限公司台灣分公司Medialink (Asia) Limited Taiwan Branch,80,"8,191",-58.81%,"1,905,561","51,736","11,811,041"
17,法國,狙擊獵殺: 救援行動,2019/10/25,亮點國際影業有限公司,Playtime,14,303,-80.82%,"65,250","3,656","803,822"
18,以色列,為琴癡狂,2019/10/25,佳映娛樂國際股份有限公司,Film Republic Sales,4,134,-70.61%,"26,230",890,"175,238"
19,南韓,男人不敗,2019/10/25,車庫娛樂股份有限公司,SHOWBOX CORP.,2,37,-92.29%,"7,690",890,"189,700"
20,美國,昆汀超集8,2019/10/25,台北双喜電影發行股份有限公司,Media Film International,7,94,-76.26%,"20,240",822,"179,575"
21,日本,柴公園,2019/10/25,可樂藝術文創股份有限公司,Happinet Corporation,6,153,-66.74%,"33,700","1,244","269,583"
22,日本,伊索遊戲,2019/10/25,天馬行空數位有限公司,"ASMIK ACE, INC.",4,23,-93.45%,"4,970",951,"211,285"
23,美國,雙子殺手,2019/10/23,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,100,"76,832",-57.09%,"18,473,031","492,018","119,668,930"
24,日本,電影版 吹響吧！上低音號～誓言的終章～,2019/10/23,車庫娛樂股份有限公司,PONY CANYON INC.,11,432,-74.10%,"104,752","5,905","1,469,577"
25,日本,七個會議,2019/10/18,鴻聯國際開發股份有限公司,"Tokyo Broadcasting System Television, Inc.",6,87,-84.46%,"19,265","5,041","1,109,342"
26,法國,生命的美麗瞬間,2019/10/18,海鵬影業有限公司,Doc & Film International,1,6,-50.00%,"1,100",351,"72,230"
27,法國,今夜，我們無罪,2019/10/18,原創娛樂股份有限公司,WILD BUNCH,1,14,-65.85%,"2,725",594,"128,314"
28,中華民國,盲人律師,2019/10/18,春暉映像有限公司,牧風電影事業有限合夥,13,"1,918",-35.33%,"418,285","21,912","4,800,346"
29,美國,鬼船瑪麗號,2019/10/18,采昌國際多媒體股份有限公司,FILM & TV HOUSE LIMITED,2,15,-88.81%,"3,150","4,774","1,063,380"
30,南韓,加油吧 ! 李先生,2019/10/18,車庫娛樂股份有限公司,CONTENTS PANDA,3,32,-89.81%,"6,910","3,132","706,767"
31,中華民國,聖人大盜,2019/10/18,台北双喜電影發行股份有限公司,中環國際娛樂事業股份有限公司##聖人大盜電影有限合夥##影市堂股份有限公司,24,"1,941",-70.89%,"448,987","33,863","7,796,213"
32,英國,寂寞裁縫師,2019/10/18,天馬行空數位有限公司,TRIPLE WORD SCORE,1,8,-97.60%,"1,525","2,401","495,772"
33,日本,魔法少女伊莉雅 百變嘉年華,2019/10/17,提恩傳媒實業有限公司,KADOKAWA CORPORATION,7,44,-65.89%,"10,360","1,455","350,001"
34,日本,電影版 吹響吧！上低音號～想傳達的旋律～,2019/10/17,車庫娛樂股份有限公司,PONY CANYON INC.,1,3,-88.46%,575,"1,038","248,030"
35,日本,電影版 吹響吧！上低音號～歡迎加入北宇治高中管樂社～,2019/10/17,車庫娛樂股份有限公司,PONY CANYON INC.,1,2,-85.71%,440,969,"231,342"
36,美國,黑魔女2,2019/10/17,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",97,"45,173",-51.38%,"10,574,420","546,770","129,067,646"
37,美國,弒婚遊戲,2019/10/09,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",30,"1,105",-77.87%,"253,905","115,067","26,379,487"
38,中華民國,江湖無難事,2019/10/09,鹿路電影有限公司,上海愛美影視文化傳媒有限公司##滿滿額娛樂股份有限公司##華映娛樂股份有限公司##內容物數位電影製作有限公司##高雄人##鹿路電影有限公司##發條映画有限公司##百聿數碼創意股份有限公司,9,391,-55.97%,"85,980","40,624","9,028,728"
39,阿根廷,計高一籌,2019/10/09,海鵬影業有限公司,Latido Consorcio De Exportacion Del Cine Espanol SL,1,5,-76.19%,"1,060","3,034","621,130"
40,美國,藍波:最後一滴血,2019/10/09,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",23,546,-81.45%,"128,315","120,638","27,240,731"
41,日本,海獸之子,2019/10/09,香港商甲上娛樂有限公司台灣分公司,株式會社 Beyond C.,14,379,-74.08%,"89,868","36,662","8,624,771"
42,美國,屍樂園：髒比雙拼,2019/10/09,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,10,156,-85.98%,"36,255","61,367","14,118,097"
43,南韓,電影版 壞傢伙們,2019/10/09,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",3,12,-94.47%,"2,880","28,011","6,392,053"
44,日本,小小戀歌,2019/10/04,光年映畫有限公司,"TOEI COMPANY,LTD.",1,9,-57.14%,"2,085","2,693","606,238"
45,澳洲,108悍將,2019/10/04,台北双喜電影發行股份有限公司,Media Film International,2,22,-79.63%,"4,765","22,980","5,286,100"
46,美國,小丑,2019/10/03,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,98,"27,249",-55.11%,"6,519,719","1,358,474","325,518,149"
47,日本,骷髏城七人,2019/09/28,威秀影城股份有限公司,Village INC.,5,152,5.56%,"106,680",462,"322,360"
48,日本,劇場版 假面騎士：永遠的平成世代,2019/09/27,華藝娛樂股份有限公司,Animation International Limited,1,4,0.00%,970,"2,401","577,479"
49,美國,瞞天機密,2019/09/27,采昌國際多媒體股份有限公司,FILM & TV HOUSE LIMITED,1,72,242.86%,"14,400","17,079","3,926,641"
50,美國,笑笑羊大電影：外星人來了,2019/09/27,采昌國際多媒體股份有限公司,STUDIOCANAL,1,7,-98.44%,"1,370","8,580","1,980,729"
51,美國,囧媽的極地任務,2019/09/27,車庫娛樂股份有限公司,METRO-GOLDWYN-MAYER STUDIOS INC.,1,2,-90.91%,420,"10,132","2,261,206"
52,日本,青春豬頭少年不會夢到懷夢美少女,2019/09/27,木棉花國際股份有限公司,Aniplex Inc.,4,103,-36.42%,"25,830","35,865","8,951,050"
53,中華民國,返校,2019/09/20,影一製作所股份有限公司,影一製作所股份有限公司##遊戲橘子數位科技股份有限公司##英屬維京群島商敦宜股份有限公司台灣分公司##樂到家國際娛樂股份有限公司##一條龍虎豹國際娛樂有限公司##財團法人臺中市影視發展基金會##高雄市電影館##美商華納兄弟（遠東）股份有限公司台灣分公司,60,"2,237",-68.31%,"529,512","1,105,383","258,544,537"
54,美國,唐頓莊園,2019/09/20,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,47,-49.46%,"9,565","10,625","2,483,478"
55,澳洲,夜鶯的哭聲,2019/09/12,傳影互動股份有限公司,FREEWAY ENTERTAINMENT KFT,1,40,0.00%,"6,400","3,637","815,950"
56,香港,花椒之味,2019/09/12,華映娛樂股份有限公司,寰亞電影製作有限公司##北京拉近影業有限公司##大地時代文化傳播(北京)有限公司##英皇影業有限公司##高寶集團影視有限公司##高益創新投資公共有限公司##寰亞電影發行（北京）有限公司##中影寰亞音像製品有限公司##悅視（北京）文化傳媒有限公司##大地時代文化傳播（天津）有限公司##上海懿合文化傳媒股份有限公司##金門製作有限公司,1,72,0.00%,"5,700","25,829","5,749,525"
57,香港,再見了!小Q,2019/09/12,海樂影業股份有限公司,星皓影業(香港)有限公司,1,34,-57.50%,"5,100","5,091","1,138,120"
58,加拿大,衝擊真相,2019/09/12,威視股份有限公司,BANKSIDE FILMS LTD,1,40,0.00%,"6,400","8,015","1,829,258"
59,日本,天氣之子,2019/09/12,車庫娛樂股份有限公司,"TOHO CO., LTD.",22,"1,490",-61.57%,"348,879","684,373","164,546,710"
60,日本,大叔之愛電影版,2019/09/06,采昌國際多媒體股份有限公司,TV Asahi Corporation,1,24,0.00%,"3,840","28,776","6,752,817"
61,俄羅斯,魔法禁界,2019/09/06,台北双喜電影發行股份有限公司,Media Film International,1,243,48.17%,"13,365","13,897","3,105,892"
62,英國,洛瑞&火柴男人,2019/09/06,天馬行空數位有限公司,The Exchange,1,46,35.29%,"6,900","2,091","422,635"
63,法國,巴黎之王：闇黑正義,2019/08/30,鴻聯國際開發股份有限公司,Gaumont S.A.,2,88,0.00%,"14,080","4,754","1,027,282"
