序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,墨西哥,阿嬤養的豬,2019/10/25,聯影企業股份有限公司,IMCINE-MEXICAN FILM INSTITUTE,4,253,-0.78%,"48,620",508,"98,240"
2,美國,生人末日,2019/10/25,暗光鳥有限公司,"MULTIVISIONNAIRE, INC.",4,44,-41.33%,"9,100",119,"24,936"
3,美國,金翅雀,2019/10/25,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,67,"7,436",22.08%,"1,643,440","13,527","3,002,771"
4,美國,昆汀超集8,2019/10/25,台北双喜電影發行股份有限公司,Media Film International,10,396,19.28%,"87,500",728,"159,335"
5,南韓,男人不敗,2019/10/25,車庫娛樂股份有限公司,SHOWBOX CORP.,10,480,28.69%,"100,115",853,"182,010"
6,法國,狙擊獵殺: 救援行動,2019/10/25,亮點國際影業有限公司,Playtime,17,"1,580",-4.53%,"338,480","3,353","738,572"
7,以色列,為琴癡狂,2019/10/25,財團法人台北市文化基金會,佳映娛樂國際股份有限公司,7,456,52.00%,"89,830",756,"149,008"
8,日本,我的朋友霸王龍,2019/10/25,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"TOEI COMPANY, LTD.",18,736,-47.39%,"165,081","2,135","484,825"
9,日本,失憶的總理大臣,2019/10/25,傳影互動股份有限公司,PONY CANYON INC,23,"3,179",20.60%,"694,274","6,080","1,358,207"
10,日本,港都情事,2019/10/25,英屬維京群島商映畫聯合有限公司台灣分公司,HAPPINET CORPORATION,2,6,-45.45%,"1,010",17,"3,320"
11,日本,柴公園,2019/10/25,可樂藝術文創股份有限公司,Happinet Corporation,12,460,-27.10%,"100,238","1,091","235,883"
12,日本,伊索遊戲,2019/10/25,天馬行空數位有限公司,"ASMIK ACE, INC.",14,351,-12.69%,"78,865",928,"206,315"
13,中華民國,Thunderbolt Fantasy 西幽玹歌,2019/10/25,星泰國際娛樂股份有限公司,霹靂國際多媒體股份有限公司##株式會社 Nitroplus (株式会社ニトロプラス)##株式會社 GOOD SMILE COMPANY (株式会社グッドスマイルカンパニー),27,"6,833",3.00%,"1,616,109","13,467","3,176,533"
14,中華民國,陪你很久很久,2019/10/25,威視股份有限公司,嘉揚電影有限公司##海寧鐵幕真文化傳媒有限公司##滿滿額娛樂股份有限公司##中環國際娛樂事業股份有限公司##貴金影業傳媒股份有限公司##思美傳媒股份有限公司##海寧夢生影視文化傳媒有限公司##北京喔沃娛樂文化傳媒有限公司##薩摩亞商羚邦亞洲有限公司台灣分公司Medialink (Asia) Limited Taiwan Branch,80,"19,887",-13.94%,"4,525,654","43,545","9,905,480"
15,美國,雙子殺手,2019/10/23,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,100,"179,037",-24.18%,"43,753,896","415,186","101,195,899"
16,日本,電影版 吹響吧！上低音號～誓言的終章～,2019/10/23,車庫娛樂股份有限公司,PONY CANYON INC.,12,"1,668",-56.16%,"415,613","5,473","1,364,825"
17,英國,寂寞裁縫師,2019/10/18,天馬行空數位有限公司,TRIPLE WORD SCORE,10,333,-68.13%,"67,194","2,393","494,247"
18,美國,鬼船瑪麗號,2019/10/18,采昌國際多媒體股份有限公司,FILM & TV HOUSE LIMITED,14,134,-91.90%,"28,775","4,759","1,060,230"
19,南韓,加油吧 ! 李先生,2019/10/18,車庫娛樂股份有限公司,CONTENTS PANDA,7,314,-75.72%,"67,705","3,100","699,857"
