序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,中華民國,聖人大盜,2019/10/18,台北双喜電影發行股份有限公司,中環國際娛樂事業股份有限公司##聖人大盜電影有限合夥##影市堂股份有限公司,72,"10,029",-30.06%,"2,319,545","25,254","5,812,762"
2,中華民國,盲人律師,2019/10/18,春暉映像有限公司,牧風電影事業有限合夥,25,"7,929",-11.21%,"1,748,299","17,028","3,729,630"
3,日本,七個會議,2019/10/18,鴻聯國際開發股份有限公司,"Tokyo Broadcasting System Television, Inc.",21,"1,938",-21.09%,"422,707","4,394","968,962"
4,美國,鬼船瑪麗號,2019/10/18,采昌國際多媒體股份有限公司,FILM & TV HOUSE LIMITED,39,"1,655",-44.28%,"364,050","4,625","1,031,455"
5,南韓,加油吧 ! 李先生,2019/10/18,車庫娛樂股份有限公司,CONTENTS PANDA,14,"1,293",-13.40%,"287,328","2,786","632,152"
6,英國,寂寞裁縫師,2019/10/18,天馬行空數位有限公司,TRIPLE WORD SCORE,14,"1,045",2.96%,"214,260","2,060","427,053"
7,法國,今夜，我們無罪,2019/10/18,原創娛樂股份有限公司,WILD BUNCH,6,178,-50.69%,"37,630",539,"116,869"
8,法國,生命的美麗瞬間,2019/10/18,海鵬影業有限公司,Doc & Film International,7,129,-36.76%,"26,435",333,"68,610"
9,日本,妖怪奇譚集,2019/10/18,暗光鳥有限公司,NIKKATSU CORPORATION,4,47,-27.69%,"10,510",112,"24,263"
10,日本,秘戀之夏,2019/10/18,英屬維京群島商映畫聯合有限公司台灣分公司,HAPPINET CORPORATION,2,9,-25.00%,"2,040",21,"4,700"
11,美國,黑魔女2,2019/10/17,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",98,"180,716",-20.73%,"42,037,435","408,680","96,731,246"
12,日本,魔法少女伊莉雅 百變嘉年華,2019/10/17,提恩傳媒實業有限公司,KADOKAWA CORPORATION,7,336,-64.48%,"80,019","1,282","309,456"
