序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,南韓,江邊旅館,2019/7/5,可樂藝術文創股份有限公司,"FINECUT CO., LTD.",1,51,121.74%,"12,035",74,"17,405"
2,香港,掃毒2 天地對決,2019/7/5,華映娛樂股份有限公司,寰宇娛樂有限公司##廣東昇格傳媒股份有限公司##銀都機構有限公司##映藝娛樂有限公司##太陽娛樂文化有限公司##北京合瑞影業文化有限公司,82,"69,004",15032.46%,"15,787,894","69,460","15,892,774"
3,義大利,米開朗基羅：無盡之詩,2019/7/5,海鵬影業有限公司,TRUE COLOURS glorious S.r.l.,9,"2,762",39.35%,"567,032","4,744","978,701"
4,日本,電影版 狂賭之淵,2019/7/5,車庫娛樂股份有限公司,GAGA CORPORATION,13,"1,312",4.88%,"309,642","2,563","606,281"
5,比利時,密室大逃殺,2019/7/5,暗光鳥有限公司,WTFILMS,6,356,3.79%,"82,227",699,"160,372"
6,荷蘭,小島來了陌生爸爸,2019/7/5,捷傑有限公司,Picture Tree International GmbH,9,344,-23.89%,"72,905",796,"169,672"
7,美國,她的搖滾滋味,2019/7/5,原創娛樂股份有限公司,GEM ENTERTAINMENT KFT,5,102,47.83%,"20,815",171,"34,885"
8,南韓,草葉集,2019/7/5,可樂藝術文創股份有限公司,"FINECUT CO., LTD.",1,28,16.67%,"6,550",52,"11,960"
9,中華民國,我的青春都是你,2019/7/5,群星瑞智國際娛樂股份有限公司,群星瑞智國際娛樂股份有限公司##中國信託創業投資股份有限公司##中藝國際影視股份有限公司##安樂影片有限公司##北京中聯華盟文化傳媒投資有限公司##浙江東陽小宇宙影視傳媒有限公司##北京萌樣影視製作有限公司##北京影行天下文化傳播有限公司,33,"3,440",-4.39%,"787,253","7,038","1,610,490"
10,日本,寄生下流,2019/7/5,英屬維京群島商映畫聯合有限公司台灣分公司,HAPPINET CORPORATION,3,67,0.00%,"14,505",134,"28,860"
11,日本,名偵探柯南：紺青之拳,2019/7/3,向洋影業有限公司,株式会社トムス・エンタテインメント,80,"226,805",202404.46%,"52,108,623","226,917","52,135,503"
12,日本,阿嬤，不要忘記我,2019/7/3,水元素文化傳媒有限公司,Broadmedia Studios Corporation,12,"1,040",-27.12%,"212,080","2,467","521,367"
13,美國,蜘蛛人：離家日,2019/7/2,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,100,"481,312",-36.26%,"114,950,643","1,236,374","296,765,873"
14,美國,靠譜歌王,2019/6/28,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,83,"5,857",-64.66%,"1,371,311","43,475","10,056,566"
15,中華民國,如常,2019/6/28,星泰國際娛樂股份有限公司,財團法人中華民國佛教慈濟慈善事業基金會,24,"3,736",-55.39%,"800,763","33,594","7,258,631"
16,日本,電影版 妖怪手錶：永遠的朋友,2019/6/28,華藝娛樂股份有限公司,Level 5 abby,25,593,-74.99%,"135,120","6,541","1,486,824"
17,加拿大,飢慾之膚,2019/6/28,聯影企業股份有限公司,Filmoption International,4,275,-63.86%,"54,475","1,732","350,500"
18,日本,聖☆哥傳: 第Ⅱ紀,2019/6/28,香港商甲上娛樂有限公司台灣分公司,"SDP,INC.",13,77,-80.51%,"17,255","1,255","299,072"
19,德國,大叔好神騎,2019/6/28,可樂藝術文創股份有限公司,Beta Cinema GmbH,3,74,-72.28%,"14,920",644,"138,785"
20,日本,妳在月夜裡閃耀光輝,2019/6/28,車庫娛樂股份有限公司,"TOHO CO., LTD.",4,28,-91.11%,"6,095",843,"188,608"
21,美國,藥命實驗,2019/6/28,暗光鳥有限公司,"OCTANE ENTERTAINMENT, INC.",3,20,-85.51%,"5,090",456,"104,415"
22,南韓,寄生上流,2019/6/28,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CJ ENM CO. LTD,54,"142,355",32.95%,"33,525,648","292,081","68,454,424"
23,美國,安娜貝爾回家囉,2019/6/25,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,96,"44,977",-55.00%,"10,479,508","343,184","80,325,143"
24,香港,九龍不敗,2019/6/25,華映娛樂股份有限公司,天馬電影出品(香港)有限公司##天馬影聯影視文化(北京)有限公司##大名娛樂有限公司,23,269,-84.47%,"58,115","6,407","1,385,202"
25,美國,恰吉,2019/6/21,車庫娛樂股份有限公司,METRO-GOLDWYN-MAYER STUDIOS INC.,34,"2,453",-70.73%,"548,118","71,844","16,244,714"
26,法國,別問我是誰,2019/6/21,天馬行空數位有限公司,Playtime,2,79,-88.94%,"16,285","3,966","837,765"
