序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
1,日本,銀魂2特別篇：世界奇妙銀魂醬,2018/09/01,車庫娛樂股份有限公司,AVEX PICTURES INC.,10,758,"174,303","1,800","419,224"
2,中華民國,粽邪,2018/08/31,華影國際影藝有限公司,緯來電視網股份有限公司##一起影業製作有限公司##華達星多媒體事業股份有限公司##志嘉建設股份有限公司##華影國際影藝有限公司##和合佰納媒體事業股份有限公司,89,"68,912","15,524,873","173,870","39,242,686"
3,中華民國,引爆點,2018/08/31,牽猴子整合行銷股份有限公司,闊世電影股份有限公司##大清華傳媒股份有限公司##和利財務顧問股份有限公司##財團法人天來文化藝術基金會##高雄市電影館(高雄人)##松澤國際影業股份有限公司##十二果子有限公司##行式管理顧問股份有限公司,57,"11,107","2,506,930","26,508","5,961,944"
4,中華民國,生生,2018/08/31,老灰狼影片製作有限公司,老灰狼影片製作有限公司,20,"2,781","620,320","6,317","1,397,418"
5,日本,HIDE：來春之約,2018/08/31,翻面映畫有限公司,KADOKAWA CORPORATION,14,"1,941","437,126","4,031","910,695"
6,美國,暗算,2018/08/31,可樂藝術文創股份有限公司,FORTITUDE INTERNATIONAL INC.,6,435,"95,600","1,019","229,397"
7,日本,笑傲曇天,2018/08/31,天馬行空數位有限公司,"SHOCHIKU CO., LTD.",11,329,"71,764",789,"173,985"
8,日本,武士的一分,2018/08/31,車庫娛樂股份有限公司,"SHOCHIKU CO.,LTD.",4,302,"61,840",570,"116,560"
9,阿根廷,遺落殺鎮,2018/08/31,暗光鳥有限公司,(紐西蘭)MANDALA FILMS LTD.,5,163,"36,470",317,"69,925"
10,中華民國,王牌教師麻辣出擊,2018/08/30,威視股份有限公司,奧瑪優勢傳媒娛樂行銷有限公司##弘熹娛樂有限公司##(香港)W INVESTMENT GROUP LIMITED,51,"6,608","1,487,965","14,977","3,350,556"
11,美國,瘋狂亞洲富豪,2018/08/24,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,79,"59,886","14,146,353","193,984","45,789,026"
12,香港,大師兄,2018/08/24,華映娛樂股份有限公司,(香港)星王朝有限公司##(香港)太陽娛樂文化有限公司##(香港)超級子彈影業有限公司##(大陸)北京博納影業有限公司##(大陸)耳東影業(北京)有限公司##(大陸)霍爾果斯環星影視傳媒有限公司##(大陸)上海博納文化傳媒有限公司,82,"18,236","4,029,802","135,538","30,028,605"
13,美國,殺戮元年,2018/08/24,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,71,"7,682","1,774,434","64,061","14,659,329"
14,日本,銀魂2：規矩是為了被打破而存在的,2018/08/24,車庫娛樂股份有限公司,TV TOKYO CORPORATION,26,"4,162","983,830","25,191","5,965,057"
15,法國,全面霾伏,2018/08/24,香港商甲上娛樂有限公司台灣分公司,TF1 DROITS AUDIOVISUELS,33,"3,991","918,013","34,337","7,983,120"
16,美國,闇黑之心,2018/08/24,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,70,"3,843","873,358","46,211","10,459,516"
17,法國,她的錯誤教育,2018/08/24,亮點國際影業有限公司,ELLE DRIVER,7,309,"67,135","2,313","499,545"
18,美國,我願意,2018/08/24,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX PRODUCTIONS,LLC",12,198,"42,045","3,809","838,036"
19,加拿大,地球另一端的守候,2018/08/24,海鵬影業有限公司,(法國) FILMS DISTRIBUTION,3,72,"14,470",859,"174,035"
20,日本,隱劍鬼爪,2018/08/24,車庫娛樂股份有限公司,"SHOCHIKU CO.,LTD.",2,41,"8,660",446,"93,085"
21,西班牙,絕命警告信,2018/08/24,東昊影業有限公司,FILM FACTORY ENTERTAINMENT,2,16,"3,120",619,"132,701"
22,中華民國,鬥魚,2018/08/17,星泰國際娛樂股份有限公司,多曼尼製作有限公司##星泰國際娛樂股份有限公司##旺旺中時媒體集團##宏璟建設股份有限公司##樂到家國際娛樂股份有限公司##香港商福斯傳媒有限公司台灣分公司##(大陸)霍爾果斯鑫岳影視傳媒有限公司##(大陸)霍爾果斯觀達影視文化傳播有限公司,52,"8,778","1,974,925","129,859","29,406,541"
23,日本,每天回家老婆都在裝死,2018/08/17,車庫娛樂股份有限公司,COLORBIRD INC.,21,"3,722","890,792","45,715","10,504,750"
24,日本,未來的未來,2018/08/17,傳影互動股份有限公司,NIPPON TELEVISION-STUDIO CHIZU LLP,32,"2,272","523,089","54,101","12,409,379"
25,中華民國,范保德,2018/08/17,鏡象電影製作有限公司,積木影像製作有限公司,8,"2,155","480,368","14,654","3,291,880"
26,英國,老娘也要當間諜,2018/08/17,英屬維京群島商高捷全球開發有限公司 台灣分公司,LIONS GATE INTERNATIONAL (UK) LIMITED,17,883,"198,785","47,118","10,790,485"
27,英國,湯瑪士小火車：環遊世界大冒險,2018/08/17,香港商甲上娛樂有限公司台灣分公司,GULLANE (THOMAS) LIMITED,10,503,"115,273","11,030","2,606,467"
28,美國,拳力逃脫,2018/08/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX PRODUCTIONS,LLC",10,277,"64,255","48,525","10,703,252"
29,日本,飛上天空的輪胎,2018/08/17,天馬行空數位有限公司,NIKKATSU CORPORATION,2,94,"19,530","3,237","717,411"
30,日本,黃昏清兵衛,2018/08/17,車庫娛樂股份有限公司,"SHOCHIKU CO.,LTD.",1,7,"1,440",579,"121,075"
