序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,西班牙,痛苦與榮耀,2019/08/02,傳影互動股份有限公司,BATRAX ENTERTAINMENT B.V.,13,585,-14.10%,"124,170","3,956","848,459"
2,南韓,王的文字,2019/08/02,采昌國際多媒體股份有限公司,Freeway Entertainment Kft.,18,167,-11.17%,"36,600","1,304","286,220"
3,印度,電梯男孩的奇蹟,2019/08/02,聯影企業股份有限公司,Caroline Pictures Private Limited,7,114,-25.00%,"23,205",939,"192,102"
4,德國,我出去透透氣,2019/08/02,車庫娛樂股份有限公司,PICTURE TREE INTERNATIONAL GMBH,10,110,-16.03%,"22,025",873,"179,243"
5,紐西蘭,完全邪惡指南,2019/08/02,暗光鳥有限公司,ARCHSTONE DISTRIBUTION LLC,4,25,-13.79%,"5,080",259,"57,049"
6,美國,玩命關頭:特別行動,2019/07/31,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,100,"66,518",-18.25%,"15,845,467","930,618","222,356,181"
7,日本,電影哆啦A夢：大雄的月球探測記,2019/07/26,車庫娛樂股份有限公司,"TOHO CO., LTD.",72,"2,504",53.43%,"549,755","63,952","14,357,268"
8,美國,人生消極掰,2019/07/26,采昌國際多媒體股份有限公司,GEM Entertainment Kft.,37,997,6.86%,"227,730","23,326","5,426,525"
9,南韓,鬼學怨,2019/07/26,威視股份有限公司,"CJ ENM CO., LTD.",38,525,5.63%,"119,355","18,173","4,184,891"
10,美國,駭客任務,2019/07/26,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,20,279,7.31%,"64,810","11,221","2,665,762"
11,以色列,出走巴黎,2019/07/26,海鵬影業有限公司,SBS Distribution,7,80,-18.37%,"16,430","2,777","579,691"
12,阿根廷,賭命大富翁,2019/07/26,東昊影業有限公司,Film Factory Entertainment,6,40,21.21%,"8,345",954,"199,640"
13,日本,豢養殺人鬼的女人,2019/07/26,車庫娛樂股份有限公司,KADOKAWA CORPORATION,2,13,-31.58%,"2,800",673,"148,128"
14,美國,伊剎貝爾,2019/07/26,海樂影業股份有限公司,GEM ENTERTAINMENT KFT.,6,7,-58.82%,"1,425","2,568","559,791"
15,美國,從前，有個好萊塢,2019/07/24,台北双喜電影發行股份有限公司,"Bona Film Investment Company (Pacific RIM, USA)",90,"3,414",-1.33%,"813,770","117,555","28,239,789"
16,日本,漫長的告別,2019/7/26,天馬行空數位有限公司,"ASMIK ACE, INC.",10,128,0.79%,"25,545","3,725","781,386"
17,美國,電流大戰,2019/07/19,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Lantern Entertainment LLC,56,905,-1.09%,"210,540","90,478","20,866,909"
18,德國,瑪雅蜜蜂大冒險：蜜糖危機,2019/07/19,捷傑有限公司,Studio 100 Film GmbH,15,135,1.50%,"30,080","1,594","360,775"
19,荷蘭,首席指揮家,2019/07/19,海鵬影業有限公司,Incredible Film BV,7,123,-15.75%,"24,785","5,483","1,144,230"
20,日本,城市獵人劇場版 新宿Private Eyes,2019/07/19,木棉花國際股份有限公司,Aniplex Inc.,4,14,-12.50%,"3,550","7,122","1,765,918"
21,法國,囧叔大翻身,2019/07/19,車庫娛樂股份有限公司,STUDIOCANAL,1,0,-100.00%,0,622,"134,605"
22,美國,獅子王,2019/07/17,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",99,"12,795",3.21%,"2,889,206","1,085,622","262,118,654"
23,中華民國,灼人秘密,2019/07/16,岸上影像有限公司,"岸上影像有限公司,禾豐九路娛樂有限公司,爵士電影製作公司 JAZZY PICTURES (M) SDN. BHD.",16,347,11.94%,"81,705","29,095","6,764,029"
24,南韓,真犯,2019/07/15,采昌國際多媒體股份有限公司,ATRIUM PRODUCTIONS KFT.,1,7,-41.67%,"1,830","3,625","808,119"
25,美國,鱷魔,2019/07/12,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,29,156,-7.14%,"35,090","123,938","28,237,985"
26,美國,仲夏魘,2019/07/12,車庫娛樂股份有限公司,"A24 INTERNATIONAL, LLC",2,36,-32.08%,"7,760","10,696","2,396,910"
27,日本,海角上的兄妹,2019/07/12,光年映畫有限公司,"Asmik Ace, Inc",3,24,-17.24%,"5,450","3,274","727,335"
28,英國,鏗鏘玫瑰,2019/07/12,采昌國際多媒體股份有限公司,FILM & TV HOUSE LIMITED,1,0,-100.00%,0,"2,822","602,856"
29,日本,王者天下,2019/07/11,傳影互動股份有限公司,Columbia Pictures Industries Inc,13,115,-24.34%,"27,420","21,326","4,926,596"
30,香港,掃毒2 天地對決,2019/07/05,華映娛樂股份有限公司,寰宇娛樂有限公司##廣東昇格傳媒股份有限公司##銀都機構有限公司##映藝娛樂有限公司##太陽娛樂文化有限公司##北京合瑞影業文化有限公司,43,358,15.86%,"83,110","174,939","40,087,288"
31,義大利,米開朗基羅：無盡之詩,2019/07/05,海鵬影業有限公司,TRUE COLOURS glorious S.r.l.,1,3,50.00%,520,"6,958","1,439,496"
32,日本,名偵探柯南：紺青之拳,2019/07/03,向洋影業有限公司,株式会社トムス・エンタテインメント,66,"2,037",2.41%,"473,930","431,183","99,595,924"
33,日本,阿嬤，不要忘記我,2019/07/03,水元素文化傳媒有限公司,Broadmedia Studios Corporation,1,5,25.00%,500,"2,896","605,027"
34,美國,蜘蛛人：離家日,2019/07/02,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,89,"2,327",2.83%,"540,655","1,559,461","372,576,359"
