序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,票數變動率,銷售金額,累計銷售票數,累計銷售金額
56,德國,我出去透透氣,2019/08/02,車庫娛樂股份有限公司,PICTURE TREE INTERNATIONAL GMBH,1,71,97.22%,"10,870","1,366","274,123"
57,美國,玩命關頭:特別行動,2019/07/31,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,23,898,-72.52%,"217,942","1,893,565","453,479,974"
58,日本,電影哆啦A夢：大雄的月球探測記,2019/07/26,車庫娛樂股份有限公司,"TOHO CO., LTD.",5,216,4.85%,"47,990","96,340","21,660,536"
59,美國,從前，有個好萊塢,2019/07/24,台北双喜電影發行股份有限公司,"Bona Film Investment Company (Pacific RIM, USA)",8,"1,018",10.77%,"71,870","154,677","37,220,115"
60,英國,橫越生死線,2019/07/19,亮點國際影業有限公司,Independent Film Sales,2,105,2.94%,"15,460",968,"169,915"
61,美國,電流大戰,2019/07/19,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Lantern Entertainment LLC,2,139,44.79%,"14,590","97,438","22,440,275"
62,美國,獅子王,2019/07/17,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",16,885,-8.10%,"209,224","1,308,643","313,981,047"
63,美國,鱷魔,2019/07/12,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,8,"1,689",37.21%,"137,860","127,285","28,567,844"
64,英國,鏗鏘玫瑰,2019/07/12,采昌國際多媒體股份有限公司,FILM & TV HOUSE LIMITED,3,166,-28.45%,"16,710","3,436","671,526"
65,日本,王者天下,2019/07/11,傳影互動股份有限公司,Columbia Pictures Industries Inc,2,140,0.00%,"12,020","22,106","5,089,107"
66,香港,掃毒2 天地對決,2019/07/05,華映娛樂股份有限公司,寰宇娛樂有限公司##廣東昇格傳媒股份有限公司##銀都機構有限公司##映藝娛樂有限公司##太陽娛樂文化有限公司##北京合瑞影業文化有限公司,7,"1,451",4.46%,"137,235","179,817","40,660,358"
67,中華民國,我的青春都是你,2019/07/05,群星瑞智國際娛樂股份有限公司,群星瑞智國際娛樂股份有限公司##中國信託創業投資股份有限公司##中藝國際影視股份有限公司##安樂影片有限公司##北京中聯華盟文化傳媒投資有限公司##浙江東陽小宇宙影視傳媒有限公司##北京萌樣影視製作有限公司##北京影行天下文化傳播有限公司,1,44,-39.73%,"6,160","7,699","1,744,430"
68,日本,名偵探柯南：紺青之拳,2019/07/03,向洋影業有限公司,株式会社トムス・エンタテインメント,4,148,-40.56%,"33,670","467,065","109,255,114"
69,日本,阿嬤，不要忘記我,2019/07/03,水元素文化傳媒有限公司,Broadmedia Studios Corporation,2,150,87.50%,"22,280","3,269","665,907"
70,美國,蜘蛛人：離家日,2019/07/02,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,3,245,155.21%,"25,250","1,585,361","378,879,669"
71,中華民國,如常,2019/06/28,星泰國際娛樂股份有限公司,財團法人中華民國佛教慈濟慈善事業基金會,1,500,-60.06%,"105,000","46,626","10,011,068"
72,美國,靠譜歌王,2019/06/28,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,8,962,54.91%,"85,435","46,500","10,525,717"
73,南韓,寄生上流,2019/06/28,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CJ ENM CO. LTD,2,145,-58.45%,"34,100","617,994","145,407,913"
74,美國,安娜貝爾回家囉,2019/06/25,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,8,540,-38.36%,"49,420","360,770","84,052,246"
75,美國,玩具總動員 4,2019/06/20,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",5,60,-73.68%,"12,780","1,339,059","312,093,145"
76,南韓,極惡對決,2019/06/20,威視股份有限公司,K-MOVIE ENTERTAINMENT,3,106,-74.27%,"11,820","126,500","28,431,346"
77,美國,安娜,2019/06/19,海樂影業股份有限公司,LIONS GATE INTERNATIONAL (UK) LIMITED,5,342,-56.32%,"36,010","152,589","34,276,940"
78,美國,火箭人,2019/06/14,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,4,416,12.13%,"28,870","33,959","7,751,149"
79,日本,劇場版 歌之☆王子殿下♪真愛KINGDOM,2019/06/14,曼迪傳播有限公司,KING RECORD COMPANY LIMITED,1,112,0.00%,"26,880","9,087","2,345,606"
80,丹麥,懸案密碼-第64號,2019/06/14,峻龍國際有限公司,"MultiVisionnaire , Inc",1,4,-77.78%,520,"20,356","4,508,668"
81,美國,MIB星際戰警：跨國行動,2019/06/12,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,6,664,-50.56%,"51,725","406,794","94,501,490"
82,美國,寵物當家2,2019/06/06,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,80,-23.81%,"8,000","252,756","57,559,609"
83,美國,哥吉拉II怪獸之王,2019/05/29,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,3,559,-50.49%,"45,520","1,071,960","259,826,933"
84,美國,阿拉丁,2019/05/22,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",12,"3,174",307.45%,"238,395","1,240,199","289,640,369"
85,美國,大冒險家,2019/05/03,香港商甲上娛樂有限公司台灣分公司,SHANGRILA FILMS LLC,3,198,-58.58%,"14,575","19,240","4,237,653"
86,美國,復仇者聯盟:終局之戰,2019/04/24,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",4,377,-34.43%,"25,825","3,491,640","910,387,039"
87,加拿大,哈柏太空之旅 3D,2019/02/04,國際電影事業有限公司,IMAX Corporation,1,2,200.00%,300,527,"75,200"
88,加拿大,深海獵奇 3D,2019/02/03,國際電影事業有限公司,IMAX Corporation,1,0,-100.00%,0,599,"80,094"
89,波蘭,殘影,2018/01/26,佳映娛樂國際股份有限公司,(德國)FILMS BOUTIQUE GMBH,1,4,0.00%,600,569,"120,485"
90,美國,亂世佳人,1939/01/01,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL,6,322,-52.72%,"72,520","9,330","2,279,613"
