序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,英國,世紀球王 馬拉度納,2019/12/20,聯影企業股份有限公司,ALTITUDE FILM SALES LIMITED,6,107,-6.96%,"22,315",222,"45,355"
2,美國,奪魂露營車,2019/12/20,暗光鳥有限公司,"CINETEL FILMS, INC.",4,79,-37.30%,"17,291",205,"44,227"
3,中華民國,海上花,2019/12/20,傳影互動股份有限公司,三三電影製作有限公司,6,879,-8.25%,"191,185","1,837","410,840"
4,中華民國,金魚,2019/12/20,陳怡菁,陳怡菁,1,79,-75.99%,"7,750",408,"40,450"
5,挪威,外出偷馬,2019/12/20,捷傑有限公司,TRUSTNORDISK APS,6,380,27.09%,"80,005",679,"142,824"
6,英國,茱蒂,2019/12/20,采昌國際多媒體股份有限公司,"PATHE FUND LIMITED, acting through its division PATHE INTERNATIONAL",22,"3,441",13.04%,"754,568","6,730","1,486,990"
7,法國,燃燒女子的畫像,2019/12/20,東昊影業有限公司,MK2 Films,13,"3,276",99.88%,"722,436","4,915","1,085,725"
8,美國,怨靈古堡,2019/12/20,車庫娛樂股份有限公司,GEM ENTERTAINMENT KFT.,16,912,-44.89%,"201,654","2,567","568,253"
9,香港,葉問4：完結篇,2019/12/19,華映娛樂股份有限公司,東方影業出品有限公司,93,"262,212",10.71%,"59,861,010","499,056","113,533,861"
10,美國,STAR WARS : 天行者的崛起,2019/12/18,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",98,"87,498",-45.25%,"22,179,281","247,305","62,558,771"
11,日本,添好孕,2019/12/14,天馬行空數位有限公司,"Nagoya Broadcasting Network Co., Ltd,",10,532,-23.45%,"113,366","1,309","287,482"
12,法國,巴黎小情聖,2019/12/13,鴻聯國際開發股份有限公司,Gaumont,3,32,-92.49%,"6,700",910,"191,000"
13,加拿大,屍控療法,2019/12/13,暗光鳥有限公司,"FILM MODE ENTERTAINMENT, LLC.",2,17,-94.72%,"3,300",509,"106,716"
14,中華民國,黑熊來了,2019/12/13,牽猴子整合行銷股份有限公司,大麥影像傳播工作室,32,"7,615",-30.10%,"1,722,312","29,834","6,754,411"
