序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,中華民國,殺手撿到槍,2020/01/23,星泰國際娛樂股份有限公司,滿滿額娛樂股份有限公司##華納集團,31,"3,981",-5.73%,"894,316","8,990","2,012,055"
2,中華民國,喜從天降,2020/01/23,影一製作所股份有限公司,影一製作所股份有限公司,35,"6,512",-26.43%,"1,460,012","15,549","3,522,839"
3,日本,我們的7日戰爭,2020/01/23,海樂影業股份有限公司,KADOKAWA CORPORATION,26,"2,061",29.14%,"489,521","3,657","868,733"
4,俄羅斯,岳父受死吧,2020/01/23,麻吉砥加電影有限公司,REEL SUSPECTS S.A.R.L.,11,151,15.27%,"35,286",282,"64,884"
5,美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,101,"141,378",27.42%,"33,995,357","252,329","60,935,325"
6,美國,紳士追殺令,2020/01/23,車庫娛樂股份有限公司,"MIRAMAX DISTRIBUTION SERVICES, LLC",65,"43,623",51.78%,"10,498,251","72,364","17,380,401"
7,香港,肥龍過江,2020/01/23,華映娛樂股份有限公司,星王朝有限公司##上海博納文化傳媒有限公司##博納影業集團股份有限公司##上海新文化影業有限公司##電視廣播有限公司##太陽娛樂文化有限公司##上海杠杠影視文化有限公司##霍爾果斯環星影視傳媒有限公司##上海優創影視文化有限公司,94,"28,320",0.02%,"6,263,943","56,635","12,560,304"
8,美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",97,"77,843",11.35%,"17,787,206","147,754","33,821,213"
9,美國,深海終劫站,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",92,"76,248",6.43%,"17,507,644","147,891","33,838,554"
10,美國,她們,2020/01/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,49,"29,447",33.76%,"7,039,958","51,461","12,251,761"
11,丹麥,在黑暗中漫舞：20週年數位修復版,2020/01/17,光年映畫有限公司,TRUSTNORDISK APS,11,638,-56.21%,"144,222","4,019","885,526"
12,日本,巧虎電影 英雄遊樂園,2020/01/17,全民大劇團股份有限公司,法人倍樂生株式會社,17,"3,838",-27.15%,"903,152","15,196","3,596,575"
13,南韓,青春催落去,2020/01/17,車庫娛樂股份有限公司,CONTENTS PANDA,11,137,-92.76%,"30,435","5,004","1,119,300"
14,美國,不完美的正義,2020/01/17,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,87,"8,999",-51.29%,"2,110,303","44,660","10,310,366"
15,美國,姊魅,2020/01/17,暗光鳥有限公司,RAVEN BANNER ENTERTAINMENT INC.,1,19,-88.13%,"4,040",366,"80,488"
16,瑞典,然後我們跳了舞,2020/01/17,海鵬影業有限公司,TOTEM FILMS SAS,9,431,-44.81%,"91,640","2,018","426,030"
17,中華民國,台北物語2-獲利者,2020/01/16,丰采公關行銷有限公司,丰采公關行銷有限公司##健友國際企業有限公司,4,25,-89.45%,"5,740","1,267","291,125"
18,美國,絕地戰警FOR LIFE,2020/01/16,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,101,"142,625",-21.94%,"34,507,667","506,147","121,183,306"
19,中華民國,柯俊雄的電影人生,2020/01/15,駿繕企業有限公司,駿繕企業有限公司,1,2,-96.77%,440,176,"36,192"
20,加拿大,哥哥戀愛了，我怎麼辦!?,2020/01/15,亮點國際影業有限公司,Seville Pictures Inc,6,54,-60.00%,"11,210",605,"127,075"
21,日本,魯邦三世 THE FIRST,2020/01/10,向洋影業有限公司,株式会社トムス・エンタテインメント,7,142,-94.11%,"33,347","13,286","2,974,000"
22,日本,動畫電影版 我想吃掉你的胰臟,2020/01/10,車庫娛樂股份有限公司,ANIPLEX INC.,3,54,-93.04%,"12,795","4,161","1,005,666"
23,法國,星星知我心,2020/01/10,采昌國際多媒體股份有限公司,PATHE FILMS S.A.S,1,6,-88.00%,"1,400","1,249","265,400"
24,美國,重磅腥聞,2020/01/10,車庫娛樂股份有限公司,LIONS GATE INTERNATIONAL (UK) LIMITED,31,"1,460",-71.58%,"349,070","49,361","11,500,667"
