序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,香港,P風暴,2019/05/10,華映娛樂股份有限公司,東方影業出品有限公司,33,"4,235",-26.26%,"934,791","9,978","2,192,005"
2,英國,芭蕾王者,2019/05/10,聯影企業股份有限公司,The Match Factory GmbH,13,"1,713",25.13%,"363,550","3,082","656,209"
3,日本,母親過世時，我想吃掉她的骨灰,2019/05/10,車庫娛樂股份有限公司,HAKUHODO DY MUSIC & PICTURES INC.,16,"1,180",16.72%,"255,090","2,191","475,003"
4,法國,感謝上帝,2019/05/10,天馬行空數位有限公司,Playtime,10,"1,056",24.53%,"223,760","1,904","407,322"
5,瑞典,極地先鋒,2019/05/10,采昌國際多媒體股份有限公司,AB Svensk Filmindustri,10,785,600.89%,"171,725",897,"196,365"
6,中華民國,Bra太子,2019/05/10,丙午駒電影有限公司,楊春娥,9,759,-36.91%,"162,855","1,962","411,494"
7,美國,人肉農場,2019/05/10,暗光鳥有限公司,"BLUE FOX ENTERTAINMENT 2, LLC",6,391,-26.78%,"86,829",925,"204,499"
8,美國,名偵探皮卡丘,2019/05/09,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.##WARNER BROS. PICTURES INTERNATIONAL.,98,"242,076",-8.04%,"57,953,554","505,327","120,553,900"
9,美國,詐騙女神,2019/05/09,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,96,"136,093",5.58%,"31,433,753","264,993","61,306,362"
10,美國,赤手登峰,2019/05/07,海鵬影業有限公司,Park Circus Limited,10,"1,670","1,155.64%","358,439","1,803","382,379"
11,南韓,親愛的仇人,2019/05/04,可樂藝術文創股份有限公司,M-Line Distribution,14,594,-38.51%,"132,735","1,578","353,250"
12,美國,大冒險家,2019/05/03,香港商甲上娛樂有限公司台灣分公司,SHANGRILA FILMS LLC,45,"1,732",-72.38%,"391,697","17,458","4,035,733"
13,中華民國,幻術,2019/05/03,威視股份有限公司,費思兔文化娛樂股份有限公司,39,814,-77.53%,"191,500","10,209","2,365,680"
14,日本,福爾圖娜之瞳,2019/05/03,車庫娛樂股份有限公司,"TOHO CO., LTD.",32,806,-76.74%,"180,575","8,624","1,942,505"
15,美國,柏林我愛你,2019/05/03,采昌國際多媒體股份有限公司,Atrium Productions Kft.,12,680,-59.83%,"141,825","4,095","883,048"
16,日本,阿松劇場版,2019/05/03,曼迪傳播有限公司,TV TOKYO Corporation,6,458,-61.54%,"114,055","3,075","757,751"
17,法國,搶救失業大作戰,2019/05/03,捷傑有限公司,Charades,7,288,-49.74%,"61,780","1,573","328,073"
18,中華民國,阿虎,2019/05/03,海樂影業股份有限公司,紘荺文創影業有限公司##玖伍尊影業有限公司,8,244,-90.27%,"57,810","4,776","1,100,862"
19,埃及,逆著風的旅行,2019/05/03,海鵬影業有限公司,WILD BUNCH,7,223,-72.33%,"47,060","1,699","360,756"
20,南韓,帶我回家,2019/05/03,華聯國際影音股份有限公司,CJ E&M CORPORATION,7,108,-72.24%,"23,550",844,"183,630"
21,美國,厄林殺機,2019/05/03,暗光鳥有限公司,"OCTANE ENTERTAINMENT, INC.",4,43,-89.11%,"9,845",876,"197,163"
22,義大利,法拉利312B：革命的開端,2019/05/03,車庫娛樂股份有限公司,NEXO DIGITAL S.R.L.,1,2,-92.31%,490,63,"13,915"
23,南韓,權力殺機,2019/05/01,英屬維京群島商高捷全球開發有限公司 台灣分公司,"AFINECUT CO., LTD.",4,9,-96.64%,"1,585","1,444","313,323"
24,中國大陸,平靜冬日,2019/04/29,春暉映像有限公司,芝麻影業有限公司,3,108,-60.15%,"23,815","1,464","323,558"
25,義大利,幸福的拉札洛,2019/04/26,鏡象電影製作有限公司,The Match Factory GmbH,6,"1,038",-17.68%,"224,595","5,976","1,288,608"
26,香港,三夫,2019/04/26,海鵬影業有限公司,Nicetop Independent Limited,5,121,-72.81%,"26,515","2,819","612,929"
27,日本,三更半夜居然要吃香蕉？,2019/04/26,天馬行空數位有限公司,NIPPON TELEVISION NETWORK CORPORATION,2,83,-30.25%,"18,290","1,670","366,128"
28,加拿大,製琴師與他的琴人,2019/04/26,翻面映畫有限公司,The Match Factory GmbH,3,78,-67.36%,"17,145","1,592","361,765"
29,美國,我唾棄你的墳墓3,2019/04/26,暗光鳥有限公司,"CINETEL FILMS, INC.",1,9,-92.44%,"1,915","1,183","261,310"
30,印度,孟買夜未眠,2019/04/26,佳映娛樂國際股份有限公司,MK2 FILMS- Société par Actions Simplifiée,1,8,-95.43%,"1,730","1,635","330,210"
31,法國,誰殺了小說家?,2019/04/26,本萃電影有限公司,Mercure International,1,2,-90.91%,450,560,"119,628"
32,美國,復仇者聯盟:終局之戰,2019/04/24,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",97,"196,729",-53.31%,"51,198,945","3,292,189","860,176,147"
33,香港,淪落人,2019/04/19,香港商甲上娛樂有限公司台灣分公司,無際電影製作有限公司 No Ceiling Film Production Limited,12,504,-60.31%,"112,300","13,936","3,088,650"
34,美國,牛津解密,2019/04/19,采昌國際多媒體股份有限公司,Freeway Entertainment Kft.,7,181,-61.97%,"36,885","11,237","2,540,038"
