序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,美國,X戰警：黑鳳凰,2019/06/06,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,98,"118,569",-56.52%,"27,645,421","391,271","93,035,876"
2,美國,寵物當家2,2019/06/06,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,95,"67,855",-45.62%,"15,693,529","192,623","44,524,663"
3,日本,爺爺與喵,2019/06/06,天馬行空數位有限公司,Kadokawa Corporation,13,"2,004",-38.60%,"439,516","5,268","1,186,800"
4,中華民國,亡命之途,2019/06/06,威視股份有限公司,想映電影有限公司##有限会社四面楚歌,50,"1,767",-60.71%,"393,503","6,502","1,468,153"
5,中華民國,祝我好好孕,2019/06/06,黃力仁,蘇鈺婷,10,596,-46.01%,"134,753","2,317","492,919"
6,英國,招魂修道院,2019/06/06,暗光鳥有限公司,WTFILMS,6,366,-31.20%,"84,776",898,"206,301"
7,法國,我的教練我們的菜,2019/06/06,本萃電影有限公司,CHARADES,7,290,-13.69%,"61,903",626,"135,678"
8,日本,情牽拉麵茶,2019/06/06,車庫娛樂股份有限公司,(法國)MK2 FILMS,10,269,-63.15%,"54,150",999,"205,259"
9,英國,馬克白（英國國家劇院現場）,2019/06/03,威秀影城股份有限公司,National Theatre,1,18,-70.49%,"12,120",79,"49,600"
10,中華民國,出發,2019/05/31,牽猴子整合行銷股份有限公司,相知國際股份有限公司,30,"15,249",-11.46%,"3,445,975","40,649","9,237,318"
11,美國,恐怖大媽,2019/05/31,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,80,"8,134",-76.10%,"1,888,451","74,726","17,320,274"
12,美國,紅色密令,2019/05/31,采昌國際多媒體股份有限公司,EMBANKMENT FILMS LIMITED,9,699,-69.04%,"145,175","4,662","989,125"
13,中華民國,日落之前,2019/05/31,車庫娛樂股份有限公司,財團法人天主教失智老人社會福利基金會,10,413,-62.56%,"92,775","3,220","709,951"
