序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
1,美國,終極戰士：掠奪者,2018/9/14,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,93,"64,782","15,114,262","150,919","35,402,812"
2,美國,失蹤網紅,2018/9/14,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,(英國)LIONS GATE INTERNATIONAL(UK) LIMITED,68,"37,009","8,524,723","65,965","15,185,762"
3,南韓,致命目擊,2018/9/14,采昌國際多媒體股份有限公司,(匈牙利)ATRIUM PRODUCTIONS KFT,41,"7,559","1,713,320","16,894","3,872,916"
4,美國,德魯大叔,2018/9/14,車庫娛樂股份有限公司,(英國)LIONS GATE INTERNATIONAL(UK) LIMITED,21,"6,139","1,438,753","14,775","3,500,987"
5,德國,無聊的人生我死也不要,2018/9/14,安可電影股份有限公司,GLOBAL SCREEN GMBH,17,"4,320","991,935","8,691","2,015,672"
6,阿根廷,密謀,2018/9/14,本萃電影有限公司,(西班牙)LATIDO CONSORCIO DE EXPORTACION DEL CINE ESPANOL SL,15,"3,873","892,776","7,801","1,801,103"
7,中華民國,藍色項圈,2018/9/14,威視股份有限公司,中環國際娛樂事業股份有限公司##華文創股份有限公司##頑影映像有限公司,57,"3,850","873,130","9,730","2,197,853"
8,南韓,婚禮的那一天,2018/9/14,車庫娛樂股份有限公司,OPUS PICTURES,25,"3,274","751,814","7,305","1,703,080"
9,中華民國,搖滾樂殺人事件,2018/9/14,星泰國際娛樂股份有限公司,大吉祥整合行銷有限公司,21,"2,164","496,384","4,106","935,749"
10,美國,美國動物,2018/9/14,采昌國際多媒體股份有限公司,AMERICAN ANIMAL PICTURES LIMITED,12,"1,395","310,284","2,878","643,934"
11,英國,戲夢巴黎,2018/9/14,車庫娛樂股份有限公司,HANWAY FILMS LIMITED,7,786,"165,390","1,414","296,780"
12,法國,北極上學趣,2018/9/14,佳映娛樂國際股份有限公司,KINOLOGY,6,711,"154,367","1,460","325,516"
13,美國,裸愛殺機,2018/9/14,原創娛樂股份有限公司,"JENNINGS FILMS,LLC",9,659,"139,100","1,415","303,846"
14,日本,KSEVENSTORIESEPISODE3「SIDE：GREEN～覆寫世界～」,2018/9/14,曼迪傳播有限公司,"KING RECORD CO., LTD.",6,306,"70,605",840,"193,921"
15,義大利,當我們困在一起,2018/9/14,捷傑有限公司,(法國) INDIE SALES COMPANY,8,315,"65,845",784,"166,801"
16,西班牙,我的媽咪金搖擺,2018/9/14,牽猴子整合行銷股份有限公司,"FILM FACTORY ENTERTAINMENT, S.L.",11,263,"57,460",714,"158,813"
