序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,美國,朵拉與失落的黃金城,2019/08/09,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,88,"4,198",17.62%,"947,135","35,963","8,076,741"
2,日本,蠟筆小新電影 新婚旅行風暴-奪回廣志大作戰,2019/08/09,木棉花國際股份有限公司,ADK EMOTIOS INC.,31,"2,006",0.10%,"453,450","17,529","4,035,672"
3,日本,乘浪之約,2019/08/09,台北双喜電影發行股份有限公司,Fuji Creative Coporation,28,912,-9.34%,"214,400","7,109","1,650,148"
4,俄羅斯,絕世名伶,2019/08/09,天馬行空數位有限公司,(德國)KINOSTAR FILMVERLEIH GMBH,9,400,26.18%,"79,990","2,321","471,516"
5,法國,出發吧！我的脫單假期,2019/08/09,海鵬影業有限公司,Le Pacte,10,207,29.38%,"44,225","1,337","291,523"
6,法國,懸案判決,2019/08/09,亮點國際影業有限公司,CHARADES,10,204,0.49%,"40,715","2,085","434,089"
7,日本,一定要結婚嗎,2019/08/09,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"MCIP HOLDINGS., LTD",8,115,22.34%,"25,110",903,"202,062"
8,南韓,怎麼就，結婚了,2019/08/09,可樂藝術文創股份有限公司,M-Line Distribution,9,106,58.21%,"22,895",692,"157,602"
9,美國,是誰在搞鬼,2019/08/09,暗光鳥有限公司,BLACK MANDALA LTD.,4,24,14.29%,"5,205",193,"42,892"
10,日本,大人的戀愛情事,2019/08/09,英屬維京群島商映畫聯合有限公司台灣分公司,HAPPINET CORPORATION,2,8,166.67%,"1,885",23,"5,310"
11,美國,在黑暗中說的鬼故事,2019/08/07,香港商甲上娛樂有限公司台灣分公司,"eONE FEATURES, LLC",93,"10,144",-10.11%,"2,309,015","119,464","27,279,773"
12,美國,靈異乍現,2019/08/07,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,67,"1,309",-8.78%,"293,490","15,228","3,419,512"
13,日本,櫻花開了,2019/08/06,春暉映像有限公司,株式会社クリエイターズユニオン,12,108,-20.00%,"20,910","1,022","213,838"
14,西班牙,痛苦與榮耀,2019/08/02,傳影互動股份有限公司,BATRAX ENTERTAINMENT B.V.,12,401,5.25%,"87,150","7,576","1,630,763"
15,印度,電梯男孩的奇蹟,2019/08/02,聯影企業股份有限公司,Caroline Pictures Private Limited,6,67,28.85%,"12,080","1,584","325,948"
16,南韓,王的文字,2019/08/02,采昌國際多媒體股份有限公司,Freeway Entertainment Kft.,4,46,48.39%,"10,160","1,842","406,323"
17,德國,我出去透透氣,2019/08/02,車庫娛樂股份有限公司,PICTURE TREE INTERNATIONAL GMBH,2,3,-83.33%,660,"1,225","250,333"
