序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
1,中華民國,誰先愛上他的,2018/11/02,親愛的工作室有限公司,海納百川娛樂有限公司##原點概念有限公司##親愛的工作室有限公司,93,"73,768","16,945,677","106,545","24,419,655"
2,美國,波希米亞狂想曲,2018/11/02,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,88,"48,192","11,336,652","78,591","18,717,751"
3,美國,生命中的美好意外,2018/11/02,傳影互動股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT,33,"6,489","1,506,428","12,144","2,861,637"
4,印度,我的嗝嗝老師,2018/11/02,捷傑有限公司,YASH RAJ FILMS,25,"5,890","1,303,664","10,553","2,357,486"
5,日本,聖哥傳,2018/11/02,香港商甲上娛樂有限公司台灣分公司,"SDP,INC.",11,"5,190","1,262,042","10,832","2,672,811"
6,美國,嚇地獄,2018/11/02,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CBS FILMS INC.,46,"5,547","1,228,365","12,263","2,716,178"
7,南韓,親密陌生人,2018/11/02,采昌國際多媒體股份有限公司,(匈牙利)FREEWAY ENTERTAINMENT KFT.,29,"3,878","881,086","7,181","1,641,929"
8,日本,電影版怪物彈珠空之彼方,2018/11/02,車庫娛樂股份有限公司,(香港)MEDIALINK ENTERTAINMENT LIMITED,7,"3,442","806,934","7,306","1,729,033"
9,日本,那些年，我們一起追的女孩(日),2018/11/02,天馬行空數位有限公司,"KINO FILMS CO., LTD.",19,"2,100","491,820","5,159","1,227,956"
10,美國,夜驚,2018/11/02,牽猴子整合行銷股份有限公司,BATRAX ENTERTAINMENT B.V.,19,"1,839","423,824","4,640","1,071,542"
11,印度,護墊俠,2018/11/02,車庫娛樂股份有限公司,SPE FILMS INDIA PVT. LTD.,27,"1,742","393,170","4,621","1,009,280"
12,中華民國,親愛的卵男日記,2018/11/02,答人文創事業有限公司,答人文創事業有限公司##和寬攝影器材有限公司,23,"1,509","334,710","2,437","541,861"
13,中華民國,同學會來嗎,2018/11/02,創意門文創電影事業有限公司,吳仲立##吳建國,6,546,"121,175","1,033","228,800"
14,加拿大,控制效應,2018/11/02,暗光鳥有限公司,(馬爾他)DEVILWORKS LIMITED,4,20,"4,510",53,"12,465"
15,美國,母狗,2018/11/02,暗光鳥有限公司,MPI MEDIA GROUP,4,15,"3,790",27,"6,555"
16,美國,松樹街陰宅,2018/11/02,暗光鳥有限公司,(加拿大)RAVEN BANNER ENTERTAINMENT INC.,4,14,"3,250",38,"9,110"
17,美國,莢殺,2018/11/02,暗光鳥有限公司,(加拿大)RAVEN BANNER ENTERTAINMENT INC.,4,9,"2,440",19,"4,810"
18,俄羅斯,鬼人魚：死水禁地,2018/10/31,車庫娛樂股份有限公司,CENTRAL PARTNERSHIP SALES HOUSE LLC,4,139,"33,080",346,"81,430"
19,美國,曼蒂,2018/10/31,暗光鳥有限公司,"XYZ FILMS, LLC",4,68,"14,585",160,"35,670"
20,美國,屄死人之夜,2018/10/31,暗光鳥有限公司,(紐西蘭)BLACK MANDALA LTD.,4,47,"10,530",104,"23,560"
21,法國,夜噬人生,2018/10/31,暗光鳥有限公司,WTFILMS,4,34,"7,620",68,"15,000"
22,美國,登月先鋒,2018/10/26,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,85,"9,237","2,224,241","60,882","14,830,783"
23,南韓,屍落之城,2018/10/26,車庫娛樂股份有限公司,CONTENTS PANDA,67,"8,438","1,849,974","52,971","11,652,961"
24,中華民國,狂徒,2018/10/26,貴金影業傳媒股份有限公司,貴金影業傳媒股份有限公司##高雄市電影館##喜陽影片製作有限公司,52,"3,875","863,025","24,330","5,427,545"
25,中華民國,疾風魅影-黑貓中隊,2018/10/26,寬和影像事業有限公司,寬和影像事業有限公司,21,"1,723","388,666","11,074","2,407,733"
26,中華民國,幸福城市,2018/10/26,幸福城市股份有限公司,幸福城市股份有限公司##長龢有限公司##財團法人高雄市文化基金會##滿滿額娛樂有限公司##(大陸)青島翰洺影業有限公司,12,892,"197,890","4,822","1,071,142"
27,南韓,魔女首部曲：誕生,2018/10/26,鴻聯國際開發股份有限公司,WARNER BROS. KOREA INC.,12,242,"53,120","2,415","545,386"
28,日本,來自大海的男人,2018/10/26,天馬行空數位有限公司,NIKKATSU CORPORATION,5,58,"11,780","1,124","242,202"
29,日本,家族真命苦3：願妻如薔薇,2018/10/26,車庫娛樂股份有限公司,"SHOCHIKU CO.,LTD.",3,16,"3,680",274,"59,470"
