序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,法國,大鼻子情聖(經典劇場),2020/02/01,威秀影城股份有限公司,Pathé Live,4,14,0.00%,"9,680",14,"9,680"
2,新加坡,熱帶雨,2020/01/31,好威映象有限公司,Giraffe Pictures PTE Ltd.,26,"1,862",-24.03%,"414,686","4,313","1,000,823"
3,越南,鬼魅之家,2020/01/31,水元素文化傳媒有限公司,"SKYLINE MEDIA CO., LTD",17,"1,651",-13.92%,"379,771","3,569","825,638"
4,日本,王牌辯士,2020/01/31,天馬行空數位有限公司,"TOEI COMPANY, LTD.",15,587,8.30%,"124,737","1,129","241,692"
5,日本,只想受到你的歡迎,2020/01/31,天馬行空數位有限公司,Starry Cube Corporation,7,256,-19.75%,"62,930",575,"140,325"
6,日本,大整形家,2020/01/31,原創娛樂股份有限公司,"TOEI Company, Ltd.",6,194,-19.50%,"44,075",435,"101,470"
7,日本,吸血黏土,2020/1/30,暗光鳥有限公司,"MONUMENT RELEASING, LLC",5,55,-32.93%,"11,520",137,"29,296"
8,美國,1917,2020/01/30,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,99,"87,858",11.05%,"21,348,303","166,977","40,909,261"
9,南韓,紅鞋公主與七矮人,2020/01/30,可樂藝術文創股份有限公司,"FINECUT CO., LTD",44,"7,314",-13.52%,"1,690,822","15,883","3,674,938"
10,美國,黑水風暴,2020/01/30,車庫娛樂股份有限公司,"STORYTELLER DISTRIBUTION CO., LLC",49,"4,145",-27.99%,"950,549","9,901","2,290,359"
11,美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,100,"37,776",-73.28%,"8,867,550","290,095","69,800,705"
12,美國,紳士追殺令,2020/01/23,車庫娛樂股份有限公司,"MIRAMAX DISTRIBUTION SERVICES, LLC",63,"12,195",-72.04%,"2,921,382","84,559","20,301,783"
13,香港,肥龍過江,2020/01/23,華映娛樂股份有限公司,星王朝有限公司##上海博納文化傳媒有限公司##博納影業集團股份有限公司##上海新文化影業有限公司##電視廣播有限公司##太陽娛樂文化有限公司##上海杠杠影視文化有限公司##霍爾果斯環星影視傳媒有限公司##上海優創影視文化有限公司,93,"3,708",-86.91%,"813,588","60,341","13,373,472"
14,中華民國,喜從天降,2020/01/23,影一製作所股份有限公司,影一製作所股份有限公司,34,421,-93.54%,"94,080","15,970","3,616,919"
15,日本,我們的7日戰爭,2020/01/23,海樂影業股份有限公司,KADOKAWA CORPORATION,15,393,-80.93%,"91,735","4,047","959,918"
16,中華民國,殺手撿到槍,2020/01/23,星泰國際娛樂股份有限公司,滿滿額娛樂股份有限公司##華納集團,25,369,-90.73%,"82,605","9,359","2,094,660"
17,俄羅斯,岳父受死吧,2020/01/23,麻吉砥加電影有限公司,REEL SUSPECTS S.A.R.L.,3,9,-94.04%,"1,925",291,"66,809"
